Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000001:	0.907934659090909	0.092065340909091		1
000002:	0.971700568181818	0.028299431818182		1
000003:	0.956345454545454	0.043654545454545		1
000004:	0.976902840909091	0.023097159090909		1
000005:	0.956626136363636	0.043373863636364		1
000006:	0.938688636363636	0.061311363636364		1
000007:	0.982055113636364	0.017944886363636		1
000008:	0.974350568181818	0.025649431818182		1
000009:	0.967827272727273	0.032172727272727		1
000010:	0.947940909090909	0.052059090909091		1
000011:	0.533381250000000	0.466618750000000		1
000012:	0.128575000000000	0.871425000000000		1
000013:	0.666603977272727	0.333396022727273		1
000014:	0.436115909090909	0.563884090909091		1
000015:	0.377765340909091	0.622234659090909		1
000016:	0.551178409090909	0.448821590909091		1
000017:	0.246830681818182	0.753169318181818		1
000018:	0.058561931818182	0.941438068181818		1
000019:	0.141086363636364	0.858913636363636		1
000020:	0.224490909090909	0.775509090909091		1
000021:	0.086728977272727	0.913271022727273		1
000022:	0.067622159090909	0.932377840909091		1
000023:	0.141393750000000	0.858606250000000		1
000024:	0.148577840909091	0.851422159090909		1
000025:	0.054564772727273	0.945435227272727		1
000026:	0.061361931818182	0.938638068181818		1
000027:	0.026907386363636	0.973092613636364		1
000028:	0.419950568181818	0.580049431818182		1
000029:	0.113393750000000	0.886606250000000		1
000030:	0.221850000000000	0.778150000000000		1
000031:	0.032288636363636	0.967711363636364		1
000032:	0.072852840909091	0.927147159090909		1
000033:	0.142421590909091	0.857578409090909		1
000034:	0.260250568181818	0.739749431818182		1
000035:	0.076419886363636	0.923580113636364		1
000036:	0.193719886363636	0.806280113636364		1
000037:	0.041155113636364	0.958844886363636		1
000038:	0.219523863636364	0.780476136363636		1
000039:	0.045163636363636	0.954836363636364		1
000040:	0.241396022727273	0.758603977272727		1
000041:	0.089777840909091	0.910222159090909		1
000042:	0.055721590909091	0.944278409090909		1
000043:	0.323460795454545	0.676539204545455		1
000044:	0.125975568181818	0.874024431818182		1
000045:	0.049584659090909	0.950415340909091		1
000046:	0.231023295454545	0.768976704545455		1
000047:	0.393905113636364	0.606094886363636		1
000048:	0.791775000000000	0.208225000000000		1
000049:	0.373335795454545	0.626664204545455		1
000050:	0.408990909090909	0.591009090909091		1
000051:	0.889752272727273	0.110247727272727		1
000052:	0.876001136363636	0.123998863636364		1
000053:	0.333193181818182	0.666806818181818		1
000054:	0.159528977272727	0.840471022727273		1
000055:	0.773098295454545	0.226901704545455		1
000056:	0.466487500000000	0.533512500000000		1
000057:	0.353893181818182	0.646106818181818		1
000058:	0.199385795454545	0.800614204545455		1
000059:	0.105419318181818	0.894580681818182		1
000060:	0.502821590909091	0.497178409090909		1
000061:	0.290709090909091	0.709290909090909		1
000062:	0.829500568181818	0.170499431818182		1
000063:	0.879709659090909	0.120290340909091		1
000064:	0.940544318181818	0.059455681818182		1
000065:	0.836693750000000	0.163306250000000		1
000066:	0.304369886363636	0.695630113636364		1
000067:	0.916201704545455	0.083798295454545		1
000068:	0.161800568181818	0.838199431818182		1
000069:	0.191080113636364	0.808919886363636		1
000070:	0.351985227272727	0.648014772727273		1
000071:	0.113488636363636	0.886511363636364		1
000072:	0.650727272727273	0.349272727272727		1
000073:	0.768181818181818	0.231818181818182		1
000074:	0.098273295454545	0.901726704545455		1
000075:	0.249054545454545	0.750945454545455		1
000076:	0.420979545454545	0.579020454545455		1
000077:	0.562853409090909	0.437146590909091		1
000078:	0.752907386363636	0.247092613636364		1
000079:	0.131611931818182	0.868388068181818		1
000080:	0.131378409090909	0.868621590909091		1
000081:	0.683511931818182	0.316488068181818		1
000082:	0.628854545454545	0.371145454545455		1
000083:	0.497527840909091	0.502472159090909		1
000084:	0.479435795454545	0.520564204545455		1
000085:	0.290861363636364	0.709138636363636		1
000086:	0.334621590909091	0.665378409090909		1
000087:	0.138498295454545	0.861501704545454		1
000088:	0.094092613636364	0.905907386363636		1
000089:	0.128575568181818	0.871424431818182		1
000090:	0.107603409090909	0.892396590909091		1
000091:	0.180834659090909	0.819165340909091		1
000092:	0.262965340909091	0.737034659090909		1
000093:	0.404439772727273	0.595560227272727		1
000094:	0.145067613636364	0.854932386363636		1
000095:	0.808847159090909	0.191152840909091		1
000096:	0.736086931818182	0.263913068181818		1
000097:	0.084035795454545	0.915964204545455		1
000098:	0.124384090909091	0.875615909090909		1
000099:	0.262068181818182	0.737931818181818		1
000100:	0.570147159090909	0.429852840909091		1
000101:	0.111614772727273	0.888385227272727		1
000102:	0.195622727272727	0.804377272727273		1
000103:	0.246494886363636	0.753505113636364		1
000104:	0.589626136363636	0.410373863636364		1
000105:	0.083547727272727	0.916452272727273		1
000106:	0.107253977272727	0.892746022727273		1
000107:	0.349752272727273	0.650247727272727		1
000108:	0.361065909090909	0.638934090909091		1
000109:	0.136039204545455	0.863960795454545		1
000110:	0.153557954545455	0.846442045454545		1
000111:	0.611854545454545	0.388145454545455		1
000112:	0.123128977272727	0.876871022727273		1
000113:	0.392032954545455	0.607967045454545		1
000114:	0.269972727272727	0.730027272727273		1
000115:	0.348286363636364	0.651713636363636		1
000116:	0.731135795454545	0.268864204545455		1
000117:	0.346527272727273	0.653472727272727		1
000118:	0.836497159090909	0.163502840909091		1
000119:	0.120166477272727	0.879833522727273		1
000120:	0.660180113636364	0.339819886363636		1
000121:	0.184002272727273	0.815997727272727		1
000122:	0.118101704545455	0.881898295454545		1
000123:	0.648423295454545	0.351576704545455		1
000124:	0.221439204545455	0.778560795454545		1
000125:	0.874528977272727	0.125471022727273		1
000126:	0.905836363636364	0.094163636363636		1
000127:	0.426663636363636	0.573336363636364		1
000128:	0.592489772727273	0.407510227272727		1
000129:	0.083023863636364	0.916976136363636		1
000130:	0.674737500000000	0.325262500000000		1
000131:	0.244427272727273	0.755572727272727		1
000132:	0.571552840909091	0.428447159090909		1
000133:	0.416794318181818	0.583205681818182		1
000134:	0.247153409090909	0.752846590909091		1
000135:	0.070155113636364	0.929844886363636		1
000136:	0.690580681818182	0.309419318181818		1
000137:	0.075642045454545	0.924357954545455		1
000138:	0.567134090909091	0.432865909090909		1
000139:	0.396492613636364	0.603507386363636		1
000140:	0.082529545454545	0.917470454545455		1
000141:	0.793027840909091	0.206972159090909		1
000142:	0.084009659090909	0.915990340909091		1
000143:	0.252379545454545	0.747620454545455		1
000144:	0.349072727272727	0.650927272727273		1
000145:	0.608867613636364	0.391132386363636		1
000146:	0.329435227272727	0.670564772727273		1
000147:	0.774708522727273	0.225291477272727		1
000148:	0.669064772727273	0.330935227272727		1
000149:	0.353731250000000	0.646268750000000		1
000150:	0.055682954545455	0.944317045454545		1
000151:	0.568447159090909	0.431552840909091		1
000152:	0.305976704545455	0.694023295454545		1
000153:	0.093213636363636	0.906786363636364		1
000154:	0.872077272727273	0.127922727272727		1
000155:	0.225828409090909	0.774171590909091		1
000156:	0.153608522727273	0.846391477272727		1
000157:	0.957968181818182	0.042031818181818		1
000158:	0.930678409090909	0.069321590909091		1
000159:	0.667331818181818	0.332668181818182		1
