Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	
000001:	0.040426704545455	0.049368181818182	0.910205113636364		1
000002:	0.023705113636364	0.055110795454545	0.921184090909091		1
000003:	0.027856818181818	0.040432386363636	0.931710795454545		1
000004:	0.018506250000000	0.028666477272727	0.952827272727273		1
000005:	0.023143181818182	0.018725568181818	0.958131250000000		1
000006:	0.071509090909091	0.048989772727273	0.879501136363636		1
000007:	0.015146022727273	0.089231250000000	0.895622727272727		1
000008:	0.018178977272727	0.039648863636364	0.942172159090909		1
000009:	0.021713636363636	0.025260795454545	0.953025568181818		1
000010:	0.031338636363636	0.025538068181818	0.943123295454545		1
000011:	0.327381818181818	0.163380681818182	0.509237500000000		1
000012:	0.754240909090909	0.030140909090909	0.215618181818182		1
000013:	0.868278409090909	0.031965340909091	0.099756250000000		1
000014:	0.300661931818182	0.045655113636364	0.653682954545455		1
000015:	0.119294318181818	0.019363068181818	0.861342613636364		1
000016:	0.100488068181818	0.074103977272727	0.825407954545455		1
000017:	0.272334659090909	0.037078977272727	0.690586363636364		1
000018:	0.894281818181818	0.021421022727273	0.084297159090909		1
000019:	0.553305681818182	0.032591477272727	0.414102840909091		1
000020:	0.375811363636364	0.045342613636364	0.578846022727273		1
000021:	0.794768181818182	0.116219886363636	0.089011931818182		1
000022:	0.629384659090909	0.018853409090909	0.351761931818182		1
000023:	0.694044318181818	0.068084659090909	0.237871022727273		1
000024:	0.478063636363636	0.046827840909091	0.475108522727273		1
000025:	0.822856818181818	0.032647727272727	0.144495454545455		1
000026:	0.836761931818182	0.027279545454545	0.135958522727273		1
000027:	0.926915340909091	0.017934090909091	0.055150568181818		1
000028:	0.297898863636364	0.166742045454545	0.535359090909091		1
000029:	0.637282954545455	0.054097727272727	0.308619318181818		1
000030:	0.542714772727273	0.097001136363636	0.360284090909091		1
000031:	0.933514204545455	0.016348295454545	0.050137500000000		1
000032:	0.818077840909091	0.039471022727273	0.142451136363636		1
000033:	0.612123295454545	0.081236931818182	0.306639772727273		1
000034:	0.402188636363636	0.054490340909091	0.543321022727273		1
000035:	0.779204545454545	0.125829545454545	0.094965909090909		1
000036:	0.396969318181818	0.078748295454545	0.524282386363636		1
000037:	0.785446590909091	0.021008522727273	0.193544886363636		1
000038:	0.510706818181818	0.264719318181818	0.224573863636364		1
000039:	0.848518181818182	0.028361931818182	0.123119886363636		1
000040:	0.397883522727273	0.072493750000000	0.529622727272727		1
000041:	0.736282954545455	0.017493750000000	0.246223295454545		1
000042:	0.887993750000000	0.030993750000000	0.081012500000000		1
000043:	0.193264204545455	0.039648295454545	0.767087500000000		1
000044:	0.562709659090909	0.036061931818182	0.401228409090909		1
000045:	0.919682954545455	0.015029545454545	0.065287500000000		1
000046:	0.709942045454545	0.128176136363636	0.161881818181818		1
000047:	0.349659090909091	0.067219318181818	0.583121590909091		1
000048:	0.058498863636364	0.040985227272727	0.900515909090909		1
000049:	0.190255113636364	0.027367045454545	0.782377840909091		1
000050:	0.458770454545455	0.042109090909091	0.499120454545455		1
000051:	0.055570454545455	0.050371590909091	0.894057954545455		1
000052:	0.058920454545455	0.024192045454545	0.916887500000000		1
000053:	0.468015909090909	0.038905113636364	0.493078977272727		1
000054:	0.798465340909091	0.051108522727273	0.150426136363636		1
000055:	0.071836363636364	0.024652272727273	0.903511363636364		1
000056:	0.255573863636364	0.035639204545455	0.708786931818182		1
000057:	0.396282386363636	0.035836931818182	0.567880681818182		1
000058:	0.584638068181818	0.040628409090909	0.374733522727273		1
000059:	0.807948863636364	0.029081818181818	0.162969318181818		1
000060:	0.108989772727273	0.030359090909091	0.860651136363636		1
000061:	0.292747727272727	0.025813636363636	0.681438636363636		1
000062:	0.066047159090909	0.036606818181818	0.897346022727273		1
000063:	0.056782954545455	0.039627272727273	0.903589772727273		1
000064:	0.037900000000000	0.129960227272727	0.832139772727273		1
000065:	0.082536931818182	0.046321022727273	0.871142045454545		1
000066:	0.432972159090909	0.021628409090909	0.545399431818182		1
000067:	0.048434659090909	0.033621022727273	0.917944318181818		1
000068:	0.682340340909091	0.031315340909091	0.286344318181818		1
000069:	0.447446022727273	0.033973863636364	0.518580113636364		1
000070:	0.435425000000000	0.087031818181818	0.477543181818182		1
000071:	0.628695454545455	0.035522159090909	0.335782386363636		1
000072:	0.089397727272727	0.036307954545455	0.874294318181818		1
000073:	0.106868750000000	0.027653409090909	0.865477840909091		1
000074:	0.850207954545455	0.033903977272727	0.115888068181818		1
000075:	0.558686931818182	0.041135795454545	0.400177272727273		1
000076:	0.427301136363636	0.405693750000000	0.167005113636364		1
000077:	0.351434090909091	0.262475568181818	0.386090340909091		1
000078:	0.120563636363636	0.057718750000000	0.821717613636364		1
000079:	0.695098863636364	0.060487500000000	0.244413636363636		1
000080:	0.776951136363636	0.054352840909091	0.168696022727273		1
000081:	0.083167045454545	0.026053409090909	0.890779545454545		1
000082:	0.079493181818182	0.029672159090909	0.890834659090909		1
000083:	0.316725000000000	0.041355681818182	0.641919318181818		1
000084:	0.303817613636364	0.273269886363636	0.422912500000000		1
000085:	0.498719886363636	0.084516477272727	0.416763636363636		1
000086:	0.339173863636364	0.061812500000000	0.599013636363636		1
000087:	0.361466477272727	0.022745454545455	0.615788068181818		1
000088:	0.795557954545455	0.025801136363636	0.178640909090909		1
000089:	0.751682386363636	0.051369886363636	0.196947727272727		1
000090:	0.822180113636364	0.032012500000000	0.145807386363636		1
000091:	0.675223295454545	0.252635795454545	0.072140909090909		1
000092:	0.482487500000000	0.042731250000000	0.474781250000000		1
000093:	0.526269318181818	0.080513068181818	0.393217613636364		1
000094:	0.699389772727273	0.061738068181818	0.238872159090909		1
000095:	0.073383522727273	0.034580113636364	0.892036363636364		1
000096:	0.111422727272727	0.024068750000000	0.864508522727273		1
000097:	0.792403977272727	0.017918181818182	0.189677840909091		1
000098:	0.558102840909091	0.029222159090909	0.412675000000000		1
000099:	0.434268181818182	0.066932386363636	0.498799431818182		1
000100:	0.109569886363636	0.025944318181818	0.864485795454545		1
000101:	0.616401704545455	0.025651704545455	0.357946590909091		1
000102:	0.425896022727273	0.026310227272727	0.547793750000000		1
000103:	0.599393181818182	0.070960227272727	0.329646590909091		1
000104:	0.085601704545455	0.032714772727273	0.881683522727273		1
000105:	0.807853409090909	0.022117613636364	0.170028977272727		1
000106:	0.772719886363636	0.041084090909091	0.186196022727273		1
000107:	0.240075568181818	0.024867045454545	0.735057386363636		1
000108:	0.298756250000000	0.053314772727273	0.647928977272727		1
000109:	0.669921022727273	0.033646022727273	0.296432954545455		1
000110:	0.753043181818182	0.151768750000000	0.095188068181818		1
000111:	0.151789204545455	0.091086363636364	0.757124431818182		1
000112:	0.792916477272727	0.044091477272727	0.162992045454545		1
000113:	0.141502272727273	0.029865340909091	0.828632386363636		1
000114:	0.584048863636364	0.196722159090909	0.219228977272727		1
000115:	0.452563068181818	0.055803977272727	0.491632954545455		1
000116:	0.113800568181818	0.027969886363636	0.858229545454545		1
000117:	0.519983522727273	0.098382386363636	0.381634090909091		1
000118:	0.081878977272727	0.062407386363636	0.855713636363636		1
000119:	0.762148295454545	0.019736931818182	0.218114772727273		1
000120:	0.094619318181818	0.028140340909091	0.877240340909091		1
000121:	0.638105681818182	0.043934090909091	0.317960227272727		1
000122:	0.489528977272727	0.012791477272727	0.497679545454545		1
000123:	0.231281250000000	0.077826136363636	0.690892613636364		1
000124:	0.618247159090909	0.129364204545455	0.252388636363636		1
000125:	0.098572159090909	0.206247159090909	0.695180681818182		1
