Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	
000001:	0.013942613636364	0.595471022727273	0.302353409090909	0.088232954545455		1
000002:	0.005111363636364	0.851125568181818	0.074465340909091	0.069297727272727		1
000003:	0.011318750000000	0.828997159090909	0.111446022727273	0.048238068181818		1
000004:	0.007013068181818	0.426643750000000	0.048268181818182	0.518075000000000		1
000005:	0.006348863636364	0.624115340909091	0.304541477272727	0.064994318181818		1
000006:	0.017084659090909	0.306771590909091	0.137586363636364	0.538557386363636		1
000007:	0.007321022727273	0.882567045454545	0.065666477272727	0.044445454545455		1
000008:	0.007278409090909	0.841403409090909	0.079419886363636	0.071898295454545		1
000009:	0.008210227272727	0.605384090909091	0.105917613636364	0.280488068181818		1
000010:	0.008214204545455	0.639188068181818	0.278935795454545	0.073661931818182		1
000011:	0.085076136363636	0.292860227272727	0.370499431818182	0.251564204545455		1
000012:	0.104376136363636	0.056426136363636	0.676270454545455	0.162927272727273		1
000013:	0.367623863636364	0.071735795454545	0.337510795454545	0.223129545454545		1
000014:	0.023727840909091	0.024682386363636	0.034534090909091	0.917055681818182		1
000015:	0.028484659090909	0.167535795454545	0.522367613636364	0.281611931818182		1
000016:	0.018627272727273	0.031933522727273	0.046140340909091	0.903298863636364		1
000017:	0.033644886363636	0.098011363636364	0.764601136363636	0.103742613636364		1
000018:	0.351907954545455	0.039813636363636	0.535421590909091	0.072856818181818		1
000019:	0.089936931818182	0.141827272727273	0.711657954545455	0.056577840909091		1
000020:	0.027711931818182	0.083038636363636	0.508560227272727	0.380689204545455		1
000021:	0.086035795454545	0.111166477272727	0.774239772727273	0.028557954545455		1
000022:	0.038980681818182	0.054465340909091	0.816820454545455	0.089733522727273		1
000023:	0.218430113636364	0.209090340909091	0.505114772727273	0.067364772727273		1
000024:	0.030235795454545	0.019189204545455	0.067685227272727	0.882889772727273		1
000025:	0.320789772727273	0.072703977272727	0.378964204545455	0.227542045454545		1
000026:	0.071956250000000	0.047684659090909	0.847388068181818	0.032971022727273		1
