Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	
000001:	0.422538068181818	0.168744318181818	0.095379545454545	0.019908522727273	0.293429545454545		1
000002:	0.763503409090909	0.039062500000000	0.070888636363636	0.007175000000000	0.119370454545455		1
000003:	0.828361363636364	0.036151136363636	0.046459090909091	0.016108522727273	0.072919886363636		1
000004:	0.529731250000000	0.023235795454545	0.386665340909091	0.006752840909091	0.053614772727273		1
000005:	0.816155113636364	0.057886363636364	0.042671590909091	0.005481818181818	0.077805113636364		1
000006:	0.402880681818182	0.069810227272727	0.418586931818182	0.016623295454545	0.092098863636364		1
000007:	0.626253977272727	0.033061931818182	0.041563068181818	0.008589772727273	0.290531250000000		1
000008:	0.845849431818182	0.028844886363636	0.046808522727273	0.008706250000000	0.069790909090909		1
000009:	0.747211363636364	0.031056250000000	0.122976136363636	0.012586363636364	0.086169886363636		1
000010:	0.804647159090909	0.039737500000000	0.061273863636364	0.008844318181818	0.085497159090909		1
000011:	0.258990340909091	0.124940340909091	0.251618181818182	0.071233522727273	0.293217613636364		1
000012:	0.254940909090909	0.412493750000000	0.183453409090909	0.116130113636364	0.032981818181818		1
000013:	0.101387500000000	0.310259659090909	0.194615340909091	0.362365909090909	0.031371590909091		1
000014:	0.041274431818182	0.044830681818182	0.867401704545455	0.031500000000000	0.014993181818182		1
000015:	0.643589204545455	0.118661931818182	0.172332954545455	0.044721022727273	0.020694886363636		1
000016:	0.057540340909091	0.023985227272727	0.884214204545455	0.019065909090909	0.015194318181818		1
000017:	0.378419318181818	0.441447159090909	0.085933522727273	0.047946590909091	0.046253409090909		1
000018:	0.097421022727273	0.463437500000000	0.091986931818182	0.322918750000000	0.024235795454545		1
000019:	0.639255681818182	0.152238636363636	0.045750000000000	0.128972727272727	0.033782954545455		1
000020:	0.283684659090909	0.276076704545455	0.337238068181818	0.054202272727273	0.048798295454545		1
000021:	0.074073863636364	0.794101136363636	0.036583522727273	0.036185795454545	0.059055681818182		1
000022:	0.342916477272727	0.469721590909091	0.095779545454545	0.064645454545455	0.026936931818182		1
000023:	0.214247159090909	0.371643750000000	0.090175568181818	0.225146022727273	0.098787500000000		1
000024:	0.032678977272727	0.055021022727273	0.872465909090909	0.032027272727273	0.007806818181818		1
000025:	0.111541477272727	0.275390340909091	0.189717045454545	0.396228409090909	0.027122727272727		1
000026:	0.222641477272727	0.580532954545455	0.044852840909091	0.128879545454545	0.023093181818182		1
