Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	
000001:	0.117685795454545	0.059300000000000	0.133815909090909	0.049576136363636	0.620777840909091	0.018844318181818		1
000002:	0.050548863636364	0.166596590909091	0.044532386363636	0.029592613636364	0.704336363636364	0.004393181818182		1
000003:	0.000753977272727	0.000275000000000	0.987710227272727	0.001853977272727	0.009331250000000	0.000075568181818		1
000004:	0.003517613636364	0.001176136363636	0.002437500000000	0.003002272727273	0.671273863636364	0.318592613636364		1
000005:	0.073194886363636	0.005040909090909	0.020396590909091	0.007253409090909	0.892301136363636	0.001813068181818		1
000006:	0.011525568181818	0.056387500000000	0.003213636363636	0.046469318181818	0.090319886363636	0.792084090909091		1
000007:	0.020927272727273	0.048046590909091	0.054238068181818	0.027409090909091	0.840378977272727	0.009000000000000		1
000008:	0.038598863636364	0.016195454545455	0.074154545454545	0.033978409090909	0.822452840909091	0.014619886363636		1
000009:	0.052547727272727	0.025720454545455	0.056518181818182	0.063098863636364	0.793748863636364	0.008365909090909		1
000010:	0.093611363636364	0.029300000000000	0.127328977272727	0.077059659090909	0.658678977272727	0.014021022727273		1
000011:	0.151635795454545	0.076356250000000	0.190729545454545	0.258630113636364	0.255599431818182	0.067048863636364		1
000012:	0.137817045454545	0.019851136363636	0.484517613636364	0.190363636363636	0.046845454545455	0.120605113636364		1
000013:	0.254707386363636	0.016627272727273	0.090239772727273	0.421807386363636	0.037089204545455	0.179528977272727		1
000014:	0.024995454545455	0.011180681818182	0.025632954545455	0.875498295454545	0.033392613636364	0.029300000000000		1
000015:	0.124043181818182	0.021495454545455	0.577838636363636	0.134425568181818	0.096984090909091	0.045213068181818		1
000016:	0.032881250000000	0.025669886363636	0.059988636363636	0.837252840909091	0.026254545454545	0.017952840909091		1
000017:	0.537416477272727	0.057966477272727	0.169230681818182	0.090716477272727	0.096167045454545	0.048502840909091		1
000018:	0.169231250000000	0.016117045454545	0.142832386363636	0.067465340909091	0.037431250000000	0.566922727272727		1
000019:	0.079668750000000	0.018261363636364	0.741881818181818	0.046275000000000	0.057253409090909	0.056659659090909		1
000020:	0.413657386363636	0.046148295454545	0.053190340909091	0.340303409090909	0.095765340909091	0.050935227272727		1
000021:	0.652950568181818	0.149115340909091	0.106685227272727	0.028934090909091	0.027920454545455	0.034394318181818		1
000022:	0.202573863636364	0.021564772727273	0.486785227272727	0.216810227272727	0.037994318181818	0.034271590909091		1
000023:	0.254645454545455	0.102146022727273	0.294717613636364	0.130132954545455	0.083284659090909	0.135073295454545		1
000024:	0.042111931818182	0.010244886363636	0.014359659090909	0.885220454545455	0.012884659090909	0.035178409090909		1
000025:	0.028090909090909	0.007354545454545	0.021318181818182	0.173925000000000	0.239386363636364	0.529925000000000		1
000026:	0.178961931818182	0.017488068181818	0.661947727272727	0.035948295454545	0.029948295454545	0.075705681818182		1
000027:	0.484312500000000	0.024255113636364	0.088274431818182	0.067752840909091	0.028964204545455	0.306440909090909		1
000028:	0.346316477272727	0.203175000000000	0.238431250000000	0.080650000000000	0.083271590909091	0.048155681818182		1
000029:	0.464454545454545	0.040876136363636	0.157930113636364	0.152505681818182	0.068344318181818	0.115889204545455		1
000030:	0.058664772727273	0.042404545454545	0.643038636363636	0.147526136363636	0.047610227272727	0.060755681818182		1
000031:	0.324291477272727	0.019034659090909	0.141353977272727	0.064913068181818	0.036029545454545	0.414377272727273		1
000032:	0.697172727272727	0.029767613636364	0.066839204545455	0.062834090909091	0.036328977272727	0.107057386363636		1
000033:	0.225219318181818	0.072796022727273	0.500785227272727	0.049111363636364	0.080637500000000	0.071450568181818		1
000034:	0.046713636363636	0.020984659090909	0.016275000000000	0.861526704545455	0.027231250000000	0.027268750000000		1
000035:	0.403477840909091	0.105517613636364	0.101456818181818	0.047630681818182	0.096144318181818	0.245772727272727		1
000036:	0.430483522727273	0.062344318181818	0.159476704545455	0.206810795454545	0.086162500000000	0.054722159090909		1
000037:	0.508650000000000	0.025968750000000	0.071866477272727	0.131289772727273	0.032795454545455	0.229429545454545		1
000038:	0.175625568181818	0.251349431818182	0.120303977272727	0.165574431818182	0.118564204545455	0.168582386363636		1
