Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	
000001:	0.242209090909091	0.013971590909091	0.233763636363636	0.320712500000000	0.021992045454545	0.056714204545455	0.110636931818182		1
000002:	0.032317613636364	0.006460795454545	0.601369886363636	0.275904545454545	0.013523295454545	0.009826704545455	0.060597159090909		1
000003:	0.034075000000000	0.020568181818182	0.144359090909091	0.699571022727273	0.009168750000000	0.045357954545455	0.046900000000000		1
000004:	0.023146022727273	0.009232954545455	0.298306818181818	0.382185227272727	0.011551704545455	0.010902272727273	0.264675000000000		1
000005:	0.034490909090909	0.005674431818182	0.319334659090909	0.289180113636364	0.004849431818182	0.014328409090909	0.332142045454545		1
000006:	0.007326136363636	0.898401704545455	0.010076136363636	0.076194318181818	0.002612500000000	0.002238636363636	0.003150568181818		1
000007:	0.045148863636364	0.016201704545455	0.433709090909091	0.411538068181818	0.014236363636364	0.048252272727273	0.030913636363636		1
000008:	0.010213636363636	0.002564772727273	0.062756818181818	0.891178977272727	0.009224431818182	0.006763068181818	0.017298295454545		1
000009:	0.032351704545455	0.006780681818182	0.545168750000000	0.305768750000000	0.013262500000000	0.016175000000000	0.080492613636364		1
000010:	0.076349431818182	0.005977840909091	0.151498863636364	0.682406818181818	0.014181250000000	0.014216477272727	0.055369318181818		1
000011:	0.155171022727273	0.108867045454545	0.057063636363636	0.248695454545455	0.035884659090909	0.180178409090909	0.214139772727273		1
000012:	0.251775568181818	0.143075568181818	0.041153977272727	0.193776704545455	0.129214772727273	0.023387500000000	0.217615909090909		1
000013:	0.064226704545455	0.106684090909091	0.055674431818182	0.057473295454545	0.556262500000000	0.015847159090909	0.143831818181818		1
000014:	0.011112500000000	0.009807954545455	0.013510795454545	0.009943181818182	0.006824431818182	0.003527840909091	0.945273295454545		1
000015:	0.106341477272727	0.044192045454545	0.039601136363636	0.526565340909091	0.070896022727273	0.067845454545455	0.144558522727273		1
000016:	0.006180113636364	0.006681250000000	0.004241477272727	0.011472159090909	0.006021590909091	0.020545454545455	0.944857954545455		1
000017:	0.608373295454545	0.022865909090909	0.019198863636364	0.168769318181818	0.029703409090909	0.031178409090909	0.119910795454545		1
000018:	0.065848295454545	0.056592613636364	0.020964204545455	0.064682386363636	0.718722727272727	0.012666477272727	0.060523295454545		1
000019:	0.171014772727273	0.087732386363636	0.032726136363636	0.568265909090909	0.084635227272727	0.019613068181818	0.036012500000000		1
000020:	0.208880113636364	0.041340340909091	0.064092045454545	0.182488636363636	0.062616477272727	0.040347727272727	0.400234659090909		1
000021:	0.712155113636364	0.055879545454545	0.015536363636364	0.065655681818182	0.034504545454545	0.082520454545455	0.033748295454545		1
000022:	0.381498863636364	0.032267613636364	0.040947727272727	0.248988636363636	0.199917613636364	0.015380681818182	0.080998863636364		1
000023:	0.254984090909091	0.335531818181818	0.085251704545455	0.135892613636364	0.066747727272727	0.039363068181818	0.082228977272727		1
000024:	0.034119318181818	0.019877840909091	0.012186363636364	0.023166477272727	0.024617613636364	0.013491477272727	0.872540909090909		1
000025:	0.117063068181818	0.307461931818182	0.062714772727273	0.124542613636364	0.235522159090909	0.017359090909091	0.135336363636364		1
000026:	0.210899431818182	0.123519886363636	0.025706250000000	0.355276704545455	0.211502272727273	0.026839772727273	0.046255681818182		1
000027:	0.371952272727273	0.144922727272727	0.036872727272727	0.071974431818182	0.307337500000000	0.018830113636364	0.048110227272727		1
000028:	0.357591477272727	0.064317613636364	0.082406250000000	0.242240909090909	0.043494318181818	0.142323295454545	0.067626136363636		1
000029:	0.433604545454545	0.054934090909091	0.035763636363636	0.165761363636364	0.133285227272727	0.031528977272727	0.145122159090909		1
000030:	0.914159090909091	0.002669886363636	0.001591477272727	0.007205681818182	0.016303977272727	0.002904545454545	0.055165340909091		1
000031:	0.184960227272727	0.051891477272727	0.013895454545455	0.037886931818182	0.657635795454545	0.012510227272727	0.041219886363636		1
000032:	0.887701704545454	0.011823295454545	0.009787500000000	0.013864204545455	0.042296022727273	0.010802840909091	0.023724431818182		1
000033:	0.420097159090909	0.046344886363636	0.148021590909091	0.219363068181818	0.046793750000000	0.037519886363636	0.081859659090909		1
000034:	0.019960795454545	0.016940340909091	0.007400000000000	0.015016477272727	0.022928409090909	0.006504545454545	0.911249431818182		1
000035:	0.274515340909091	0.092185227272727	0.403141477272727	0.035377840909091	0.138307386363636	0.017056818181818	0.039415909090909		1
000036:	0.401401136363636	0.043349431818182	0.046168181818182	0.238105113636364	0.056166477272727	0.049190340909091	0.165619318181818		1
000037:	0.039324431818182	0.009268750000000	0.002582954545455	0.010680681818182	0.379093750000000	0.005688068181818	0.553361363636364		1
000038:	0.018547159090909	0.249909090909091	0.585965340909091	0.018196590909091	0.028959659090909	0.036019886363636	0.062402272727273		1
000039:	0.260578977272727	0.136212500000000	0.016240340909091	0.139026136363636	0.319153409090909	0.011914772727273	0.116873863636364		1
000040:	0.041047727272727	0.053949431818182	0.017510795454545	0.046734659090909	0.043828977272727	0.017587500000000	0.779340909090909		1
000041:	0.443949431818182	0.041409659090909	0.070325568181818	0.071223295454545	0.217559090909091	0.025336363636364	0.130196590909091		1
000042:	0.366689204545455	0.185101704545455	0.021406250000000	0.114676704545455	0.218010795454545	0.024036931818182	0.070078409090909		1
000043:	0.298459090909091	0.054846590909091	0.044568181818182	0.362010795454545	0.036389772727273	0.043468750000000	0.160256818181818		1
000044:	0.341224431818182	0.066515909090909	0.067033522727273	0.305202840909091	0.098496022727273	0.027056250000000	0.094471022727273		1
000045:	0.452663636363636	0.055581818181818	0.023835795454545	0.121305681818182	0.290061931818182	0.016122159090909	0.040428977272727		1
000046:	0.195085227272727	0.001704545454545	0.009061931818182	0.012014204545455	0.234190340909091	0.003292613636364	0.544651136363636		1
000047:	0.408325000000000	0.128484090909091	0.156535227272727	0.094482954545455	0.057694886363636	0.039326704545455	0.115151136363636		1
000048:	0.033669318181818	0.021426136363636	0.036662500000000	0.736746590909091	0.013368750000000	0.019830681818182	0.138296022727273		1
000049:	0.183609090909091	0.063592613636364	0.056824431818182	0.604932386363636	0.025559090909091	0.021952840909091	0.043529545454545		1
000050:	0.137303409090909	0.095113636363636	0.087703409090909	0.185075568181818	0.083085227272727	0.036282386363636	0.375436363636364		1
000051:	0.015844318181818	0.011628977272727	0.055493181818182	0.045257954545455	0.013797159090909	0.011313636363636	0.846664772727273		1
