Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	***Cluster  08***	
000001:	0.049014204545455	0.299368750000000	0.072678977272727	0.146206250000000	0.132853409090909	0.146715340909091	0.008072159090909	0.145090909090909		1
000002:	0.002601704545455	0.025502840909091	0.006435795454545	0.009123863636364	0.003355113636364	0.004597727272727	0.698919886363636	0.249463068181818		1
000003:	0.052410227272727	0.351684090909091	0.063155113636364	0.082444886363636	0.033974431818182	0.351076704545455	0.011361363636364	0.053893181818182		1
000004:	0.040120454545455	0.626001704545455	0.026428977272727	0.033115340909091	0.033255113636364	0.045955113636364	0.005246590909091	0.189876704545455		1
000005:	0.021148863636364	0.513573863636364	0.025284659090909	0.032766477272727	0.064609090909091	0.285715340909091	0.004009090909091	0.052892613636364		1
000006:	0.028289772727273	0.360725000000000	0.029696590909091	0.026340340909091	0.123605113636364	0.088726136363636	0.017134090909091	0.325482954545455		1
000007:	0.003639204545455	0.202914772727273	0.020030113636364	0.668529545454545	0.051324431818182	0.020160795454545	0.001392045454545	0.032009090909091		1
000008:	0.002048295454545	0.004716477272727	0.008191477272727	0.011604545454545	0.002195454545455	0.001809090909091	0.967536931818182	0.001897727272727		1
000009:	0.010359090909091	0.478774431818182	0.441330113636364	0.008130681818182	0.015415340909091	0.009360227272727	0.012319886363636	0.024310227272727		1
000010:	0.019620454545455	0.662325000000000	0.041618181818182	0.063859090909091	0.043650000000000	0.102759090909091	0.005968750000000	0.060199431818182		1
000011:	0.015497727272727	0.013585227272727	0.022994318181818	0.736324431818182	0.042903409090909	0.053830113636364	0.026506250000000	0.088358522727273		1
000012:	0.080660227272727	0.052067045454545	0.020560795454545	0.019657386363636	0.312094318181818	0.186606250000000	0.166429545454545	0.161924431818182		1
000013:	0.263646022727273	0.045478409090909	0.020007386363636	0.017668181818182	0.218741477272727	0.031709659090909	0.148110795454545	0.254638068181818		1
000014:	0.017609090909091	0.016157386363636	0.005770454545455	0.003186931818182	0.013764204545455	0.016181818181818	0.008932386363636	0.918397727272727		1
000015:	0.097665909090909	0.168386931818182	0.024680113636364	0.021217613636364	0.101569318181818	0.361966477272727	0.031977840909091	0.192535795454545		1
000016:	0.016402840909091	0.010742045454545	0.007535227272727	0.004869318181818	0.010214204545455	0.056231818181818	0.014547727272727	0.879456818181818		1
000017:	0.034190909090909	0.037722159090909	0.019103977272727	0.049516477272727	0.214088068181818	0.559803977272727	0.017891477272727	0.067682954545455		1
000018:	0.065281250000000	0.028253977272727	0.017763068181818	0.032584090909091	0.194763636363636	0.061465340909091	0.537515909090909	0.062372727272727		1
000019:	0.415296590909091	0.172279545454545	0.034361931818182	0.033752272727273	0.080630681818182	0.097608522727273	0.112806818181818	0.053263636363636		1
000020:	0.155219886363636	0.115176136363636	0.006032386363636	0.005859659090909	0.066353409090909	0.007131250000000	0.007456250000000	0.636771022727273		1
000021:	0.113242613636364	0.024452840909091	0.021754545454545	0.359058522727273	0.349399431818182	0.056548295454545	0.041465340909091	0.034078409090909		1
000022:	0.475081818181818	0.028313636363636	0.021311931818182	0.028719886363636	0.207023295454545	0.148835795454545	0.036031818181818	0.054681818181818		1
000023:	0.038298863636364	0.075591477272727	0.016398295454545	0.589653977272727	0.110487500000000	0.059341477272727	0.047832954545455	0.062395454545455		1
000024:	0.055884090909091	0.022821022727273	0.009212500000000	0.023328977272727	0.064587500000000	0.023281250000000	0.036561363636364	0.764323295454545		1
000025:	0.420132386363636	0.061821590909091	0.019386931818182	0.075265340909091	0.102000000000000	0.029485227272727	0.156931818181818	0.134976704545455		1
000026:	0.672574431818182	0.026072727272727	0.010378409090909	0.013543750000000	0.132964204545455	0.078029545454545	0.036756818181818	0.029680113636364		1
000027:	0.099077272727273	0.068525000000000	0.019696590909091	0.016315909090909	0.597343750000000	0.045348295454545	0.095997727272727	0.057695454545455		1
000028:	0.080732386363636	0.114161931818182	0.084917613636364	0.267930113636364	0.222130113636364	0.056557954545455	0.040800568181818	0.132769318181818		1
000029:	0.136940340909091	0.104264204545455	0.027682954545455	0.032513636363636	0.399549431818182	0.113823295454545	0.067430681818182	0.117795454545455		1
000030:	0.394122727272727	0.046888636363636	0.034026136363636	0.145160227272727	0.104541477272727	0.072151704545455	0.080917613636364	0.122191477272727		1
000031:	0.365046590909091	0.030601136363636	0.014078409090909	0.026881250000000	0.339555681818182	0.033616477272727	0.136251704545455	0.053968750000000		1
000032:	0.027699431818182	0.024482954545455	0.041951704545455	0.034647159090909	0.719934090909091	0.034351704545455	0.044597159090909	0.072335795454545		1
000033:	0.606877272727273	0.039145454545455	0.053109090909091	0.034602272727273	0.120056818181818	0.052521590909091	0.040501136363636	0.053186363636364		1
000034:	0.018440340909091	0.016561363636364	0.009925000000000	0.027761931818182	0.070957386363636	0.027669886363636	0.103327840909091	0.725356250000000		1
000035:	0.116271022727273	0.030090909090909	0.020579545454545	0.520072727272727	0.162300568181818	0.034172727272727	0.076154545454545	0.040357954545455		1
000036:	0.075467613636364	0.069107386363636	0.057157954545455	0.072167613636364	0.422739204545455	0.073661931818182	0.040158522727273	0.189539772727273		1
