Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000001:	0.102766477272727	0.897233522727273		1
000002:	0.017303409090909	0.982696590909091		1
000003:	0.022532386363636	0.977467613636364		1
000004:	0.027051704545455	0.972948295454545		1
000005:	0.028912500000000	0.971087500000000		1
000006:	0.062172159090909	0.937827840909091		1
000007:	0.015778409090909	0.984221590909091		1
000008:	0.025433522727273	0.974566477272727		1
000009:	0.022597159090909	0.977402840909091		1
000010:	0.030968750000000	0.969031250000000		1
000011:	0.487682386363636	0.512317613636364		1
000012:	0.908734090909091	0.091265909090909		1
000013:	0.925119318181818	0.074880681818182		1
000014:	0.549978977272727	0.450021022727273		1
000015:	0.502527272727273	0.497472727272727		1
000016:	0.395594886363636	0.604405113636364		1
000017:	0.720948863636364	0.279051136363636		1
000018:	0.942801704545455	0.057198295454545		1
000019:	0.847825568181818	0.152174431818182		1
000020:	0.754241477272727	0.245758522727273		1
000021:	0.925708522727273	0.074291477272727		1
000022:	0.899164204545455	0.100835795454545		1
000023:	0.876013636363636	0.123986363636364		1
000024:	0.871719318181818	0.128280681818182		1
000025:	0.941968750000000	0.058031250000000		1
000026:	0.933379545454545	0.066620454545455		1
000027:	0.966938068181818	0.033061931818182		1
000028:	0.599913636363636	0.400086363636364		1
000029:	0.895561363636364	0.104438636363636		1
000030:	0.796321022727273	0.203678977272727		1
000031:	0.963733522727273	0.036266477272727		1
000032:	0.932346590909091	0.067653409090909		1
000033:	0.835380113636364	0.164619886363636		1
000034:	0.860563068181818	0.139436931818182		1
000035:	0.911987500000000	0.088012500000000		1
000036:	0.827871590909091	0.172128409090909		1
000037:	0.967147727272727	0.032852272727273		1
000038:	0.823106250000000	0.176893750000000		1
000039:	0.962231250000000	0.037768750000000		1
000040:	0.791385227272727	0.208614772727273		1
000041:	0.915184090909091	0.084815909090909		1
000042:	0.945025568181818	0.054974431818182		1
000043:	0.645138068181818	0.354861931818182		1
000044:	0.820941477272727	0.179058522727273		1
000045:	0.954113068181818	0.045886931818182		1
000046:	0.750428977272727	0.249571022727273		1
000047:	0.560923295454545	0.439076704545455		1
000048:	0.177435795454545	0.822564204545455		1
000049:	0.581513636363636	0.418486363636364		1
000050:	0.597804545454545	0.402195454545455		1
000051:	0.098869318181818	0.901130681818182		1
000052:	0.175090909090909	0.824909090909091		1
000053:	0.661440340909091	0.338559659090909		1
000054:	0.799703409090909	0.200296590909091		1
000055:	0.207092045454545	0.792907954545455		1
000056:	0.545133522727273	0.454866477272727		1
000057:	0.631120454545455	0.368879545454545		1
000058:	0.791861931818182	0.208138068181818		1
000059:	0.879093750000000	0.120906250000000		1
000060:	0.426063068181818	0.573936931818182		1
000061:	0.674031818181818	0.325968181818182		1
000062:	0.165366477272727	0.834633522727273		1
000063:	0.124987500000000	0.875012500000000		1
000064:	0.065925000000000	0.934075000000000		1
000065:	0.132069318181818	0.867930681818182		1
000066:	0.705516477272727	0.294483522727273		1
000067:	0.086415909090909	0.913584090909091		1
000068:	0.846860227272727	0.153139772727273		1
000069:	0.793573295454545	0.206426704545455		1
000070:	0.612979545454545	0.387020454545455		1
000071:	0.864852840909091	0.135147159090909		1
000072:	0.334389204545455	0.665610795454545		1
000073:	0.264991477272727	0.735008522727273		1
000074:	0.894915340909091	0.105084659090909		1
000075:	0.764027840909091	0.235972159090909		1
000076:	0.506507386363636	0.493492613636364		1
000077:	0.479959659090909	0.520040340909091		1
000078:	0.270308522727273	0.729691477272727		1
000079:	0.862011363636364	0.137988636363636		1
000080:	0.819731818181818	0.180268181818182		1
000081:	0.314909659090909	0.685090340909091		1
000082:	0.376562500000000	0.623437500000000		1
000083:	0.532165909090909	0.467834090909091		1
000084:	0.338903409090909	0.661096590909091		1
000085:	0.719436363636364	0.280563636363636		1
000086:	0.645706818181818	0.354293181818182		1
000087:	0.857202272727273	0.142797727272727		1
000088:	0.885888068181818	0.114111931818182		1
000089:	0.861471022727273	0.138528977272727		1
000090:	0.907463636363636	0.092536363636364		1
000091:	0.816485795454545	0.183514204545455		1
000092:	0.710367045454545	0.289632954545455		1
000093:	0.604067045454545	0.395932954545455		1
000094:	0.800769886363636	0.199230113636364		1
000095:	0.240368750000000	0.759631250000000		1
000096:	0.320631818181818	0.679368181818182		1
000097:	0.914635227272727	0.085364772727273		1
000098:	0.825068750000000	0.174931250000000		1
000099:	0.755138068181818	0.244861931818182		1
000100:	0.407164204545455	0.592835795454545		1
000101:	0.871649431818182	0.128350568181818		1
