Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	
000001:	0.015382954545455	0.559468181818182	0.425148863636364		1
000002:	0.005931818181818	0.871447727272727	0.122620454545455		1
000003:	0.014328977272727	0.823243181818182	0.162427840909091		1
000004:	0.010011363636364	0.883721022727273	0.106267613636364		1
000005:	0.006676136363636	0.602982954545455	0.390340909090909		1
000006:	0.019238068181818	0.761009659090909	0.219752272727273		1
000007:	0.007486363636364	0.908161363636364	0.084352272727273		1
000008:	0.013682954545455	0.891404545454546	0.094912500000000		1
000009:	0.007377840909091	0.856068750000000	0.136553409090909		1
000010:	0.008788068181818	0.704746022727273	0.286465909090909		1
000011:	0.087157386363636	0.568956818181818	0.343885795454545		1
000012:	0.094916477272727	0.071690909090909	0.833392613636364		1
000013:	0.447961363636364	0.082961931818182	0.469076704545455		1
000014:	0.119163636363636	0.500553977272727	0.380282386363636		1
000015:	0.034845454545455	0.276985227272727	0.688169318181818		1
000016:	0.046771590909091	0.710734090909091	0.242494318181818		1
000017:	0.031483522727273	0.075255681818182	0.893260795454546		1
000018:	0.428776704545455	0.046073863636364	0.525149431818182		1
000019:	0.099215340909091	0.149595454545455	0.751189204545455		1
000020:	0.030254545454545	0.159297159090909	0.810448295454545		1
000021:	0.085759090909091	0.091643750000000	0.822597159090909		1
000022:	0.037560227272727	0.052259090909091	0.910180681818182		1
000023:	0.233246590909091	0.205571022727273	0.561182386363636		1
000024:	0.181450000000000	0.171123863636364	0.647426136363636		1
000025:	0.390906250000000	0.082099431818182	0.526994318181818		1
000026:	0.083177272727273	0.037317045454545	0.879505681818182		1
000027:	0.141683522727273	0.039023863636364	0.819292613636364		1
000028:	0.058911363636364	0.351511363636364	0.589577272727273		1
000029:	0.070417613636364	0.089047727272727	0.840534659090909		1
000030:	0.165504545454545	0.288101704545455	0.546393750000000		1
000031:	0.309704545454545	0.044658522727273	0.645636931818182		1
000032:	0.100305681818182	0.093842045454545	0.805852272727273		1
000033:	0.059876136363636	0.153288636363636	0.786835227272727		1
000034:	0.075995454545455	0.238749431818182	0.685255113636364		1
000035:	0.361692613636364	0.119488636363636	0.518818750000000		1
000036:	0.045945454545455	0.143332954545455	0.810721590909091		1
000037:	0.045782386363636	0.031384659090909	0.922832954545455		1
000038:	0.363790909090909	0.379123295454545	0.257085795454545		1
000039:	0.138313636363636	0.045524431818182	0.816161931818182		1
000040:	0.142429545454545	0.353136931818182	0.504433522727273		1
000041:	0.057951704545455	0.082777272727273	0.859271022727273		1
000042:	0.314876704545455	0.060881818181818	0.624241477272727		1
000043:	0.030398295454545	0.200445454545455	0.769156250000000		1
000044:	0.038511363636364	0.082444886363636	0.879043750000000		1
000045:	0.093166477272727	0.069657386363636	0.837176136363636		1
000046:	0.431821022727273	0.211998863636364	0.356180113636364		1
000047:	0.118289772727273	0.320896022727273	0.560814204545454		1
000048:	0.027683522727273	0.690446590909091	0.281869886363636		1
000049:	0.051156818181818	0.219412500000000	0.729430681818182		1
000050:	0.086024431818182	0.252001704545455	0.661973863636364		1
000051:	0.028255681818182	0.842190909090909	0.129553409090909		1
000052:	0.030158522727273	0.682289772727273	0.287551704545455		1
000053:	0.039265340909091	0.173036931818182	0.787697727272727		1
000054:	0.452265340909091	0.188533522727273	0.359201136363636		1
000055:	0.028396590909091	0.428251704545455	0.543351704545455		1
000056:	0.029646590909091	0.216737500000000	0.753615909090909		1
000057:	0.023705681818182	0.162712500000000	0.813581818181818		1
000058:	0.156292613636364	0.157052272727273	0.686655113636364		1
000059:	0.059453409090909	0.073488068181818	0.867058522727273		1
000060:	0.026625568181818	0.197640340909091	0.775734090909091		1
000061:	0.025894318181818	0.121516477272727	0.852589204545455		1
000062:	0.034188636363636	0.702756818181818	0.263054545454545		1
000063:	0.035341477272727	0.841238636363636	0.123419886363636		1
000064:	0.016164204545455	0.903033522727273	0.080802272727273		1
000065:	0.031424431818182	0.586752840909091	0.381822727272727		1
000066:	0.022369318181818	0.085144318181818	0.892486363636364		1
000067:	0.023865909090909	0.865760227272727	0.110373863636364		1
000068:	0.054963636363636	0.083514772727273	0.861521590909091		1
000069:	0.015627272727273	0.093482386363636	0.890890340909091		1
000070:	0.114752272727273	0.359607386363636	0.525640340909091		1
000071:	0.043475000000000	0.083378977272727	0.873146022727273		1
000072:	0.028857954545455	0.400435227272727	0.570706818181818		1
000073:	0.028828409090909	0.356615340909091	0.614556250000000		1
000074:	0.417290909090909	0.086505681818182	0.496203409090909		1
000075:	0.114671022727273	0.148362500000000	0.736966477272727		1
000076:	0.226676136363636	0.528684659090909	0.244639204545455		1
000077:	0.218171590909091	0.463407386363636	0.318421022727273		1
000078:	0.028060795454545	0.451615909090909	0.520323295454545		1
000079:	0.136931818181818	0.119717613636364	0.743350568181818		1
000080:	0.302319886363636	0.126608522727273	0.571071590909091		1
000081:	0.018483522727273	0.252971590909091	0.728544886363636		1
000082:	0.029131818181818	0.351489772727273	0.619378409090909		1
000083:	0.036675000000000	0.203490909090909	0.759834090909091		1
000084:	0.232881250000000	0.593018181818182	0.174100568181818		1
000085:	0.043688068181818	0.227596022727273	0.728715909090909		1
000086:	0.126810795454545	0.326226136363636	0.546963068181818		1
000087:	0.018784090909091	0.069595454545455	0.911620454545455		1
000088:	0.045858522727273	0.059889772727273	0.894251704545455		1
000089:	0.048588636363636	0.107960227272727	0.843451136363636		1
000090:	0.391252272727273	0.078171022727273	0.530576704545455		1
000091:	0.580042045454545	0.166213068181818	0.253744886363636		1
000092:	0.076040909090909	0.133002272727273	0.790956818181818		1
000093:	0.178731250000000	0.255380681818182	0.565888068181818		1
000094:	0.126159090909091	0.140663068181818	0.733177840909091		1
000095:	0.035917045454545	0.443503977272727	0.520578977272727		1
000096:	0.043875568181818	0.546410795454545	0.409713636363636		1
000097:	0.032478409090909	0.046465340909091	0.921056250000000		1
000098:	0.024691477272727	0.078519318181818	0.896789204545455		1
000099:	0.056192613636364	0.209922727272727	0.733884659090909		1
000100:	0.048843750000000	0.358362500000000	0.592793750000000		1
000101:	0.018468750000000	0.062570454545455	0.918960795454545		1
000102:	0.049255113636364	0.138858522727273	0.811886363636364		1
000103:	0.237115909090909	0.303614772727273	0.459269318181818		1
000104:	0.042427272727273	0.458651704545455	0.498921022727273		1
000105:	0.046814204545455	0.068234090909091	0.884951704545455		1
000106:	0.058453977272727	0.106232386363636	0.835313636363636		1
000107:	0.036762500000000	0.141293750000000	0.821943750000000		1
000108:	0.080211363636364	0.245253409090909	0.674535227272727		1
000109:	0.082675568181818	0.145907954545455	0.771416477272727		1
000110:	0.765015909090909	0.130669886363636	0.104314204545455		1
000111:	0.042641477272727	0.514346022727273	0.443012500000000		1
000112:	0.142868181818182	0.128649431818182	0.728482386363636		1
000113:	0.033264204545455	0.235325568181818	0.731410227272727		1
000114:	0.187440909090909	0.269270454545455	0.543288636363636		1
000115:	0.075389772727273	0.177875568181818	0.746734659090909		1
000116:	0.060929545454545	0.430207954545455	0.508862500000000		1
000117:	0.035616477272727	0.154860227272727	0.809523295454545		1
000118:	0.024362500000000	0.641785795454546	0.333851704545455		1
000119:	0.036700000000000	0.058587500000000	0.904712500000000		1
000120:	0.041793750000000	0.439469886363636	0.518736363636364		1
000121:	0.211021022727273	0.178339772727273	0.610639204545455		1
000122:	0.023247159090909	0.056088068181818	0.920664772727273		1
000123:	0.063294886363636	0.356713068181818	0.579992045454545		1
000124:	0.144234090909091	0.212112500000000	0.643653409090909		1
000125:	0.026127272727273	0.802631818181818	0.171240909090909		1
000126:	0.040100568181818	0.894426136363636	0.065473295454545		1
000127:	0.051055681818182	0.246538068181818	0.702406250000000		1
000128:	0.043646590909091	0.289813636363636	0.666539772727273		1
000129:	0.174984090909091	0.062863636363636	0.762152272727273		1
000130:	0.058266477272727	0.635317045454545	0.306416477272727		1
000131:	0.033557386363636	0.124538068181818	0.841904545454545		1
000132:	0.035668181818182	0.255013636363636	0.709318181818182		1
000133:	0.306412500000000	0.386384090909091	0.307203409090909		1
000134:	0.253782386363636	0.200800000000000	0.545417613636364		1
000135:	0.207289772727273	0.058669886363636	0.734040340909091		1
000136:	0.041167613636364	0.400150568181818	0.558681818181818		1
000137:	0.213890909090909	0.090194318181818	0.695914772727273		1
000138:	0.105426704545455	0.426647159090909	0.467926136363636		1
000139:	0.053723863636364	0.202210795454545	0.744065340909091		1
000140:	0.706598863636364	0.064265909090909	0.229135227272727		1
000141:	0.044961363636364	0.791196022727273	0.163842613636364		1
000142:	0.060781250000000	0.066294886363636	0.872923863636364		1
000143:	0.025797727272727	0.133613636363636	0.840588636363636		1
000144:	0.020938636363636	0.183675568181818	0.795385795454545		1
000145:	0.089975000000000	0.627857386363636	0.282167613636364		1
000146:	0.089421590909091	0.192207954545455	0.718370454545455		1
000147:	0.026842613636364	0.432881818181818	0.540275568181818		1
000148:	0.043778977272727	0.396413636363636	0.559807386363636		1
000149:	0.047180681818182	0.204447727272727	0.748371590909091		1
000150:	0.155932386363636	0.052161931818182	0.791905681818182		1
000151:	0.033732954545455	0.350208522727273	0.616058522727273		1
000152:	0.143521022727273	0.305685795454545	0.550793181818182		1
000153:	0.031644886363636	0.078028977272727	0.890326136363636		1
000154:	0.030817613636364	0.747232954545455	0.221949431818182		1
000155:	0.067017045454545	0.199906818181818	0.733076136363636		1
000156:	0.027214204545455	0.092077840909091	0.880707954545455		1
000157:	0.023733522727273	0.823657954545455	0.152608522727273		1
000158:	0.022335227272727	0.797558522727273	0.180106250000000		1
000159:	0.201660795454545	0.550647159090909	0.247692045454545		1
000160:	0.009827840909091	0.970380681818182	0.019791477272727		1
000161:	0.016122159090909	0.939015340909091	0.044862500000000		1
000162:	0.392184659090909	0.409996022727273	0.197819318181818		1
000163:	0.009426136363636	0.676719886363636	0.313853977272727		1
000164:	0.011081818181818	0.943124431818182	0.045793750000000		1
000165:	0.010187500000000	0.910225568181818	0.079586931818182		1
000166:	0.009355681818182	0.845726136363636	0.144918181818182		1
000167:	0.043114204545455	0.702455113636364	0.254430681818182		1
000168:	0.042664204545455	0.277427840909091	0.679907954545454		1
000169:	0.028525568181818	0.089593181818182	0.881881250000000		1
000170:	0.038155113636364	0.539321590909091	0.422523295454545		1
000171:	0.057790340909091	0.540005681818182	0.402203977272727		1
000172:	0.072492045454545	0.432067613636364	0.495440340909091		1
000173:	0.016539204545455	0.133578409090909	0.849882386363636		1
000174:	0.047904545454545	0.063580113636364	0.888515340909091		1
000175:	0.104346022727273	0.391943750000000	0.503710227272727		1
000176:	0.019751136363636	0.199892613636364	0.780356250000000		1
000177:	0.031307954545455	0.091995454545455	0.876696590909091		1
000178:	0.020471022727273	0.121042045454545	0.858486931818182		1
000179:	0.029399431818182	0.213302272727273	0.757298295454545		1
000180:	0.133573863636364	0.472382386363636	0.394043750000000		1
000181:	0.040426136363636	0.758395454545455	0.201178409090909		1
000182:	0.175993750000000	0.178120454545455	0.645885795454545		1
000183:	0.029523863636364	0.549621590909091	0.420854545454545		1
000184:	0.090604545454545	0.200895454545455	0.708500000000000		1
000185:	0.297464204545455	0.192150568181818	0.510385227272727		1
000186:	0.113401136363636	0.503606250000000	0.382992613636364		1
000187:	0.075394886363636	0.458058522727273	0.466546590909091		1
000188:	0.055012500000000	0.660714772727273	0.284272727272727		1
000189:	0.017497159090909	0.180340909090909	0.802161931818182		1
000190:	0.051836931818182	0.422132954545455	0.526030113636364		1
000191:	0.018618181818182	0.106562500000000	0.874819318181818		1
000192:	0.040727272727273	0.113096590909091	0.846176136363636		1
000193:	0.039131818181818	0.103671590909091	0.857196590909091		1
000194:	0.175186931818182	0.291612500000000	0.533200568181818		1
000195:	0.015810795454545	0.037898295454545	0.946290909090909		1
000196:	0.012723863636364	0.884710795454545	0.102565340909091		1
000197:	0.021278977272727	0.437915909090909	0.540805113636364		1
000198:	0.096886363636364	0.392517045454545	0.510596590909091		1
000199:	0.020213068181818	0.901597159090909	0.078189772727273		1
000200:	0.020186931818182	0.900952272727273	0.078860795454545		1
000201:	0.649060227272727	0.008595454545455	0.342344318181818		1
000202:	0.120667045454545	0.193386931818182	0.685946022727273		1
000203:	0.046501704545455	0.480732954545455	0.472765340909091		1
000204:	0.035069318181818	0.759509659090909	0.205421022727273		1
000205:	0.070688068181818	0.607597159090909	0.321714772727273		1
000206:	0.344814204545455	0.276153977272727	0.379031818181818		1
000207:	0.057203409090909	0.191067045454545	0.751729545454545		1
000208:	0.034259659090909	0.381722727272727	0.584017613636364		1
000209:	0.028744886363636	0.640767613636364	0.330487500000000		1
000210:	0.028211931818182	0.272422159090909	0.699365909090909		1
000211:	0.019990909090909	0.479177272727273	0.500831818181818		1
000212:	0.026064772727273	0.889551136363636	0.084384090909091		1
000213:	0.019352272727273	0.855466477272727	0.125181250000000		1
000214:	0.032407954545455	0.795543750000000	0.172048295454545		1
000215:	0.074321590909091	0.632567613636364	0.293110795454545		1
000216:	0.024707954545455	0.873266477272727	0.102025568181818		1
000217:	0.021655113636364	0.005900000000000	0.972444886363636		1
000218:	0.013884090909091	0.881301704545455	0.104814204545455		1
000219:	0.011217045454545	0.942410795454545	0.046372159090909		1
000220:	0.008313068181818	0.940132386363636	0.051554545454545		1
000221:	0.014705681818182	0.938013636363636	0.047280681818182		1
000222:	0.011917045454545	0.941611931818182	0.046471022727273		1
000223:	0.127919318181818	0.573839772727273	0.298240909090909		1
000224:	0.392152840909091	0.087072159090909	0.520775000000000		1
000225:	0.240625568181818	0.087130113636364	0.672244318181818		1
000226:	0.114427840909091	0.350764204545455	0.534807954545455		1
000227:	0.401305681818182	0.143428977272727	0.455265340909091		1
000228:	0.864753409090909	0.109601136363636	0.025645454545455		1
000229:	0.365459090909091	0.264015909090909	0.370525000000000		1
000230:	0.087794318181818	0.880639204545455	0.031566477272727		1
000231:	0.237203977272727	0.250682386363636	0.512113636363636		1
000232:	0.165851704545455	0.742603409090909	0.091544886363636		1
000233:	0.334115909090909	0.096046022727273	0.569838068181818		1
000234:	0.703079545454545	0.067858522727273	0.229061931818182		1
000235:	0.856331818181818	0.069056250000000	0.074611931818182		1
000236:	0.587920454545454	0.337717613636364	0.074361931818182		1
000237:	0.580689772727273	0.084869886363636	0.334440340909091		1
000238:	0.142786931818182	0.517031250000000	0.340181818181818		1
000239:	0.445727272727273	0.238711931818182	0.315560795454545		1
000240:	0.211453977272727	0.692031250000000	0.096514772727273		1
000241:	0.132323863636364	0.165353409090909	0.702322727272727		1
000242:	0.345660795454545	0.072332386363636	0.582006818181818		1
000243:	0.720964772727273	0.231423295454545	0.047611931818182		1
000244:	0.222538636363636	0.522436931818182	0.255024431818182		1
000245:	0.239644886363636	0.421845454545455	0.338509659090909		1
000246:	0.612568750000000	0.112183522727273	0.275247727272727		1
000247:	0.352543181818182	0.256458522727273	0.390998295454545		1
000248:	0.251217613636364	0.577814772727273	0.170967613636364		1
000249:	0.815943181818182	0.116133522727273	0.067923295454545		1
000250:	0.549760795454545	0.075892045454545	0.374347159090909		1
000251:	0.552817045454545	0.166715909090909	0.280467045454545		1
000252:	0.251693181818182	0.661855113636364	0.086451704545455		1
000253:	0.759810795454545	0.193421590909091	0.046767613636364		1
000254:	0.581905113636364	0.351159659090909	0.066935227272727		1
000255:	0.642492045454545	0.254967613636364	0.102540340909091		1
000256:	0.145706818181818	0.343509659090909	0.510783522727273		1
000257:	0.079755113636364	0.855426704545455	0.064818181818182		1
000258:	0.052444886363636	0.248690909090909	0.698864204545455		1
000259:	0.195961363636364	0.577087500000000	0.226951136363636		1
000260:	0.667796022727273	0.246462500000000	0.085741477272727		1
000261:	0.505863636363636	0.358644886363636	0.135491477272727		1
