Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	
000001:	0.651276136363636	0.177906818181818	0.013913068181818	0.156903977272727		1
000002:	0.874330681818182	0.044488636363636	0.008446022727273	0.072734659090909		1
000003:	0.873977272727273	0.037537500000000	0.017206818181818	0.071278409090909		1
000004:	0.005305113636364	0.001159659090909	0.084330681818182	0.909204545454545		1
000005:	0.865382954545455	0.095630113636364	0.006595454545455	0.032391477272727		1
000006:	0.850970454545455	0.075798863636364	0.019835227272727	0.053395454545455		1
000007:	0.813812500000000	0.029389772727273	0.007803977272727	0.148993750000000		1
000008:	0.938525568181818	0.026675568181818	0.006329545454545	0.028469318181818		1
000009:	0.879079545454545	0.072784090909091	0.008402272727273	0.039734090909091		1
000010:	0.841173863636364	0.093826136363636	0.014160795454545	0.050839204545455		1
000011:	0.533520454545454	0.247867045454545	0.090998295454545	0.127614204545455		1
000012:	0.217052272727273	0.514784659090909	0.244065909090909	0.024097159090909		1
000013:	0.158300568181818	0.370546590909091	0.446023863636364	0.025128977272727		1
000014:	0.683634659090909	0.092576136363636	0.191843181818182	0.031946022727273		1
000015:	0.804548863636364	0.131681818181818	0.040623863636364	0.023145454545455		1
000016:	0.801976136363636	0.089214204545455	0.056600568181818	0.052209090909091		1
000017:	0.375732954545455	0.516679545454545	0.037357954545455	0.070229545454545		1
000018:	0.118822159090909	0.536614204545454	0.323433522727273	0.021130113636364		1
000019:	0.505778409090909	0.280440340909091	0.180490909090909	0.033290340909091		1
000020:	0.528438636363636	0.375450568181818	0.053126136363636	0.042984659090909		1
000021:	0.067682954545455	0.796212500000000	0.048615340909091	0.087489204545455		1
000022:	0.287806818181818	0.645276704545454	0.046092613636364	0.020823863636364		1
000023:	0.236133522727273	0.394833522727273	0.271702272727273	0.097330681818182		1
000024:	0.419219318181818	0.306119318181818	0.213997727272727	0.060663636363636		1
000025:	0.182368750000000	0.284013636363636	0.503637500000000	0.029980113636364		1
000026:	0.133883522727273	0.750485227272727	0.082514204545455	0.033117045454545		1
000027:	0.082099431818182	0.787005113636364	0.112601704545455	0.018293750000000		1
000028:	0.394847727272727	0.344884659090909	0.058225000000000	0.202042613636364		1
000029:	0.345986363636364	0.520342045454545	0.079189204545455	0.054482386363636		1
000030:	0.449802840909091	0.223273863636364	0.210880681818182	0.116042613636364		1
000031:	0.073704545454545	0.717735227272727	0.184360795454545	0.024199431818182		1
000032:	0.095185795454545	0.792518181818182	0.065269886363636	0.047026136363636		1
000033:	0.217343181818182	0.609130113636364	0.073207386363636	0.100319318181818		1
000034:	0.722522159090909	0.160364204545455	0.060019318181818	0.057094318181818		1
000035:	0.100965340909091	0.593356818181818	0.164648295454545	0.141029545454545		1
000036:	0.363080113636364	0.513417045454545	0.039723295454545	0.083779545454545		1
000037:	0.136351704545455	0.786768750000000	0.052925568181818	0.023953977272727		1
000038:	0.254609090909091	0.163222159090909	0.360242613636364	0.221926136363636		1
000039:	0.157785227272727	0.681571022727273	0.133769318181818	0.026874431818182		1
000040:	0.635918181818182	0.155164204545455	0.145556818181818	0.063360795454545		1
000041:	0.269638636363636	0.616288068181818	0.074699431818182	0.039373863636364		1
000042:	0.125504545454545	0.457053977272727	0.379948863636364	0.037492613636364		1
000043:	0.575867613636364	0.245089772727273	0.152567613636364	0.026475000000000		1
000044:	0.332871022727273	0.569473295454546	0.060882386363636	0.036773295454545		1
000045:	0.098531250000000	0.801102840909091	0.080834659090909	0.019531250000000		1
000046:	0.183395454545455	0.529253977272727	0.148565909090909	0.138784659090909		1
000047:	0.396931818181818	0.352665909090909	0.114375000000000	0.136027272727273		1
000048:	0.861308522727273	0.069107954545455	0.029307954545455	0.040275568181818		1
000049:	0.684681818181818	0.222106250000000	0.058632386363636	0.034579545454545		1
000050:	0.504726704545455	0.342486363636364	0.079157954545455	0.073628977272727		1
000051:	0.848227840909091	0.067606250000000	0.040025000000000	0.044140909090909		1
