Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	
000001:	0.135467045454545	0.088840340909091	0.589407954545455	0.171967613636364	0.014317045454545		1
000002:	0.043606818181818	0.029825568181818	0.889459659090909	0.031468181818182	0.005639772727273		1
000003:	0.105217613636364	0.302793181818182	0.544440909090909	0.037993181818182	0.009555113636364		1
000004:	0.021713636363636	0.024345454545455	0.928994886363636	0.018226136363636	0.006719886363636		1
000005:	0.023601136363636	0.050719886363636	0.873077272727273	0.044786931818182	0.007814772727273		1
000006:	0.035369318181818	0.026803409090909	0.865735795454545	0.048490909090909	0.023600568181818		1
000007:	0.116232954545455	0.033056818181818	0.826838636363636	0.016714772727273	0.007156818181818		1
000008:	0.038978977272727	0.051088636363636	0.882942045454545	0.021206818181818	0.005783522727273		1
000009:	0.034190340909091	0.025991477272727	0.890265340909091	0.043829545454545	0.005723295454545		1
000010:	0.009588636363636	0.614661363636364	0.362617045454545	0.011250000000000	0.001882954545455		1
000011:	0.159976704545455	0.111680113636364	0.412851136363636	0.190420454545455	0.125071590909091		1
000012:	0.020634090909091	0.431400568181818	0.369281250000000	0.125721022727273	0.052963068181818		1
000013:	0.026836931818182	0.159875000000000	0.135123295454545	0.175601704545455	0.502563068181818		1
000014:	0.041331250000000	0.086408522727273	0.461552840909091	0.192218750000000	0.218488636363636		1
000015:	0.027980681818182	0.415070454545455	0.368617613636364	0.134346022727273	0.053985227272727		1
000016:	0.058689204545455	0.089447159090909	0.692837500000000	0.062535227272727	0.096490909090909		1
000017:	0.041094886363636	0.166864204545455	0.202043181818182	0.525561363636364	0.064436363636364		1
000018:	0.022172159090909	0.150215340909091	0.111917045454545	0.337971022727273	0.377724431818182		1
000019:	0.016421022727273	0.748223295454545	0.078805113636364	0.100832386363636	0.055718181818182		1
000020:	0.033786363636364	0.062515909090909	0.433833522727273	0.398522727272727	0.071341477272727		1
000021:	0.104464772727273	0.346115909090909	0.059230681818182	0.433455681818182	0.056732954545455		1
000022:	0.027424431818182	0.560205113636364	0.138869318181818	0.189597727272727	0.083903409090909		1
000023:	0.061963636363636	0.274063636363636	0.188214204545455	0.252990909090909	0.222767613636364		1
000024:	0.043863068181818	0.040250568181818	0.371369318181818	0.311368750000000	0.233148295454545		1
000025:	0.028498863636364	0.227333522727273	0.152297159090909	0.177363636363636	0.414506818181818		1
000026:	0.010510795454545	0.767619886363636	0.037024431818182	0.144946022727273	0.039898863636364		1
000027:	0.019189772727273	0.067902272727273	0.077997727272727	0.656927272727273	0.177982954545455		1
000028:	0.255336931818182	0.100820454545455	0.230707386363636	0.352155681818182	0.060979545454545		1
000029:	0.463114772727273	0.005234090909091	0.489584090909091	0.029067045454545	0.013000000000000		1
000030:	0.056732954545455	0.635050568181818	0.143701136363636	0.081911931818182	0.082603409090909		1
000031:	0.022467045454545	0.210559659090909	0.068886363636364	0.476625568181818	0.221461363636364		1
000032:	0.062932954545455	0.087854545454545	0.127375568181818	0.661661931818182	0.060175000000000		1
000033:	0.072418181818182	0.444820454545455	0.122848863636364	0.295702272727273	0.064210227272727		1
000034:	0.079517613636364	0.075733522727273	0.508305113636364	0.241322727272727	0.095121022727273		1
000035:	0.138435795454545	0.118475000000000	0.073567613636364	0.552476704545455	0.117044886363636		1
000036:	0.077968750000000	0.085008522727273	0.251501704545455	0.481325568181818	0.104195454545455		1
000037:	0.028118181818182	0.154702272727273	0.119112500000000	0.599627840909091	0.098439204545455		1
000038:	0.232610795454545	0.159228977272727	0.186751136363636	0.165138636363636	0.256270454545455		1
000039:	0.023757954545455	0.416419318181818	0.074259659090909	0.230298295454545	0.255264772727273		1
000040:	0.033927840909091	0.070105113636364	0.576143181818182	0.115985227272727	0.203838636363636		1
000041:	0.038135795454545	0.143224431818182	0.224730681818182	0.478832954545455	0.115076136363636		1
000042:	0.042393750000000	0.228165909090909	0.102189772727273	0.430869886363636	0.196380681818182		1
000043:	0.038910227272727	0.147065909090909	0.475701704545455	0.266246590909091	0.072075568181818		1
000044:	0.035563068181818	0.245399431818182	0.198671022727273	0.442159659090909	0.078206818181818		1
000045:	0.016182386363636	0.136747159090909	0.084918750000000	0.612933522727273	0.149218181818182		1
000046:	0.126767613636364	0.298762500000000	0.144083522727273	0.270026136363636	0.160360227272727		1
000047:	0.107750000000000	0.090639772727273	0.402418750000000	0.322451704545455	0.076739772727273		1
000048:	0.050784090909091	0.267788636363636	0.583113068181818	0.059088636363636	0.039225568181818		1
000049:	0.046643181818182	0.598901704545455	0.232262500000000	0.088101136363636	0.034091477272727		1
000050:	0.079835227272727	0.221388068181818	0.402328977272727	0.173103409090909	0.123344318181818		1
000051:	0.046144318181818	0.063432954545455	0.819866477272727	0.048401704545455	0.022154545454545		1
000052:	0.023692613636364	0.060735227272727	0.845170454545455	0.043325000000000	0.027076704545455		1
000053:	0.041236931818182	0.292952272727273	0.411235227272727	0.173291477272727	0.081284090909091		1
000054:	0.124858522727273	0.098598863636364	0.165172727272727	0.132892613636364	0.478477272727273		1
000055:	0.037130113636364	0.212036363636364	0.620140909090909	0.094244886363636	0.036447727272727		1
000056:	0.028825568181818	0.509373295454545	0.327606250000000	0.091978409090909	0.042216477272727		1
000057:	0.059223863636364	0.249743750000000	0.336615340909091	0.311744318181818	0.042672727272727		1
000058:	0.018948295454545	0.849785227272727	0.073353409090909	0.027910795454545	0.030002272727273		1
000059:	0.032145454545455	0.810468750000000	0.053586363636364	0.086755113636364	0.017044318181818		1
000060:	0.054135795454545	0.562480113636364	0.274662500000000	0.084343181818182	0.024378409090909		1
000061:	0.032169318181818	0.616332386363636	0.201552840909091	0.120889772727273	0.029055681818182		1
000062:	0.035456818181818	0.118699431818182	0.752976136363636	0.054321022727273	0.038546590909091		1
000063:	0.036194318181818	0.034321022727273	0.842428409090909	0.038015340909091	0.049040909090909		1
000064:	0.055673863636364	0.031169318181818	0.847383522727273	0.024964772727273	0.040808522727273		1
000065:	0.040011363636364	0.455790340909091	0.419168181818182	0.060225000000000	0.024805113636364		1
000066:	0.019851136363636	0.363147159090909	0.272699431818182	0.316184090909091	0.028118181818182		1
000067:	0.038384659090909	0.052943181818182	0.838719318181818	0.043560795454545	0.026392045454545		1
000068:	0.016022727272727	0.847610795454545	0.068270454545455	0.047884659090909	0.020211363636364		1
000069:	0.031076136363636	0.489051704545455	0.195822159090909	0.258243750000000	0.025806250000000		1
000070:	0.091706818181818	0.214324431818182	0.384385795454545	0.168993181818182	0.140589772727273		1
000071:	0.039301704545455	0.719944886363636	0.096693181818182	0.102640909090909	0.041419318181818		1
000072:	0.058344886363636	0.365307386363636	0.460567613636364	0.083321590909091	0.032458522727273		1
000073:	0.047219886363636	0.275380681818182	0.547914204545455	0.090457954545455	0.039027272727273		1
000074:	0.033963068181818	0.256469886363636	0.153664772727273	0.249000000000000	0.306902272727273		1
000075:	0.053686363636364	0.210946022727273	0.296923863636364	0.272710795454545	0.165732954545455		1
000076:	0.462780113636364	0.124669886363636	0.118384659090909	0.175827272727273	0.118338068181818		1
000077:	0.314387500000000	0.275215909090909	0.183419886363636	0.134932954545455	0.092043750000000		1
000078:	0.067943181818182	0.327089772727273	0.455367045454545	0.113803977272727	0.035796022727273		1
000079:	0.058848863636364	0.598284659090909	0.130605681818182	0.144713636363636	0.067547159090909		1
000080:	0.053640340909091	0.589244886363636	0.089868181818182	0.154238068181818	0.113008522727273		1
000081:	0.042998863636364	0.460097727272727	0.364493181818182	0.111177272727273	0.021232954545455		1
000082:	0.047421590909091	0.605143750000000	0.268476136363636	0.054036363636364	0.024922159090909		1
000083:	0.037856250000000	0.611855681818182	0.180876704545455	0.128730113636364	0.040681250000000		1
000084:	0.140363636363636	0.079002840909091	0.390959659090909	0.079112500000000	0.310561363636364		1
000085:	0.081455113636364	0.082920454545455	0.331282954545455	0.425396022727273	0.078945454545455		1
000086:	0.063313636363636	0.110564772727273	0.459777272727273	0.213076704545455	0.153267613636364		1
000087:	0.025506250000000	0.656368750000000	0.162852840909091	0.128213636363636	0.027058522727273		1
000088:	0.025193750000000	0.189974431818182	0.121845454545455	0.600099431818182	0.062886931818182		1
000089:	0.068742045454545	0.407011931818182	0.103985227272727	0.383119318181818	0.037141477272727		1
000090:	0.048702840909091	0.409450568181818	0.154027840909091	0.264761363636364	0.123057386363636		1
000091:	0.087722727272727	0.372331250000000	0.047985227272727	0.063615909090909	0.428344886363636		1
000092:	0.025514772727273	0.810973863636364	0.108080681818182	0.032223863636364	0.023206818181818		1
000093:	0.068102840909091	0.337467045454545	0.268701704545455	0.187940909090909	0.137787500000000		1
000094:	0.042934659090909	0.601513068181818	0.166446590909091	0.117981818181818	0.071123863636364		1
000095:	0.047217045454545	0.470515340909091	0.398371022727273	0.053535795454545	0.030360795454545		1
000096:	0.056600568181818	0.091937500000000	0.742427840909091	0.070496590909091	0.038537500000000		1
000097:	0.015887500000000	0.739259659090909	0.070143181818182	0.149510795454545	0.025198863636364		1
000098:	0.013496590909091	0.829405113636364	0.059849431818182	0.081639204545455	0.015609659090909		1
000099:	0.062882954545455	0.176215340909091	0.361563636363636	0.328435795454545	0.070902272727273		1
000100:	0.033747727272727	0.156505113636364	0.690911931818182	0.079909090909091	0.038926136363636		1
000101:	0.030082386363636	0.043038636363636	0.172286931818182	0.729994886363636	0.024597159090909		1
000102:	0.042229545454545	0.176902840909091	0.361030113636364	0.350977840909091	0.068859659090909		1
000103:	0.067853977272727	0.432451136363636	0.197396590909091	0.133791477272727	0.168506818181818		1
000104:	0.024207954545455	0.298052272727273	0.560557386363636	0.086487500000000	0.030694886363636		1
000105:	0.028400000000000	0.207594318181818	0.143964204545455	0.542754545454545	0.077286931818182		1
000106:	0.032912500000000	0.210384659090909	0.176376704545455	0.533973863636364	0.046352272727273		1
000107:	0.028202840909091	0.100065909090909	0.461681250000000	0.359051136363636	0.050998863636364		1
000108:	0.089074431818182	0.096475000000000	0.549566477272727	0.160358522727273	0.104525568181818		1
000109:	0.047217613636364	0.265681818181818	0.199369318181818	0.389581250000000	0.098150000000000		1
000110:	0.062830681818182	0.070562500000000	0.090621590909091	0.051101704545455	0.724883522727273		1
000111:	0.137134659090909	0.183027272727273	0.490213636363636	0.140082386363636	0.049542045454545		1
000112:	0.049457386363636	0.031126704545455	0.171063068181818	0.685300000000000	0.063052840909091		1
000113:	0.031308522727273	0.576519886363636	0.279746022727273	0.076043750000000	0.036381818181818		1
000114:	0.143386931818182	0.703651136363636	0.064830681818182	0.060314772727273	0.027816477272727		1
000115:	0.032502272727273	0.580271022727273	0.208528409090909	0.133982954545455	0.044715340909091		1
000116:	0.042282386363636	0.171892613636364	0.609663068181818	0.099135795454545	0.077026136363636		1
000117:	0.072831250000000	0.088128409090909	0.244167045454545	0.554256818181818	0.040616477272727		1
000118:	0.092917045454545	0.143644318181818	0.646395454545455	0.080556818181818	0.036486363636364		1
000119:	0.024014204545455	0.514807954545455	0.141436931818182	0.274660795454545	0.045080113636364		1
000120:	0.026826704545455	0.043248863636364	0.818817045454545	0.083940909090909	0.027166477272727		1
000121:	0.047310227272727	0.377966477272727	0.211889204545455	0.181157386363636	0.181676704545455		1
000122:	0.014931818181818	0.600065909090909	0.130101136363636	0.231100568181818	0.023800568181818		1
000123:	0.024633522727273	0.795011363636364	0.106054545454545	0.042092045454545	0.032208522727273		1
000124:	0.137544886363636	0.321957386363636	0.138411931818182	0.325661363636364	0.076424431818182		1
000125:	0.208593181818182	0.071665340909091	0.582225568181818	0.076990340909091	0.060525568181818		1
000126:	0.707703409090909	0.041677272727273	0.161377840909091	0.055243181818182	0.033998295454545		1
000127:	0.051113636363636	0.241256250000000	0.458486363636364	0.150881818181818	0.098261931818182		1
000128:	0.042665909090909	0.348197727272727	0.481144886363636	0.088551704545455	0.039439772727273		1
000129:	0.018550000000000	0.805009090909091	0.054246590909091	0.096745454545455	0.025448863636364		1
000130:	0.053533522727273	0.531906818181818	0.285501704545455	0.077263636363636	0.051794318181818		1
