Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	
000001:	0.143815340909091	0.144872727272727	0.111672727272727	0.109052840909091	0.005531250000000	0.485055113636364		1
000002:	0.048965909090909	0.027480681818182	0.104762500000000	0.032930681818182	0.004466477272727	0.781393750000000		1
000003:	0.376485795454545	0.029266477272727	0.054002272727273	0.035798863636364	0.009414204545455	0.495032386363636		1
000004:	0.096002840909091	0.025490340909091	0.447261363636364	0.012085227272727	0.011039772727273	0.408120454545455		1
000005:	0.236457386363636	0.060986363636364	0.051229545454545	0.014809090909091	0.004928409090909	0.631589204545455		1
000006:	0.172819318181818	0.034844886363636	0.419584659090909	0.013359659090909	0.014807386363636	0.344584090909091		1
000007:	0.224787500000000	0.031144318181818	0.062295454545455	0.108901704545455	0.006680113636364	0.566190909090909		1
000008:	0.066748295454545	0.018417045454545	0.040100568181818	0.009585795454545	0.006798863636364	0.858349431818182		1
000009:	0.043930681818182	0.039420454545455	0.053276136363636	0.012883522727273	0.005042613636364	0.845446590909091		1
000010:	0.090509090909091	0.048809659090909	0.065695454545455	0.015630113636364	0.005259659090909	0.774096022727273		1
000011:	0.160304545454545	0.120014204545455	0.296308522727273	0.154111931818182	0.060018750000000	0.209242045454545		1
000012:	0.967196590909091	0.008910227272727	0.015081250000000	0.002291477272727	0.004778977272727	0.001741477272727		1
000013:	0.143935227272727	0.207643750000000	0.288510795454545	0.035923863636364	0.269689204545455	0.054297159090909		1
000014:	0.022073295454545	0.027048863636364	0.877500000000000	0.016909090909091	0.037248295454545	0.019220454545455		1
000015:	0.630148295454545	0.095231818181818	0.094421022727273	0.021272159090909	0.033446590909091	0.125480113636364		1
000016:	0.018128977272727	0.012178977272727	0.935325568181818	0.006169886363636	0.016855681818182	0.011340909090909		1
000017:	0.469963636363636	0.281431250000000	0.099318181818182	0.041278977272727	0.041002272727273	0.067005681818182		1
000018:	0.198139204545455	0.381884090909091	0.078642045454545	0.028992045454545	0.285510227272727	0.026832386363636		1
000019:	0.822069318181818	0.050235795454545	0.020483522727273	0.034565909090909	0.034333522727273	0.038311931818182		1
000020:	0.176914772727273	0.317538068181818	0.350996590909091	0.040634090909091	0.040875568181818	0.073040909090909		1
000021:	0.116450568181818	0.617240909090909	0.036147727272727	0.167018750000000	0.038656818181818	0.024485227272727		1
000022:	0.632975000000000	0.187170454545455	0.064593181818182	0.022122159090909	0.055915340909091	0.037223863636364		1
000023:	0.271860795454545	0.349728409090909	0.088709659090909	0.127050568181818	0.117992613636364	0.044657954545455		1
000024:	0.057305113636364	0.051384090909091	0.839988068181818	0.010978977272727	0.029425568181818	0.010918181818182		1
000025:	0.299641477272727	0.155700568181818	0.161840340909091	0.032260795454545	0.322325568181818	0.028231250000000		1
000026:	0.471033522727273	0.308720454545455	0.066696590909091	0.041480681818182	0.077206250000000	0.034862500000000		1
000027:	0.105240340909091	0.651286363636364	0.059880681818182	0.045190340909091	0.100055681818182	0.038346590909091		1
000028:	0.154246022727273	0.289323295454545	0.105928409090909	0.300453977272727	0.038291477272727	0.111756818181818		1
000029:	0.216785795454545	0.376650000000000	0.200080113636364	0.053544886363636	0.087680681818182	0.065258522727273		1
000030:	0.510208522727273	0.008010227272727	0.466872159090909	0.003183522727273	0.009003977272727	0.002721590909091		1
000031:	0.139667045454545	0.454873295454545	0.066819318181818	0.019924431818182	0.286771022727273	0.031944886363636		1
000032:	0.084303409090909	0.711267045454545	0.074401136363636	0.043872727272727	0.052036363636364	0.034119318181818		1
000033:	0.436726704545455	0.231936931818182	0.101789772727273	0.094830113636364	0.063220454545455	0.071496022727273		1
