Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	
000001:	0.131637500000000	0.109064204545455	0.055209090909091	0.067031818181818	0.085532386363636	0.544926704545455	0.006598295454545		1
000002:	0.339511931818182	0.263751136363636	0.032195454545455	0.127121022727273	0.194581818181818	0.038950000000000	0.003888636363636		1
000003:	0.172926136363636	0.069480681818182	0.023195454545455	0.058053409090909	0.118306818181818	0.544298863636364	0.013738636363636		1
000004:	0.025503409090909	0.158413636363636	0.026120454545455	0.512583522727273	0.114179545454545	0.140184659090909	0.023014772727273		1
000005:	0.062103977272727	0.734363068181818	0.027753977272727	0.040217045454545	0.024828409090909	0.107503409090909	0.003230113636364		1
000006:	0.038077272727273	0.183176136363636	0.047097159090909	0.525981250000000	0.129945454545455	0.056852272727273	0.018870454545455		1
000007:	0.101840340909091	0.361177272727273	0.022901136363636	0.064622727272727	0.310112500000000	0.126361363636364	0.012984659090909		1
000008:	0.119617045454545	0.500043750000000	0.022757386363636	0.062117613636364	0.116395454545455	0.149130113636364	0.029938636363636		1
000009:	0.034375000000000	0.426215909090909	0.019690340909091	0.443385227272727	0.043470454545455	0.029632954545455	0.003230113636364		1
000010:	0.226633522727273	0.440168750000000	0.062459659090909	0.118227272727273	0.063128977272727	0.082211931818182	0.007169886363636		1
000011:	0.692010227272727	0.040759090909091	0.069049431818182	0.078136931818182	0.035440909090909	0.050888636363636	0.033714772727273		1
000012:	0.037489772727273	0.305131818181818	0.209205113636364	0.180548295454545	0.036856818181818	0.086924431818182	0.143843750000000		1
000013:	0.039408522727273	0.094167613636364	0.193048295454545	0.285708522727273	0.028109659090909	0.079096590909091	0.280460795454545		1
000014:	0.018465340909091	0.019940909090909	0.033414772727273	0.854821590909091	0.015810795454545	0.024692045454545	0.032854545454545		1
000015:	0.025846022727273	0.419437500000000	0.072013636363636	0.105942045454545	0.027801704545455	0.314066477272727	0.034892613636364		1
