Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	***Cluster  08***	
000001:	0.287850568181818	0.111231250000000	0.063485227272727	0.146656250000000	0.245213068181818	0.066855681818182	0.019372727272727	0.059335227272727		1
000002:	0.201206818181818	0.023978409090909	0.017484090909091	0.121218181818182	0.559765909090909	0.057097159090909	0.006096022727273	0.013153409090909		1
000003:	0.121874431818182	0.153796022727273	0.031648863636364	0.426451704545455	0.167701136363636	0.054146590909091	0.015196022727273	0.029185227272727		1
000004:	0.045236363636364	0.037256250000000	0.018685227272727	0.128657954545455	0.475438068181818	0.275788068181818	0.008783522727273	0.010154545454545		1
000005:	0.284740340909091	0.077089772727273	0.033082954545455	0.280484090909091	0.257850568181818	0.044486363636364	0.006710795454545	0.015555113636364		1
000006:	0.020942045454545	0.009864772727273	0.016628409090909	0.215213636363636	0.442205113636364	0.283821022727273	0.004733522727273	0.006591477272727		1
000007:	0.031957386363636	0.371975000000000	0.017542613636364	0.215576136363636	0.303619886363636	0.031646590909091	0.011281250000000	0.016401136363636		1
000008:	0.035414772727273	0.026471022727273	0.028172727272727	0.152078977272727	0.673674431818182	0.057382386363636	0.009998295454545	0.016807386363636		1
000009:	0.046552840909091	0.019093750000000	0.020706250000000	0.173670454545455	0.678609659090909	0.037911931818182	0.010730681818182	0.012724431818182		1
000010:	0.112827840909091	0.036020454545455	0.033514204545455	0.165552840909091	0.562442045454545	0.067561931818182	0.007350568181818	0.014730113636364		1
000011:	0.388055681818182	0.204352840909091	0.065242613636364	0.040835227272727	0.056394318181818	0.101878409090909	0.064023863636364	0.079217045454545		1
000012:	0.321459659090909	0.036768750000000	0.245163636363636	0.078300568181818	0.042139772727273	0.159476704545455	0.093717613636364	0.022973295454545		1
000013:	0.070396022727273	0.053917613636364	0.230107954545455	0.075705681818182	0.046323295454545	0.269297727272727	0.227127272727273	0.027124431818182		1
000014:	0.017938068181818	0.011107954545455	0.035502840909091	0.024603409090909	0.016284090909091	0.863423863636364	0.023080113636364	0.008059659090909		1
000015:	0.138761363636364	0.027548863636364	0.065094886363636	0.335695454545455	0.113338068181818	0.281772159090909	0.029438068181818	0.008351136363636		1
000016:	0.112689772727273	0.018067045454545	0.034333522727273	0.040345454545455	0.021561363636364	0.731757386363636	0.020522727272727	0.020722727272727		1
000017:	0.217181818181818	0.039247727272727	0.115093181818182	0.436503977272727	0.029558522727273	0.090524431818182	0.042643181818182	0.029247159090909		1
000018:	0.054978977272727	0.057813636363636	0.537351136363636	0.048552840909091	0.049594318181818	0.137309090909091	0.099518750000000	0.014881250000000		1
000019:	0.020396590909091	0.012644886363636	0.075102272727273	0.795833522727273	0.015978977272727	0.028307386363636	0.044377840909091	0.007358522727273		1
000020:	0.198290340909091	0.024353977272727	0.130351704545455	0.227992045454545	0.055736931818182	0.297425000000000	0.037519886363636	0.028330113636364		1
000021:	0.943953409090909	0.000760795454545	0.047656250000000	0.000753409090909	0.000421590909091	0.002131818181818	0.002389772727273	0.001932954545455		1
000022:	0.225904545454545	0.033321590909091	0.267335795454545	0.289311363636364	0.025050000000000	0.091183522727273	0.047227840909091	0.020665340909091		1
000023:	0.020303409090909	0.670666477272727	0.070493181818182	0.118430681818182	0.018425000000000	0.031903409090909	0.050296590909091	0.019481250000000		1
000024:	0.013002272727273	0.069277272727273	0.027838068181818	0.008067045454545	0.006939772727273	0.856994886363636	0.011318750000000	0.006561931818182		1
000025:	0.064715909090909	0.072362500000000	0.239271022727273	0.096153977272727	0.031747159090909	0.247290340909091	0.225869318181818	0.022589772727273		1
000026:	0.168915909090909	0.030361931818182	0.418813636363636	0.179411363636364	0.041989772727273	0.046013636363636	0.087318181818182	0.027175568181818		1
000027:	0.209768750000000	0.009856250000000	0.462722159090909	0.077102840909091	0.034542613636364	0.037764772727273	0.154152272727273	0.014090340909091		1
000028:	0.067594886363636	0.041461363636364	0.139045454545455	0.552167613636364	0.020780681818182	0.062898295454545	0.045099431818182	0.070952272727273		1
000029:	0.113010227272727	0.029382954545455	0.301444886363636	0.227519318181818	0.030333522727273	0.176778409090909	0.069181250000000	0.052349431818182		1
000030:	0.000782386363636	0.000948295454545	0.003689204545455	0.984040340909091	0.000821590909091	0.001005681818182	0.008057954545455	0.000654545454545		1
000031:	0.042960227272727	0.027006818181818	0.725652840909091	0.067618181818182	0.012518181818182	0.068512500000000	0.044960227272727	0.010771022727273		1
000032:	0.381372727272727	0.036827840909091	0.292169318181818	0.044994886363636	0.033365340909091	0.117562500000000	0.065243750000000	0.028463636363636		1
000033:	0.004387500000000	0.001141477272727	0.011317613636364	0.696915909090909	0.267612500000000	0.006183522727273	0.010305113636364	0.002136363636364		1
000034:	0.017232386363636	0.006424431818182	0.034282386363636	0.019628409090909	0.006146590909091	0.901078977272727	0.009849431818182	0.005357386363636		1
000035:	0.040252272727273	0.166618181818182	0.296708522727273	0.114425000000000	0.060013636363636	0.071439772727273	0.210326704545455	0.040215909090909		1
000036:	0.299394318181818	0.039882954545455	0.226706250000000	0.112486931818182	0.088275568181818	0.129246590909091	0.031633522727273	0.072373863636364		1
000037:	0.063611363636364	0.022555113636364	0.521701136363636	0.061677840909091	0.017573863636364	0.185647159090909	0.112823295454545	0.014410227272727		1
