Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000001:	0.867163068181818	0.132836931818182		1
000002:	0.973402272727273	0.026597727272727		1
000003:	0.925180681818182	0.074819318181818		1
000004:	0.975567045454545	0.024432954545455		1
000005:	0.970428409090909	0.029571590909091		1
000006:	0.901357386363636	0.098642613636364		1
000007:	0.986588636363636	0.013411363636364		1
000008:	0.974284090909091	0.025715909090909		1
000009:	0.961473863636364	0.038526136363636		1
000010:	0.872863636363636	0.127136363636364		1
000011:	0.975032386363636	0.024967613636364		1
000012:	0.218570454545455	0.781429545454545		1
000013:	0.062309090909091	0.937690909090909		1
000014:	0.943241477272727	0.056758522727273		1
000015:	0.783534659090909	0.216465340909091		1
000016:	0.982294886363636	0.017705113636364		1
000017:	0.759706250000000	0.240293750000000		1
000018:	0.041306818181818	0.958693181818182		1
000019:	0.356571590909091	0.643428409090909		1
000020:	0.680167613636364	0.319832386363636		1
000021:	0.161641477272727	0.838358522727273		1
000022:	0.229109659090909	0.770890340909091		1
000023:	0.512913068181818	0.487086931818182		1
000024:	0.817033522727273	0.182966477272727		1
000025:	0.161169886363636	0.838830113636364		1
000026:	0.050854545454545	0.949145454545455		1
000027:	0.045267045454545	0.954732954545455		1
000028:	0.883197727272727	0.116802272727273		1
000029:	0.471025568181818	0.528974431818182		1
000030:	0.725486931818182	0.274513068181818		1
000031:	0.026931250000000	0.973068750000000		1
000032:	0.147426704545455	0.852573295454545		1
000033:	0.344830113636364	0.655169886363636		1
000034:	0.969365909090909	0.030634090909091		1
000035:	0.267455681818182	0.732544318181818		1
000036:	0.793772159090909	0.206227840909091		1
000037:	0.108211931818182	0.891788068181818		1
000038:	0.861102840909091	0.138897159090909		1
000039:	0.112897159090909	0.887102840909091		1
000040:	0.896374431818182	0.103625568181818		1
000041:	0.250815909090909	0.749184090909091		1
000042:	0.049833522727273	0.950166477272727		1
000043:	0.759963068181818	0.240036931818182		1
000044:	0.321770454545455	0.678229545454546		1
000045:	0.025238068181818	0.974761931818182		1
000046:	0.121300568181818	0.878699431818182		1
000047:	0.587691477272727	0.412308522727273		1
000048:	0.825994886363636	0.174005113636364		1
000049:	0.489076704545455	0.510923295454545		1
000050:	0.382976136363636	0.617023863636364		1
000051:	0.970282386363636	0.029717613636364		1
000052:	0.941582954545455	0.058417045454545		1
000053:	0.198863068181818	0.801136931818182		1
000054:	0.073716477272727	0.926283522727273		1
000055:	0.866234090909091	0.133765909090909		1
000056:	0.496515340909091	0.503484659090909		1
000057:	0.236547727272727	0.763452272727273		1
000058:	0.099864772727273	0.900135227272727		1
000059:	0.030229545454545	0.969770454545455		1
000060:	0.752000568181818	0.247999431818182		1
000061:	0.327764772727273	0.672235227272727		1
000062:	0.977564204545455	0.022435795454545		1
000063:	0.975658522727273	0.024341477272727		1
000064:	0.989103409090909	0.010896590909091		1
000065:	0.938020454545455	0.061979545454545		1
000066:	0.167868750000000	0.832131250000000		1
000067:	0.986402272727273	0.013597727272727		1
000068:	0.048031250000000	0.951968750000000		1
000069:	0.146382386363636	0.853617613636364		1
000070:	0.566385227272727	0.433614772727273		1
000071:	0.074597727272727	0.925402272727273		1
000072:	0.858256250000000	0.141743750000000		1
000073:	0.817755113636364	0.182244886363636		1
000074:	0.090266477272727	0.909733522727273		1
000075:	0.350841477272727	0.649158522727273		1
000076:	0.672023295454545	0.327976704545455		1
000077:	0.827861931818182	0.172138068181818		1
000078:	0.811554545454545	0.188445454545455		1
000079:	0.130400568181818	0.869599431818182		1
000080:	0.058500000000000	0.941500000000000		1
000081:	0.846886931818182	0.153113068181818		1
000082:	0.829189772727273	0.170810227272727		1
000083:	0.408934659090909	0.591065340909091		1
000084:	0.943601704545455	0.056398295454545		1
000085:	0.390338068181818	0.609661931818182		1
000086:	0.762338636363636	0.237661363636364		1
000087:	0.147396590909091	0.852603409090909		1
