Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	
000001:	0.098087500000000	0.705169886363636	0.196742613636364		1
000002:	0.023902272727273	0.823227272727273	0.152870454545455		1
000003:	0.048438068181818	0.808591477272727	0.142970454545455		1
000004:	0.017090340909091	0.942853409090909	0.040056250000000		1
000005:	0.027675568181818	0.920717045454545	0.051607386363636		1
000006:	0.068014772727273	0.848560227272727	0.083425000000000		1
000007:	0.021303977272727	0.761877272727273	0.216818750000000		1
000008:	0.029088068181818	0.848477840909091	0.122434090909091		1
000009:	0.024742045454545	0.952659090909091	0.022598863636364		1
000010:	0.045568181818182	0.902239772727273	0.052192045454545		1
000011:	0.048835795454545	0.800020454545455	0.151143750000000		1
000012:	0.386449431818182	0.596189772727273	0.017360795454545		1
000013:	0.757856250000000	0.217234659090909	0.024909090909091		1
000014:	0.053627840909091	0.876169886363636	0.070202272727273		1
000015:	0.042314772727273	0.945084659090909	0.012600568181818		1
000016:	0.017051704545455	0.967289204545455	0.015659090909091		1
000017:	0.071046590909091	0.909181818181818	0.019771590909091		1
000018:	0.883038068181818	0.100877272727273	0.016084659090909		1
000019:	0.301647727272727	0.663970454545455	0.034381818181818		1
000020:	0.044937500000000	0.935509090909091	0.019553409090909		1
000021:	0.684061931818182	0.101695454545455	0.214242613636364		1
000022:	0.214342613636364	0.766059090909091	0.019598295454545		1
000023:	0.443510795454545	0.405526136363636	0.150963068181818		1
000024:	0.087857954545455	0.871491477272727	0.040650568181818		1
000025:	0.587109659090909	0.364542045454545	0.048348295454545		1
000026:	0.796156818181818	0.179597159090909	0.024246022727273		1
000027:	0.896584090909091	0.086830681818182	0.016585227272727		1
000028:	0.069609659090909	0.692130113636364	0.238260227272727		1
000029:	0.190905681818182	0.787080681818182	0.022013636363636		1
000030:	0.082923295454545	0.827638068181818	0.089438636363636		1
000031:	0.923844318181818	0.061675568181818	0.014480113636364		1
000032:	0.574847727272727	0.389885227272727	0.035267045454545		1
000033:	0.254908522727273	0.652606250000000	0.092485227272727		1
000034:	0.040784090909091	0.863534090909091	0.095681818181818		1
000035:	0.665312500000000	0.096670454545455	0.238017045454545		1
000036:	0.056105681818182	0.875947159090909	0.067947159090909		1
000037:	0.376645454545455	0.608189204545455	0.015165340909091		1
000038:	0.094857954545455	0.300689772727273	0.604452272727273		1
000039:	0.512810795454545	0.459154545454545	0.028034659090909		1
000040:	0.041253409090909	0.893741477272727	0.065005113636364		1
000041:	0.328556250000000	0.644051136363636	0.027392613636364		1
000042:	0.788344318181818	0.173915909090909	0.037739772727273		1
000043:	0.035944318181818	0.930927840909091	0.033127840909091		1
000044:	0.150107386363636	0.821919886363636	0.027972727272727		1
000045:	0.879380681818182	0.107613068181818	0.013006250000000		1
000046:	0.790171022727273	0.081515909090909	0.128313068181818		1
000047:	0.477397159090909	0.377154545454545	0.145448295454545		1
000048:	0.041490340909091	0.919790909090909	0.038718750000000		1
000049:	0.149321022727273	0.807075568181818	0.043603409090909		1
000050:	0.251939772727273	0.698047727272727	0.050012500000000		1
000051:	0.019406250000000	0.949357386363636	0.031236363636364		1
000052:	0.020227272727273	0.913041477272727	0.066731250000000		1
000053:	0.344669318181818	0.627042045454545	0.028288636363636		1
000054:	0.797017613636364	0.149140909090909	0.053841477272727		1
000055:	0.019348863636364	0.963488636363636	0.017162500000000		1
000056:	0.142142613636364	0.839069886363636	0.018787500000000		1
000057:	0.222364772727273	0.743005113636364	0.034630113636364		1
000058:	0.521084659090909	0.449821590909091	0.029093750000000		1
000059:	0.871100568181818	0.113026704545455	0.015872727272727		1
000060:	0.022576704545455	0.961196590909091	0.016226704545455		1
000061:	0.077574431818182	0.903365340909091	0.019060227272727		1
000062:	0.021259659090909	0.958077840909091	0.020662500000000		1
000063:	0.022182954545455	0.910433522727273	0.067383522727273		1
000064:	0.013429545454545	0.870114204545455	0.116456250000000		1
000065:	0.025548863636364	0.924647159090909	0.049803977272727		1
000066:	0.179908522727273	0.798182954545455	0.021908522727273		1
000067:	0.016591477272727	0.946927840909091	0.036480681818182		1
000068:	0.616478977272727	0.363340340909091	0.020180681818182		1
000069:	0.341931250000000	0.643084659090909	0.014984090909091		1
000070:	0.344835795454545	0.590206250000000	0.064957954545455		1
000071:	0.581383522727273	0.387640340909091	0.030976136363636		1
000072:	0.024981818181818	0.944072727272727	0.030945454545455		1
000073:	0.045061931818182	0.936318181818182	0.018619886363636		1
000074:	0.821621590909091	0.154368750000000	0.024009659090909		1
000075:	0.324578409090909	0.646948295454545	0.028473295454545		1
000076:	0.338162500000000	0.168934090909091	0.492903409090909		1
000077:	0.273719886363636	0.387136931818182	0.339143181818182		1
000078:	0.052585795454545	0.871491477272727	0.075922727272727		1
