Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	
000001:	0.075711363636364	0.431558522727273	0.065461931818182	0.427268181818182		1
000002:	0.027407386363636	0.253963068181818	0.079474431818182	0.639155113636364		1
000003:	0.033724431818182	0.637629545454545	0.045965340909091	0.282680681818182		1
000004:	0.011400000000000	0.075734090909091	0.807131818181818	0.105734090909091		1
000005:	0.019780681818182	0.790250000000000	0.054701136363636	0.135268181818182		1
000006:	0.090643750000000	0.197425000000000	0.626638636363636	0.085292613636364		1
000007:	0.029160795454545	0.241406818181818	0.042612500000000	0.686819886363636		1
000008:	0.027789772727273	0.360142613636364	0.089754545454545	0.522313068181818		1
000009:	0.034838636363636	0.487172159090909	0.285384090909091	0.192605113636364		1
000010:	0.050869886363636	0.668283522727273	0.072147727272727	0.208698863636364		1
000011:	0.000721590909091	0.601075568181818	0.000323863636364	0.397878977272727		1
000012:	0.052460795454545	0.812823863636364	0.101422159090909	0.033293181818182		1
000013:	0.598399431818182	0.171340340909091	0.178963636363636	0.051296590909091		1
000014:	0.011519886363636	0.038572727272727	0.930518181818182	0.019389204545455		1
000015:	0.028484090909091	0.791303409090909	0.140485227272727	0.039727272727273		1
000016:	0.011771590909091	0.028457954545455	0.936532954545455	0.023237500000000		1
000017:	0.025878977272727	0.876959659090909	0.043190340909091	0.053971022727273		1
000018:	0.640384090909091	0.286342045454545	0.050367045454545	0.022906818181818		1
000019:	0.057768750000000	0.851336363636364	0.045064204545455	0.045830681818182		1
000020:	0.039098863636364	0.650692613636364	0.235110227272727	0.075098295454545		1
000021:	0.113013636363636	0.641678409090909	0.017583522727273	0.227724431818182		1
000022:	0.047578409090909	0.864962500000000	0.051035795454545	0.036423295454545		1
000023:	0.148724431818182	0.548857386363636	0.045038068181818	0.257380113636364		1
000024:	0.028555681818182	0.037858522727273	0.914817045454545	0.018768750000000		1
000025:	0.438160227272727	0.292018750000000	0.162811363636364	0.107009659090909		1
000026:	0.077519886363636	0.863078409090909	0.021301704545455	0.038100000000000		1
000027:	0.437840909090909	0.491469318181818	0.041631250000000	0.029058522727273		1
000028:	0.045914204545455	0.490150000000000	0.032117045454545	0.431818750000000		1
000029:	0.105501136363636	0.689290909090909	0.103750568181818	0.101457386363636		1
