Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	
000001:	0.310929545454545	0.405723863636364	0.023848863636364	0.088946022727273	0.170551704545455		1
000002:	0.396191477272727	0.413647159090909	0.018961931818182	0.118094318181818	0.053105113636364		1
000003:	0.733750000000000	0.138000000000000	0.037646590909091	0.058750000000000	0.031853409090909		1
000004:	0.208365340909091	0.040355681818182	0.018557954545455	0.711267613636364	0.021453409090909		1
000005:	0.788677272727273	0.093492613636364	0.010648863636364	0.046296022727273	0.060885227272727		1
000006:	0.004075000000000	0.065461931818182	0.000033522727273	0.000053409090909	0.930376136363636		1
000007:	0.487933522727273	0.426100568181818	0.021421022727273	0.043927840909091	0.020617045454545		1
000008:	0.551150568181818	0.130936363636364	0.025704545454545	0.263620454545455	0.028588068181818		1
000009:	0.529976136363636	0.106295454545455	0.025965909090909	0.300563636363636	0.037198863636364		1
000010:	0.620102272727273	0.098677840909091	0.026835795454545	0.111084659090909	0.143299431818182		1
000011:	0.332964772727273	0.364251704545455	0.041844886363636	0.184539204545455	0.076399431818182		1
000012:	0.471926704545455	0.033841477272727	0.061932386363636	0.144607386363636	0.287692045454545		1
000013:	0.124584659090909	0.055885795454545	0.265530113636364	0.209442613636364	0.344556818181818		1
000014:	0.038546022727273	0.024875000000000	0.015844886363636	0.898850000000000	0.021884090909091		1
000015:	0.792645454545455	0.025397727272727	0.015325568181818	0.111772159090909	0.054859090909091		1
000016:	0.037253977272727	0.020026704545455	0.011735227272727	0.909063068181818	0.021921022727273		1
000017:	0.597752840909091	0.108817613636364	0.012677840909091	0.069568750000000	0.211182954545455		1
000018:	0.099555681818182	0.031170454545455	0.278376136363636	0.068971590909091	0.521926136363636		1
000019:	0.828580113636364	0.044160227272727	0.034714204545455	0.027851704545455	0.064693750000000		1
000020:	0.424363636363636	0.067698295454545	0.015288068181818	0.294468750000000	0.198181250000000		1
000021:	0.075473863636364	0.195815909090909	0.015786931818182	0.023972159090909	0.688951136363636		1
000022:	0.698081250000000	0.038324431818182	0.023207386363636	0.084860227272727	0.155526704545455		1
000023:	0.439674431818182	0.206150000000000	0.083727272727273	0.071897159090909	0.198551136363636		1
000024:	0.023484090909091	0.019603977272727	0.016672159090909	0.919157386363636	0.021082386363636		1
000025:	0.236994886363636	0.071984090909091	0.271371590909091	0.139555113636364	0.280094318181818		1
000026:	0.435021022727273	0.043731818181818	0.037397159090909	0.033479545454545	0.450370454545455		1
000027:	0.069607386363636	0.026488068181818	0.054385227272727	0.046769318181818	0.802750000000000		1
000028:	0.173760795454545	0.582570454545455	0.020177272727273	0.048655113636364	0.174836363636364		1
000029:	0.365690340909091	0.001909659090909	0.000363068181818	0.000851136363636	0.631185795454545		1
000030:	0.756165909090909	0.071226136363636	0.042498295454545	0.069342045454545	0.060767613636364		1
000031:	0.084204545454545	0.031218181818182	0.090109090909091	0.032771590909091	0.761696590909091		1
000032:	0.104638068181818	0.062777840909091	0.023981818181818	0.077905113636364	0.730697159090909		1
000033:	0.519578977272727	0.114109090909091	0.029706818181818	0.055990909090909	0.280614204545455		1
000034:	0.032940909090909	0.020710795454545	0.011468181818182	0.915597727272727	0.019282386363636		1
000035:	0.113241477272727	0.197695454545455	0.065621022727273	0.038651704545455	0.584790340909091		1
000036:	0.441059659090909	0.135373295454545	0.019906250000000	0.166142613636364	0.237518181818182		1
000037:	0.233196022727273	0.035386931818182	0.013933522727273	0.094846590909091	0.622636931818182		1
000038:	0.202915340909091	0.560239204545455	0.090700568181818	0.085336931818182	0.060807954545455		1
000039:	0.472698863636364	0.046694318181818	0.067052272727273	0.096397727272727	0.317156818181818		1
000040:	0.076959659090909	0.044765340909091	0.029303409090909	0.818874431818182	0.030097159090909		1
000041:	0.178443181818182	0.049468750000000	0.025621590909091	0.200735795454545	0.545730681818182		1
000042:	0.182135227272727	0.051915340909091	0.239623295454545	0.109827272727273	0.416498863636364		1
000043:	0.725213636363636	0.105256818181818	0.013435227272727	0.092852272727273	0.063242045454545		1
000044:	0.411610227272727	0.047889772727273	0.018243181818182	0.092921022727273	0.429335795454545		1
000045:	0.165956818181818	0.020355113636364	0.048026136363636	0.023350568181818	0.742311363636364		1
000046:	0.175210795454545	0.138893750000000	0.184181250000000	0.082769318181818	0.418944886363636		1
000047:	0.179834090909091	0.181226704545455	0.104809659090909	0.202970454545455	0.331159090909091		1
000048:	0.842622727272727	0.046846590909091	0.027107386363636	0.062476704545455	0.020946590909091		1
000049:	0.849663636363636	0.055040909090909	0.028017613636364	0.030498295454545	0.036779545454545		1
000050:	0.291262500000000	0.090343750000000	0.073378409090909	0.313720454545455	0.231294886363636		1
000051:	0.034289772727273	0.023127840909091	0.010226704545455	0.917943181818182	0.014412500000000		1
000052:	0.050756250000000	0.021582386363636	0.009317045454545	0.903542613636364	0.014801704545455		1
000053:	0.460765909090909	0.037751136363636	0.049836931818182	0.152471590909091	0.299174431818182		1
000054:	0.161372159090909	0.078644318181818	0.381238068181818	0.072048863636364	0.306696590909091		1
000055:	0.746496590909091	0.027040340909091	0.012724431818182	0.178097159090909	0.035641477272727		1
000056:	0.835335795454546	0.021395454545455	0.021294318181818	0.062971590909091	0.059002840909091		1
000057:	0.540176136363636	0.049922727272727	0.022420454545455	0.096202272727273	0.291278409090909		1
000058:	0.890067045454545	0.018564204545455	0.042097727272727	0.017430113636364	0.031840909090909		1
000059:	0.575837500000000	0.029517613636364	0.043601704545455	0.020060795454545	0.330982386363636		1
000060:	0.871739772727273	0.027782386363636	0.012916477272727	0.047041477272727	0.040519886363636		1
000061:	0.850598295454545	0.023992613636364	0.013096590909091	0.044787500000000	0.067525000000000		1
000062:	0.035134090909091	0.015651704545455	0.011551136363636	0.918384659090909	0.019278409090909		1
000063:	0.057800568181818	0.030528977272727	0.010327840909091	0.884594886363636	0.016747727272727		1
000064:	0.028259090909091	0.076888068181818	0.008185795454545	0.874123863636364	0.012543181818182		1
000065:	0.860486931818182	0.045919318181818	0.014421590909091	0.053460227272727	0.025711931818182		1
000066:	0.620218750000000	0.041961363636364	0.019961931818182	0.066282386363636	0.251575568181818		1
000067:	0.083165340909091	0.051419886363636	0.012236931818182	0.838522727272727	0.014655113636364		1
000068:	0.720354545454545	0.026023295454545	0.033994886363636	0.017817045454545	0.201810227272727		1
000069:	0.496061363636364	0.033282954545455	0.014120454545455	0.058895454545455	0.397639772727273		1
000070:	0.364241477272727	0.094170454545455	0.061158522727273	0.297614772727273	0.182814772727273		1
000071:	0.647131250000000	0.048761363636364	0.013632954545455	0.020067045454545	0.270407386363636		1
000072:	0.804264204545455	0.056681818181818	0.009939204545455	0.092109659090909	0.037005113636364		1
000073:	0.876782386363636	0.026261363636364	0.010781250000000	0.047576136363636	0.038598863636364		1
000074:	0.106000000000000	0.030773863636364	0.119105681818182	0.175105113636364	0.569015340909091		1
000075:	0.628840340909091	0.052573863636364	0.088847727272727	0.045878977272727	0.183859090909091		1
000076:	0.159338636363636	0.552497159090909	0.067785795454545	0.026414772727273	0.193963636363636		1
000077:	0.040641477272727	0.021901136363636	0.184134090909091	0.000584090909091	0.752739204545455		1
000078:	0.799847159090909	0.060175568181818	0.010693181818182	0.076002840909091	0.053281250000000		1
