Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	
000001:	0.122472727272727	0.027043181818182	0.145144886363636	0.339897727272727	0.276852840909091	0.088588636363636		1
000002:	0.083271590909091	0.015417045454545	0.050486931818182	0.112250568181818	0.164569318181818	0.574004545454545		1
000003:	0.068652840909091	0.048577272727273	0.023969318181818	0.101538636363636	0.711101136363636	0.046160795454545		1
000004:	0.733881250000000	0.021122727272727	0.021777272727273	0.025459090909091	0.097020454545455	0.100739204545455		1
000005:	0.060772159090909	0.013377840909091	0.067052840909091	0.046841477272727	0.669057954545455	0.142897727272727		1
000006:	0.695678977272727	0.051663068181818	0.065513636363636	0.043044318181818	0.071930113636364	0.072169886363636		1
000007:	0.063510795454545	0.032759090909091	0.031621022727273	0.197071590909091	0.288206818181818	0.386830681818182		1
000008:	0.060050000000000	0.029167045454545	0.023200000000000	0.036404545454545	0.121169318181818	0.730009090909091		1
000009:	0.243314772727273	0.033118750000000	0.058728977272727	0.031222159090909	0.162813636363636	0.470801704545455		1
000010:	0.120513636363636	0.033430681818182	0.104318750000000	0.044491477272727	0.400907954545455	0.296337500000000		1
000011:	0.257319318181818	0.028007386363636	0.042287500000000	0.319389772727273	0.272672727272727	0.080323295454545		1
000012:	0.133842045454545	0.090398863636364	0.202017045454545	0.021451136363636	0.496865909090909	0.055425000000000		1
000013:	0.253493181818182	0.185388636363636	0.359435227272727	0.031940340909091	0.135784659090909	0.033957954545455		1
000014:	0.896778977272727	0.016610795454545	0.023074431818182	0.016530113636364	0.025450000000000	0.021555681818182		1
000015:	0.156280113636364	0.020696590909091	0.047931818181818	0.027081250000000	0.621884090909091	0.126126136363636		1
000016:	0.882036931818182	0.013836931818182	0.017486363636364	0.018049431818182	0.038280681818182	0.030309659090909		1
000017:	0.076137500000000	0.014067045454545	0.103822727272727	0.066654545454545	0.700511363636364	0.038806818181818		1
000018:	0.067250568181818	0.328968750000000	0.435627272727273	0.021829545454545	0.114877272727273	0.031446590909091		1
000019:	0.040893750000000	0.049916477272727	0.049769886363636	0.036369886363636	0.774261363636364	0.048788636363636		1
000020:	0.375869886363636	0.018601704545455	0.178003409090909	0.044513068181818	0.309596590909091	0.073415340909091		1
000021:	0.026748295454545	0.019128409090909	0.387759090909091	0.365736363636364	0.179871590909091	0.020756250000000		1
000022:	0.092251136363636	0.023162500000000	0.208134090909091	0.022603977272727	0.599781818181818	0.054066477272727		1
000023:	0.075827840909091	0.041549431818182	0.208455681818182	0.261332386363636	0.369055681818182	0.043778977272727		1
000024:	0.898043750000000	0.017847727272727	0.025498295454545	0.013423863636364	0.026351136363636	0.018835227272727		1
000025:	0.218091477272727	0.196767045454545	0.234071590909091	0.047540340909091	0.202722159090909	0.100807386363636		1
000026:	0.031951136363636	0.053105113636364	0.330451704545455	0.047893181818182	0.502511363636364	0.034087500000000		1
000027:	0.077169886363636	0.057906818181818	0.735556250000000	0.024721022727273	0.078279545454545	0.026366477272727		1
000028:	0.047155113636364	0.013683522727273	0.155038636363636	0.430003409090909	0.298964204545455	0.055155113636364		1
000029:	0.205774431818182	0.044957386363636	0.251038068181818	0.050770454545455	0.380688636363636	0.066771022727273		1
000030:	0.069988068181818	0.026581818181818	0.047711363636364	0.070723863636364	0.749881250000000	0.035113636363636		1
000031:	0.058983522727273	0.078940909090909	0.740101704545455	0.021513068181818	0.066761363636364	0.033699431818182		1
000032:	0.089498863636364	0.025698295454545	0.593125568181818	0.081574431818182	0.171486931818182	0.038615909090909		1
000033:	0.078753409090909	0.026439772727273	0.215126136363636	0.096808522727273	0.519314772727273	0.063557386363636		1
000034:	0.608794318181818	0.000573295454545	0.001011363636364	0.388278977272727	0.000844318181818	0.000497727272727		1
000035:	0.041998295454545	0.052278409090909	0.489706818181818	0.213628409090909	0.108961931818182	0.093426136363636		1
000036:	0.123047159090909	0.020257386363636	0.209914772727273	0.139957386363636	0.364628977272727	0.142194318181818		1
000037:	0.098547727272727	0.023661931818182	0.435952272727273	0.027461363636364	0.376465909090909	0.037910795454545		1
000038:	0.098094318181818	0.076942045454545	0.053585795454545	0.424547727272727	0.185831250000000	0.160998863636364		1
000039:	0.148613068181818	0.064193750000000	0.349630113636364	0.032062500000000	0.334923863636364	0.070576704545455		1
000040:	0.829800568181818	0.019659090909091	0.019579545454545	0.036859090909091	0.039114772727273	0.054986931818182		1
000041:	0.239425568181818	0.027468181818182	0.454856250000000	0.048363636363636	0.194825568181818	0.035060795454545		1
000042:	0.128497159090909	0.144509090909091	0.421838068181818	0.067273863636364	0.181909659090909	0.055972159090909		1
000043:	0.173489772727273	0.021703977272727	0.054269886363636	0.043197727272727	0.638343181818182	0.068995454545455		1
000044:	0.100294318181818	0.026517613636364	0.274296590909091	0.027490340909091	0.438485227272727	0.132915909090909		1
000045:	0.037593181818182	0.061415340909091	0.648679545454545	0.019892613636364	0.199618750000000	0.032800568181818		1
000046:	0.083271022727273	0.109905681818182	0.373794318181818	0.220121022727273	0.174689772727273	0.038218181818182		1
000047:	0.207751136363636	0.114263636363636	0.315231818181818	0.141394318181818	0.127666477272727	0.093692613636364		1
000048:	0.058886931818182	0.032475568181818	0.035831818181818	0.089898863636364	0.672043181818182	0.110863636363636		1
000049:	0.038421022727273	0.022835227272727	0.027973295454545	0.043026704545455	0.841090340909091	0.026653409090909		1
000050:	0.380332386363636	0.091760795454545	0.134346590909091	0.066424431818182	0.248416477272727	0.078719318181818		1
000051:	0.876923863636364	0.013490340909091	0.013592045454545	0.021582954545455	0.035867613636364	0.038543181818182		1
000052:	0.836478977272727	0.014073863636364	0.021607954545455	0.028395454545455	0.070195454545455	0.029248295454545		1
