Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	
000001:	0.164350568181818	0.370968750000000	0.091884659090909	0.170525000000000	0.116310227272727	0.053259090909091	0.032701704545455		1
000002:	0.050285227272727	0.050774431818182	0.669373863636364	0.103408522727273	0.084334090909091	0.023221022727273	0.018602840909091		1
000003:	0.026364204545455	0.077031818181818	0.048988636363636	0.748859090909091	0.040184659090909	0.016256818181818	0.042314772727273		1
000004:	0.012935795454545	0.026740909090909	0.075739772727273	0.093900000000000	0.757345454545455	0.018970454545455	0.014367613636364		1
000005:	0.072758522727273	0.056751136363636	0.257352272727273	0.452898863636364	0.122431250000000	0.019301704545455	0.018506250000000		1
000006:	0.051131250000000	0.048023863636364	0.120900568181818	0.052658522727273	0.607461363636364	0.078980113636364	0.040844318181818		1
000007:	0.036758522727273	0.211289772727273	0.378662500000000	0.230844318181818	0.088432954545455	0.024486931818182	0.029525000000000		1
000008:	0.016945454545455	0.056880681818182	0.630102272727273	0.115941477272727	0.078702840909091	0.050762500000000	0.050664772727273		1
000009:	0.012522159090909	0.037639772727273	0.740318181818182	0.043226704545455	0.054256818181818	0.100982954545455	0.011053409090909		1
000010:	0.006993750000000	0.426263636363636	0.001798863636364	0.002860227272727	0.003345454545455	0.001296590909091	0.557441477272727		1
000011:	0.119840909090909	0.235561363636364	0.115413068181818	0.174296590909091	0.262673295454545	0.023450000000000	0.068764772727273		1
000012:	0.174969886363636	0.023202840909091	0.047098863636364	0.230919886363636	0.223934659090909	0.207498295454545	0.092375568181818		1
000013:	0.059198863636364	0.037684090909091	0.048719886363636	0.133126704545455	0.196846022727273	0.332222727272727	0.192201704545455		1
000014:	0.011184090909091	0.015795454545455	0.018481250000000	0.053756818181818	0.876626136363636	0.012830681818182	0.011325568181818		1
000015:	0.036335795454545	0.019926704545455	0.062215340909091	0.679587500000000	0.157303409090909	0.030144886363636	0.014486363636364		1
000016:	0.016916477272727	0.014833522727273	0.060794886363636	0.027002840909091	0.861028409090909	0.009243750000000	0.010180113636364		1
000017:	0.550465909090909	0.054009659090909	0.088407954545455	0.149529545454545	0.108581250000000	0.034167045454545	0.014838636363636		1
000018:	0.048331250000000	0.017650000000000	0.038788636363636	0.058887500000000	0.050436931818182	0.708005681818182	0.077900000000000		1
000019:	0.034069318181818	0.057793181818182	0.037934090909091	0.729112500000000	0.057822159090909	0.040451136363636	0.042817613636364		1
000020:	0.170367045454545	0.051456250000000	0.058913068181818	0.141204545454545	0.454985227272727	0.099422159090909	0.023651704545455		1
000021:	0.444805113636364	0.242653977272727	0.036163068181818	0.107778409090909	0.033299431818182	0.105960795454545	0.029339204545455		1
000022:	0.061118750000000	0.023893750000000	0.074615340909091	0.522139772727273	0.103527840909091	0.190223295454545	0.024481250000000		1
000023:	0.164332386363636	0.219190909090909	0.083907954545455	0.234541477272727	0.093494886363636	0.109144318181818	0.095388068181818		1
000024:	0.026382954545455	0.017627272727273	0.017659659090909	0.018139772727273	0.889362500000000	0.015043750000000	0.015784090909091		1
000025:	0.100376704545455	0.033555113636364	0.107657386363636	0.156059659090909	0.127310795454545	0.337352272727273	0.137688068181818		1
000026:	0.068264772727273	0.029614204545455	0.038240340909091	0.462691477272727	0.040812500000000	0.320878409090909	0.039498295454545		1
000027:	0.355725000000000	0.023372727272727	0.045151704545455	0.099833522727273	0.045843750000000	0.346860227272727	0.083213068181818		1
000028:	0.221502272727273	0.404552840909091	0.048117045454545	0.195293750000000	0.068171022727273	0.036891477272727	0.025471590909091		1
000029:	0.328515909090909	0.057936931818182	0.124714772727273	0.233912500000000	0.122163636363636	0.093699431818182	0.039056818181818		1
000030:	0.044973863636364	0.055898295454545	0.039251136363636	0.691921022727273	0.079915340909091	0.035396022727273	0.052644318181818		1
000031:	0.060973863636364	0.022128409090909	0.043390909090909	0.078028409090909	0.043647727272727	0.692926704545455	0.058903977272727		1
000032:	0.730888068181818	0.049748295454545	0.026564772727273	0.067364204545455	0.045700000000000	0.059538636363636	0.020196022727273		1
000033:	0.177578409090909	0.082544318181818	0.040144886363636	0.550876704545455	0.069367045454545	0.047326136363636	0.032162500000000		1
000034:	0.021144318181818	0.009709090909091	0.014296590909091	0.018202272727273	0.914716477272727	0.012960227272727	0.008971022727273		1
000035:	0.168715909090909	0.111886931818182	0.183588636363636	0.265081250000000	0.025499431818182	0.165470454545455	0.079757386363636		1
000036:	0.332932386363636	0.112232954545455	0.131902840909091	0.164436363636364	0.156575000000000	0.075794886363636	0.026125568181818		1
000037:	0.424060227272727	0.032666477272727	0.065905681818182	0.222535795454545	0.115592045454545	0.102682386363636	0.036557386363636		1
000038:	0.050661363636364	0.250181818181818	0.172071590909091	0.136530681818182	0.108573863636364	0.041128977272727	0.240851704545455		1
000039:	0.058836363636364	0.027470454545455	0.054031250000000	0.498931818181818	0.101533522727273	0.224372159090909	0.034824431818182		1
000040:	0.014414772727273	0.029621022727273	0.064726136363636	0.046336363636364	0.791710227272727	0.026589204545455	0.026602272727273		1
000041:	0.390187500000000	0.028516477272727	0.031419886363636	0.101176704545455	0.350178409090909	0.073031250000000	0.025489772727273		1
000042:	0.182723295454545	0.055322159090909	0.057147727272727	0.154043750000000	0.131831818181818	0.241444886363636	0.177486363636364		1
000043:	0.195188068181818	0.058380681818182	0.081931250000000	0.414950000000000	0.162909659090909	0.061035795454545	0.025604545454545		1
000044:	0.163232954545455	0.055251704545455	0.099593750000000	0.371852840909091	0.106576704545455	0.167855113636364	0.035636931818182		1
000045:	0.209759090909091	0.030771022727273	0.036243750000000	0.320935227272727	0.039251704545455	0.296202840909091	0.066836363636364		1
000046:	0.056859090909091	0.222317045454545	0.039643181818182	0.193389772727273	0.065030681818182	0.359267045454545	0.063493181818182		1
000047:	0.729331250000000	0.001373295454545	0.009206250000000	0.252450568181818	0.003423295454545	0.002697159090909	0.001518181818182		1
000048:	0.048211363636364	0.075915909090909	0.106144318181818	0.622460795454545	0.076794318181818	0.022286931818182	0.048186363636364		1
000049:	0.260028977272727	0.026544886363636	0.036698295454545	0.535732386363636	0.093440909090909	0.012846022727273	0.034708522727273		1
000050:	0.088041477272727	0.051157954545455	0.065067045454545	0.117877840909091	0.480171590909091	0.100476136363636	0.097207954545455		1
000051:	0.011442045454545	0.013459659090909	0.024556818181818	0.035338636363636	0.889407386363636	0.009387500000000	0.016407954545455		1
000052:	0.013288068181818	0.029518750000000	0.028873863636364	0.039244886363636	0.858085795454545	0.011146022727273	0.019842613636364		1
000053:	0.140696590909091	0.043455681818182	0.089064772727273	0.234592613636364	0.209088068181818	0.143890340909091	0.139211931818182		1
000054:	0.084317613636364	0.041544318181818	0.077700568181818	0.088595454545455	0.073421022727273	0.178451704545455	0.455969318181818		1
000055:	0.041977272727273	0.028023295454545	0.134242613636364	0.427946022727273	0.305417045454545	0.037632954545455	0.024760795454545		1
000056:	0.035158522727273	0.017127840909091	0.032011363636364	0.786517045454545	0.077832954545455	0.037469886363636	0.013882386363636		1
000057:	0.117149431818182	0.042115909090909	0.129525568181818	0.303634090909091	0.161144886363636	0.214522159090909	0.031907954545455		1
000058:	0.030426704545455	0.015474431818182	0.015359090909091	0.854392045454546	0.024385795454545	0.022472727272727	0.037489204545455		1
000059:	0.119155113636364	0.016047159090909	0.017032954545455	0.388793181818182	0.015677840909091	0.415720454545455	0.027573295454545		1
000060:	0.042177272727273	0.020574431818182	0.023567045454545	0.828173863636364	0.049292613636364	0.022647727272727	0.013567045454545		1
000061:	0.018181250000000	0.001838636363636	0.005870454545455	0.683235795454545	0.287589772727273	0.001793181818182	0.001490909090909		1
000062:	0.025675000000000	0.012144886363636	0.019561363636364	0.026484090909091	0.896913636363636	0.011425000000000	0.007796022727273		1
000063:	0.011409659090909	0.023742613636364	0.031816477272727	0.032648295454545	0.879934659090909	0.009317045454545	0.011131250000000		1
000064:	0.010498295454545	0.060346022727273	0.057329545454545	0.042425568181818	0.803627272727273	0.011335795454545	0.014437500000000		1
000065:	0.029768181818182	0.031423295454545	0.114329545454545	0.703532954545455	0.065602840909091	0.022228977272727	0.033114204545455		1
000066:	0.137439772727273	0.025603409090909	0.106556250000000	0.337152840909091	0.089744886363636	0.283112500000000	0.020390340909091		1
000067:	0.016566477272727	0.020239772727273	0.060434090909091	0.026145454545455	0.854422159090909	0.010597159090909	0.011594886363636		1
000068:	0.047007954545455	0.011524431818182	0.038918181818182	0.856811363636364	0.010676136363636	0.019080113636364	0.015981818181818		1
000069:	0.247848295454545	0.038088636363636	0.047721590909091	0.446909090909091	0.064272159090909	0.137201136363636	0.017959090909091		1
000070:	0.083877272727273	0.060298863636364	0.050302840909091	0.232536363636364	0.307758522727273	0.180725000000000	0.084501136363636		1
000071:	0.300029545454545	0.049707954545455	0.053288068181818	0.409462500000000	0.026933522727273	0.130541477272727	0.030036931818182		1
000072:	0.031684090909091	0.120411363636364	0.121651704545455	0.585267045454545	0.076335795454545	0.052227272727273	0.012422727272727		1
000073:	0.067376704545455	0.020489772727273	0.055178977272727	0.707760227272727	0.063852272727273	0.070164772727273	0.015177272727273		1
000074:	0.008053409090909	0.002652840909091	0.003231818181818	0.003868750000000	0.014851136363636	0.607290909090909	0.360051136363636		1
