Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	***Cluster  08***	
000001:	0.130240340909091	0.067407386363636	0.119211363636364	0.103398863636364	0.115743750000000	0.097566477272727	0.023890909090909	0.342540909090909		1
000002:	0.132949431818182	0.024102840909091	0.538941477272727	0.018603409090909	0.038085227272727	0.184142613636364	0.023990340909091	0.039184659090909		1
000003:	0.057263068181818	0.074224431818182	0.432709090909091	0.183345454545455	0.049260227272727	0.067988068181818	0.036125000000000	0.099084659090909		1
000004:	0.574225000000000	0.062218181818182	0.192621590909091	0.029731250000000	0.061884659090909	0.019557954545455	0.041765909090909	0.017995454545455		1
000005:	0.127577272727273	0.162450568181818	0.445883522727273	0.077442045454545	0.062215340909091	0.034235795454545	0.013242613636364	0.076952840909091		1
000006:	0.565691477272727	0.046344886363636	0.098635795454545	0.042697159090909	0.053831250000000	0.049502272727273	0.092978977272727	0.050318181818182		1
000007:	0.054115909090909	0.097685227272727	0.376635795454545	0.112139204545455	0.034980681818182	0.260631818181818	0.027063636363636	0.036747727272727		1
000008:	0.109413068181818	0.071694886363636	0.628310795454545	0.086390340909091	0.026832386363636	0.031685227272727	0.026322159090909	0.019351136363636		1
000009:	0.092864772727273	0.014705681818182	0.780681250000000	0.015456250000000	0.025413636363636	0.035767045454545	0.024501704545455	0.010609659090909		1
000010:	0.142798863636364	0.035861363636364	0.567135795454545	0.058196022727273	0.095067045454545	0.034716477272727	0.041373863636364	0.024850568181818		1
000011:	0.128494886363636	0.034075568181818	0.138160795454545	0.339457386363636	0.093841477272727	0.057526136363636	0.025905113636364	0.182538636363636		1
000012:	0.163523863636364	0.260675000000000	0.099192613636364	0.040482386363636	0.281832386363636	0.025352840909091	0.097330681818182	0.031610227272727		1
000013:	0.227346022727273	0.169276136363636	0.086631818181818	0.061548295454545	0.159934659090909	0.024016477272727	0.220415340909091	0.050831250000000		1
000014:	0.771258522727273	0.079877840909091	0.038534659090909	0.020151136363636	0.020006818181818	0.015469318181818	0.036680113636364	0.018021590909091		1
000015:	0.112955681818182	0.202379545454545	0.551086363636364	0.029194318181818	0.043364772727273	0.020106250000000	0.018368750000000	0.022544318181818		1
000016:	0.774020454545455	0.024822159090909	0.055265909090909	0.046752272727273	0.026374431818182	0.021656250000000	0.018955681818182	0.032152840909091		1
000017:	0.069263636363636	0.030318181818182	0.071022159090909	0.156123295454545	0.599547159090909	0.030190909090909	0.012188068181818	0.031346590909091		1
000018:	0.066605113636364	0.483784659090909	0.045196022727273	0.019776136363636	0.114841477272727	0.020430681818182	0.236006250000000	0.013359659090909		1
000019:	0.006977272727273	0.017441477272727	0.878372727272727	0.001310227272727	0.004278409090909	0.001825568181818	0.065582954545455	0.024211363636364		1
000020:	0.292285227272727	0.074383522727273	0.271205681818182	0.042602840909091	0.219487500000000	0.041698295454545	0.030494886363636	0.027842045454545		1
000021:	0.027491477272727	0.076243181818182	0.029598863636364	0.438284659090909	0.201005113636364	0.034383522727273	0.029555681818182	0.163437500000000		1
000022:	0.085182386363636	0.547479545454545	0.155430113636364	0.031089772727273	0.094681250000000	0.031061363636364	0.027131250000000	0.027944318181818		1
000023:	0.056077840909091	0.110278409090909	0.086778977272727	0.391812500000000	0.080791477272727	0.037017045454545	0.028842613636364	0.208401136363636		1
000024:	0.638125000000000	0.014063068181818	0.009990340909091	0.012613636363636	0.020735795454545	0.012217045454545	0.013116477272727	0.279138636363636		1
000025:	0.001965340909091	0.135476136363636	0.002124431818182	0.651298295454545	0.194750568181818	0.012131250000000	0.001609090909091	0.000644886363636		1
000026:	0.025827840909091	0.757168181818182	0.050121022727273	0.035210795454545	0.063705113636364	0.023998295454545	0.021483522727273	0.022485227272727		1
000027:	0.039798295454545	0.259773863636364	0.051846022727273	0.025402840909091	0.550329545454545	0.016946590909091	0.034759659090909	0.021143181818182		1
000028:	0.040041477272727	0.044724431818182	0.041003409090909	0.683110227272727	0.065467045454545	0.056093181818182	0.010978977272727	0.058581250000000		1
000029:	0.117859659090909	0.303404545454545	0.238143181818182	0.058501136363636	0.166288068181818	0.045299431818182	0.043540909090909	0.026963068181818		1
000030:	0.121843181818182	0.221797159090909	0.125896022727273	0.327159090909091	0.047915909090909	0.050942613636364	0.042121590909091	0.062324431818182		1
000031:	0.049465909090909	0.477818750000000	0.035926704545455	0.019434090909091	0.285643750000000	0.018243181818182	0.073203409090909	0.040264204545455		1
000032:	0.072118750000000	0.115042613636364	0.073431250000000	0.055699431818182	0.517729545454545	0.051925568181818	0.038636931818182	0.075415909090909		1
000033:	0.061786931818182	0.207562500000000	0.081694318181818	0.054908522727273	0.489029545454545	0.037314772727273	0.019614772727273	0.048088636363636		1
000034:	0.882190909090909	0.010146022727273	0.020944318181818	0.013818181818182	0.015257386363636	0.013276136363636	0.008297159090909	0.036069886363636		1
000035:	0.036552272727273	0.129507386363636	0.047786931818182	0.157309659090909	0.091257386363636	0.052010795454545	0.059875000000000	0.425700568181818		1
000036:	0.205110227272727	0.078098295454545	0.156460795454545	0.087809090909091	0.323269318181818	0.072394318181818	0.026354545454545	0.050503409090909		1
000037:	0.085635227272727	0.064323863636364	0.103151704545455	0.038569318181818	0.636029545454545	0.020981250000000	0.026476136363636	0.024832954545455		1
000038:	0.065460227272727	0.051001704545455	0.065522727272727	0.519717613636364	0.036485795454545	0.067496022727273	0.040713068181818	0.153602840909091		1
000039:	0.116907954545455	0.533286931818182	0.086285227272727	0.049994886363636	0.086456250000000	0.029105681818182	0.064088068181818	0.033875000000000		1
000040:	0.000100000000000	0.000012500000000	0.000121022727273	0.000019318181818	0.000341477272727	0.999108522727273	0.000228409090909	0.000068750000000		1
000041:	0.205577272727273	0.059804545454545	0.112306818181818	0.105594886363636	0.411964772727273	0.036093750000000	0.029916477272727	0.038741477272727		1
000042:	0.062010227272727	0.171910795454545	0.028592613636364	0.087406250000000	0.067382386363636	0.015110227272727	0.051168181818182	0.516419318181818		1
000043:	0.948807386363636	0.001460227272727	0.001239772727273	0.000505113636364	0.000653409090909	0.004714772727273	0.001755681818182	0.040863636363636		1
000044:	0.111627272727273	0.408925568181818	0.161488068181818	0.043285795454545	0.170640340909091	0.043282954545455	0.030591477272727	0.030158522727273		1
000045:	0.035753409090909	0.251431250000000	0.052356818181818	0.019066477272727	0.552078409090909	0.034316477272727	0.042216477272727	0.012780681818182		1
000046:	0.075389772727273	0.366167613636364	0.064298863636364	0.097106250000000	0.113034659090909	0.114147159090909	0.108138636363636	0.061717045454545		1
000047:	0.134947727272727	0.072807954545455	0.100226136363636	0.088127840909091	0.104601704545455	0.081988636363636	0.068541477272727	0.348758522727273		1
000048:	0.071112500000000	0.041639204545455	0.421768181818182	0.282764772727273	0.044315909090909	0.034025000000000	0.022304545454545	0.082069886363636		1
000049:	0.116447159090909	0.206296590909091	0.280680113636364	0.111097727272727	0.130227840909091	0.066152840909091	0.043955113636364	0.045142613636364		1
000050:	0.220449431818182	0.204056818181818	0.079498863636364	0.143509090909091	0.186810227272727	0.039534659090909	0.055364204545455	0.070776704545455		1
000051:	0.885315340909091	0.012291477272727	0.031232954545455	0.016650568181818	0.015843750000000	0.014779545454545	0.012993750000000	0.010892613636364		1
000052:	0.813572727272727	0.056196022727273	0.050335227272727	0.014886931818182	0.013871022727273	0.018537500000000	0.017856250000000	0.014744318181818		1
000053:	0.213825568181818	0.307989772727273	0.090023863636364	0.075850568181818	0.115354545454545	0.029195454545455	0.116882386363636	0.050877840909091		1
000054:	0.034318181818182	0.045886363636364	0.072055681818182	0.703316477272727	0.023342613636364	0.012383522727273	0.071552272727273	0.037144886363636		1
000055:	0.341173863636364	0.166586363636364	0.341443181818182	0.025339204545455	0.033219886363636	0.049250568181818	0.017558522727273	0.025428409090909		1
000056:	0.154211363636364	0.394601704545455	0.208867045454545	0.027441477272727	0.098183522727273	0.036902840909091	0.031211363636364	0.048580681818182		1
000057:	0.135006250000000	0.366133522727273	0.159527272727273	0.035130681818182	0.182500568181818	0.062544886363636	0.032573863636364	0.026582954545455		1
000058:	0.041988636363636	0.574795454545455	0.170295454545455	0.077100568181818	0.047447159090909	0.018906250000000	0.050407954545455	0.019058522727273		1
000059:	0.026946022727273	0.537389204545455	0.067338068181818	0.044813636363636	0.238644318181818	0.027853409090909	0.032511931818182	0.024503409090909		1
000060:	0.081283522727273	0.212297159090909	0.237981250000000	0.289409090909091	0.059874431818182	0.082737500000000	0.013355681818182	0.023061363636364		1
000061:	0.027943181818182	0.043580113636364	0.077563068181818	0.027277840909091	0.182163068181818	0.033025000000000	0.014335795454545	0.594111931818182		1
000062:	0.804281818181818	0.026209090909091	0.074861363636364	0.015983522727273	0.013665909090909	0.026311363636364	0.011227840909091	0.027459090909091		1
000063:	0.868619318181818	0.024378977272727	0.033806818181818	0.015842045454545	0.009042613636364	0.011412500000000	0.015278409090909	0.021619318181818		1
000064:	0.851627840909091	0.011656250000000	0.067361931818182	0.020343181818182	0.010894886363636	0.018711931818182	0.009689772727273	0.009714204545455		1
000065:	0.073174431818182	0.203963636363636	0.485468181818182	0.112711363636364	0.036102840909091	0.040551704545455	0.020551704545455	0.027476136363636		1
000066:	0.036803977272727	0.004643181818182	0.025206818181818	0.003267613636364	0.005085795454545	0.617353409090909	0.305831250000000	0.001807954545455		1
000067:	0.540786363636364	0.020842045454545	0.294463068181818	0.014322727272727	0.019084090909091	0.086748295454545	0.011293750000000	0.012459659090909		1
000068:	0.028525568181818	0.720752840909091	0.077081250000000	0.028524431818182	0.096083522727273	0.014840340909091	0.017200000000000	0.016992045454545		1
000069:	0.040749431818182	0.560181250000000	0.055488636363636	0.024206818181818	0.257898863636364	0.031406818181818	0.012928977272727	0.017139204545455		1
000070:	0.253428977272727	0.133740340909091	0.122304545454545	0.142292613636364	0.154777840909091	0.053861363636364	0.048025568181818	0.091568750000000		1
000071:	0.034344886363636	0.629443181818182	0.051351704545455	0.101415909090909	0.107415340909091	0.031118181818182	0.018642045454545	0.026268750000000		1
000072:	0.116729545454545	0.148574431818182	0.605296590909091	0.028567613636364	0.040273295454545	0.022047727272727	0.026380681818182	0.012130113636364		1
000073:	0.056853977272727	0.097430681818182	0.705436363636364	0.015562500000000	0.071702272727273	0.018712500000000	0.021601136363636	0.012700568181818		1
000074:	0.123663068181818	0.575981250000000	0.039751136363636	0.019902272727273	0.099989772727273	0.034514772727273	0.070882954545455	0.035314772727273		1
000075:	0.066896590909091	0.147165340909091	0.238083522727273	0.100832386363636	0.247371590909091	0.035104545454545	0.111738068181818	0.052807954545455		1
000076:	0.035115340909091	0.058012500000000	0.102545454545455	0.183743181818182	0.096290909090909	0.243613636363636	0.222046590909091	0.058632386363636		1
000077:	0.103875568181818	0.271443750000000	0.037435227272727	0.056825568181818	0.047094886363636	0.179178977272727	0.043480681818182	0.260665340909091		1
000078:	0.117518750000000	0.113947159090909	0.304718181818182	0.154050568181818	0.117601704545455	0.056504545454545	0.013512500000000	0.122146590909091		1
000079:	0.132405681818182	0.204665340909091	0.059615340909091	0.250740909090909	0.151794318181818	0.074240340909091	0.022414204545455	0.104123863636364		1
000080:	0.036288068181818	0.022710227272727	0.020448863636364	0.006197159090909	0.860632386363636	0.021843181818182	0.028645454545455	0.003234659090909		1
000081:	0.034956250000000	0.001055113636364	0.957377272727273	0.000382954545455	0.001266477272727	0.001610795454545	0.002511931818182	0.000839204545455		1
000082:	0.302825000000000	0.296248863636364	0.351664204545455	0.015131818181818	0.004797159090909	0.010502272727273	0.003312500000000	0.015518181818182		1
000083:	0.024035795454545	0.501059090909091	0.305443181818182	0.029269318181818	0.092898295454545	0.018267045454545	0.015670454545455	0.013356818181818		1
000084:	0.003762500000000	0.006535795454545	0.005195454545455	0.880251136363636	0.101068750000000	0.001681818181818	0.000696022727273	0.000808522727273		1
000085:	0.098990340909091	0.173604545454545	0.153827272727273	0.161516477272727	0.253077840909091	0.056222159090909	0.036892045454545	0.065869318181818		1
000086:	0.444352840909091	0.103026136363636	0.116977840909091	0.097257386363636	0.079450568181818	0.040816477272727	0.040889204545455	0.077229545454545		1
000087:	0.031946022727273	0.412354545454545	0.168177840909091	0.035382954545455	0.297123295454545	0.018927272727273	0.012275000000000	0.023813068181818		1
000088:	0.030507954545455	0.207944318181818	0.068377840909091	0.072914204545455	0.549464772727273	0.024198295454545	0.022184090909091	0.024408522727273		1
000089:	0.054313636363636	0.480890340909091	0.052350000000000	0.025578409090909	0.184123863636364	0.129428977272727	0.037740340909091	0.035574431818182		1
000090:	0.075872727272727	0.331315909090909	0.250338636363636	0.032480113636364	0.066453977272727	0.023713068181818	0.191984090909091	0.027841477272727		1
000091:	0.044998863636364	0.235915340909091	0.038762500000000	0.311224431818182	0.071418181818182	0.047494886363636	0.053798863636364	0.196386931818182		1
000092:	0.044826704545455	0.632915909090909	0.132917613636364	0.025961931818182	0.080671022727273	0.028343750000000	0.027076704545455	0.027286363636364		1
000093:	0.059515340909091	0.518812500000000	0.138785227272727	0.032476136363636	0.127372727272727	0.059735795454545	0.045488636363636	0.017813636363636		1
000094:	0.068203977272727	0.434823295454545	0.230538068181818	0.061457386363636	0.110769318181818	0.027019318181818	0.035491477272727	0.031697159090909		1
000095:	0.183683522727273	0.176509090909091	0.443354545454545	0.046411363636364	0.057064204545455	0.046140909090909	0.022867045454545	0.023969318181818		1
000096:	0.757829545454546	0.086311363636364	0.043294318181818	0.024821022727273	0.016527272727273	0.019470454545455	0.019518750000000	0.032227272727273		1
000097:	0.001191477272727	0.001663068181818	0.908389204545455	0.001149431818182	0.001093750000000	0.000665340909091	0.085359659090909	0.000488068181818		1
000098:	0.025406250000000	0.662715909090909	0.112232954545455	0.042550568181818	0.099310227272727	0.021525568181818	0.016272159090909	0.019986363636364		1
000099:	0.321804545454545	0.114248863636364	0.121181250000000	0.108505113636364	0.143269886363636	0.047683522727273	0.024588636363636	0.118718181818182		1
