Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000001:	0.918878409090909	0.081121590909091		1
000002:	0.973556818181818	0.026443181818182		1
000003:	0.946009659090909	0.053990340909091		1
000004:	0.981723863636364	0.018276136363636		1
000005:	0.958649431818182	0.041350568181818		1
000006:	0.894706818181818	0.105293181818182		1
000007:	0.983480113636364	0.016519886363636		1
000008:	0.965588068181818	0.034411931818182		1
000009:	0.954873863636364	0.045126136363636		1
000010:	0.897288068181818	0.102711931818182		1
000011:	0.944921590909091	0.055078409090909		1
000012:	0.199271590909091	0.800728409090909		1
000013:	0.066075568181818	0.933924431818182		1
000014:	0.962309090909091	0.037690909090909		1
000015:	0.841276704545455	0.158723295454545		1
000016:	0.956248863636364	0.043751136363636		1
000017:	0.614117613636364	0.385882386363636		1
000018:	0.070292613636364	0.929707386363636		1
000019:	0.307634090909091	0.692365909090909		1
000020:	0.751627840909091	0.248372159090909		1
000021:	0.248451136363636	0.751548863636364		1
000022:	0.249408522727273	0.750591477272727		1
000023:	0.539551704545455	0.460448295454545		1
000024:	0.856101136363636	0.143898863636364		1
000025:	0.111864204545455	0.888135795454545		1
000026:	0.075650000000000	0.924350000000000		1
000027:	0.033685795454545	0.966314204545455		1
000028:	0.919134090909091	0.080865909090909		1
000029:	0.375754545454545	0.624245454545455		1
000030:	0.743194886363636	0.256805113636364		1
000031:	0.031563636363636	0.968436363636364		1
000032:	0.221960227272727	0.778039772727273		1
000033:	0.432496022727273	0.567503977272727		1
000034:	0.909064772727273	0.090935227272727		1
000035:	0.326040909090909	0.673959090909091		1
000036:	0.784661931818182	0.215338068181818		1
000037:	0.198801704545455	0.801198295454545		1
000038:	0.924497727272727	0.075502272727273		1
000039:	0.110191477272727	0.889808522727273		1
000040:	0.936392613636364	0.063607386363636		1
000041:	0.207546590909091	0.792453409090909		1
000042:	0.068416477272727	0.931583522727273		1
000043:	0.899478977272727	0.100521022727273		1
000044:	0.385951136363636	0.614048863636364		1
000045:	0.026656250000000	0.973343750000000		1
000046:	0.127910795454545	0.872089204545455		1
000047:	0.537690909090909	0.462309090909091		1
000048:	0.889361931818182	0.110638068181818		1
000049:	0.413071022727273	0.586928977272727		1
000050:	0.307584659090909	0.692415340909091		1
000051:	0.978909090909091	0.021090909090909		1
000052:	0.966084090909091	0.033915909090909		1
000053:	0.251968750000000	0.748031250000000		1
000054:	0.082847727272727	0.917152272727273		1
000055:	0.895878409090909	0.104121590909091		1
000056:	0.423061931818182	0.576938068181818		1
000057:	0.244037500000000	0.755962500000000		1
000058:	0.065172159090909	0.934827840909091		1
000059:	0.032064772727273	0.967935227272727		1
000060:	0.700268181818182	0.299731818181818		1
000061:	0.401586931818182	0.598413068181818		1
000062:	0.955370454545455	0.044629545454545		1
000063:	0.959386363636364	0.040613636363636		1
000064:	0.986314772727273	0.013685227272727		1
000065:	0.957023295454545	0.042976704545455		1
000066:	0.204313068181818	0.795686931818182		1
000067:	0.986363636363636	0.013636363636364		1
000068:	0.092247727272727	0.907752272727273		1
000069:	0.165491477272727	0.834508522727273		1
000070:	0.528299431818182	0.471700568181818		1
000071:	0.099157954545455	0.900842045454545		1
000072:	0.895046022727273	0.104953977272727		1
000073:	0.863869318181818	0.136130681818182		1
000074:	0.063640909090909	0.936359090909091		1
000075:	0.357722159090909	0.642277840909091		1
000076:	0.599861363636364	0.400138636363636		1
000077:	0.814825000000000	0.185175000000000		1
000078:	0.806394318181818	0.193605681818182		1
