Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	
000001:	0.750742613636364	0.177475000000000	0.071782386363636		1
000002:	0.729897727272727	0.249891477272727	0.020210795454545		1
000003:	0.722651136363636	0.237124431818182	0.040224431818182		1
000004:	0.937226136363636	0.049280113636364	0.013493750000000		1
000005:	0.944973863636364	0.037401136363636	0.017625000000000		1
000006:	0.851298863636364	0.097030113636364	0.051671022727273		1
000007:	0.704426704545455	0.282164772727273	0.013408522727273		1
000008:	0.916278977272727	0.062211931818182	0.021509090909091		1
000009:	0.950600568181818	0.028569318181818	0.020830113636364		1
000010:	0.849505681818182	0.081105681818182	0.069388636363636		1
000011:	0.858806250000000	0.097441477272727	0.043752272727273		1
000012:	0.810027272727273	0.022747159090909	0.167225568181818		1
000013:	0.344259090909091	0.024698863636364	0.631042045454545		1
000014:	0.842687500000000	0.123003409090909	0.034309090909091		1
000015:	0.971400568181818	0.013038636363636	0.015560795454545		1
000016:	0.938482386363636	0.047617613636364	0.013900000000000		1
000017:	0.927314772727273	0.028361363636364	0.044323863636364		1
000018:	0.125051704545455	0.017887500000000	0.857060795454545		1
000019:	0.799275000000000	0.028918181818182	0.171806818181818		1
000020:	0.925300568181818	0.026873295454545	0.047826136363636		1
000021:	0.145093181818182	0.254790909090909	0.600115909090909		1
000022:	0.873199431818182	0.023005113636364	0.103795454545455		1
000023:	0.532944886363636	0.183246590909091	0.283808522727273		1
000024:	0.315307954545455	0.000327272727273	0.684364772727273		1
000025:	0.507493181818182	0.082576136363636	0.409930681818182		1
000026:	0.314945454545455	0.033378409090909	0.651676136363636		1
000027:	0.141230113636364	0.025655681818182	0.833114204545455		1
000028:	0.601902840909091	0.321528977272727	0.076568181818182		1
000029:	0.735564204545455	0.057475568181818	0.206960227272727		1
000030:	0.916898295454545	0.041909090909091	0.041192613636364		1
000031:	0.055130681818182	0.014712500000000	0.930156818181818		1
000032:	0.502264772727273	0.048014772727273	0.449720454545455		1
000033:	0.834301704545454	0.056559659090909	0.109138636363636		1
000034:	0.954551136363636	0.018651136363636	0.026797727272727		1
000035:	0.099668750000000	0.276847727272727	0.623483522727273		1
000036:	0.858115909090909	0.068110795454545	0.073773295454545		1
000037:	0.745871022727273	0.020688068181818	0.233440909090909		1
000038:	0.217073295454545	0.679751704545455	0.103175000000000		1
000039:	0.609396590909091	0.050646590909091	0.339956818181818		1
000040:	0.953327840909091	0.027209659090909	0.019462500000000		1
000041:	0.807568181818182	0.016972727272727	0.175459090909091		1
000042:	0.180928409090909	0.041745454545455	0.777326136363636		1
