30000	4	1	
0	0	0	0	
0.370265	0.219386	0.256791	0.21257	
0.347456	0.415254	0.363926	0.409373	
0.522707	0.584086	0.488544	0.41827	
0.60324	0.620521	0.579721	0.519237	
0.683343	0.616282	0.673689	0.605033	
0.701007	0.659841	0.7051	0.606257	
0.677977	0.816624	0.670109	0.668913	
0.735896	0.746622	0.632474	0.616589	
0.792364	0.72111	0.717707	0.620747	
0.799629	0.726377	0.706369	0.659665	
0.819759	0.75819	0.703977	0.614554	
0.781781	0.803312	0.649787	0.701808	
0.834271	0.778985	0.696261	0.751451	
0.835414	0.792087	0.719904	0.74429	
0.878253	0.718847	0.734626	0.688947	
0.763608	0.775923	0.751728	0.690607	
0.886088	0.757001	0.797298	0.731803	
0.846677	0.723509	0.76041	0.71423	
0.836819	0.766364	0.761598	0.7038	
0.875777	0.840022	0.707852	0.683874	
0.841621	0.694038	0.819089	0.672908	
0.921037	0.705827	0.849653	0.66501	
0.952503	0.74728	0.829394	0.755342	
0.854891	0.790154	0.841674	0.71576	
0.890432	0.725799	0.80658	0.718894	
0.87615	0.816735	0.787397	0.694658	
0.896111	0.756749	0.846448	0.673613	
0.841913	0.786668	0.774379	0.666546	
0.838506	0.729691	0.784811	0.754162	
0.849689	0.809407	0.818426	0.790369	
0.945586	0.849505	0.824931	0.731472	
0.968431	0.744018	0.888006	0.785472	
0.960275	0.807932	0.830625	0.73362	
0.865223	0.782181	0.875021	0.768431	
0.851648	0.803607	0.826563	0.759038	
0.88889	0.861094	0.831838	0.707603	
0.914268	0.771696	0.795864	0.620394	
0.979876	0.780432	0.880332	0.683143	
0.923904	0.764048	0.853592	0.650948	
0.892807	0.787262	0.802961	0.750088	
0.852366	0.784273	0.791364	0.740713	
0.853329	0.742322	0.87939	0.59945	
0.927289	0.730243	0.817699	0.692318	
0.909541	0.744389	0.777939	0.613986	
0.816801	0.814178	0.820729	0.521708	
0.828054	0.770841	0.777235	0.631384	
0.883328	0.766456	0.832922	0.666203	
0.830198	0.752374	0.825649	0.61507	
0.824645	0.64466	0.795134	0.63395	
0.819031	0.727131	0.834059	0.688361	
0.868199	0.637235	0.741681	0.636956	
0.87704	0.70814	0.781714	0.622496	
0.878194	0.693587	0.828898	0.55868	
0.878445	0.690363	0.804238	0.614168	
0.930617	0.724146	0.859983	0.595806	
0.805687	0.696412	0.737497	0.557216	
0.796762	0.680044	0.826022	0.541271	
0.864433	0.696721	0.802768	0.587538	
0.80703	0.678306	0.799503	0.527804	
0.835373	0.701296	0.785614	0.430765	
0.884368	0.72773	0.809032	0.52285	
0.801242	0.738603	0.873829	0.545855	
0.789098	0.749536	0.748495	0.573539	
0.860277	0.788307	0.814177	0.497232	
0.75531	0.663017	0.770711	0.568583	
0.829983	0.6873	0.72786	0.566732	
0.740592	0.687376	0.772961	0.567154	
0.732733	0.710615	0.793035	0.559715	
0.805643	0.744545	0.804464	0.598949	
0.862313	0.703072	0.792323	0.555153	
0.767826	0.800232	0.803908	0.614116	
0.797696	0.687847	0.824668	0.621856	
0.779658	0.679914	0.76711	0.590576	
0.761829	0.73389	0.701868	0.605367	
0.742774	0.698401	0.761972	0.647159	
0.821925	0.744776	0.750703	0.573123	
0.843362	0.691845	0.617358	0.612789	
0.801765	0.709784	0.750575	0.582879	
0.846607	0.734991	0.722048	0.581213	
0.837589	0.705544	0.75332	0.561367	
0.827858	0.767511	0.747448	0.631056	
0.793617	0.75465	0.805011	0.598298	
0.771301	0.759339	0.772765	0.631723	
0.808973	0.710401	0.778397	0.555565	
0.797759	0.652015	0.824065	0.606697	
0.804255	0.762207	0.754223	0.446817	
0.775946	0.692155	0.681138	0.510717	
0.771092	0.721076	0.73899	0.504329	
0.843043	0.72241	0.771198	0.536224	
0.78755	0.734738	0.667542	0.506509	
0.762345	0.647876	0.641311	0.473198	
0.71731	0.673951	0.72507	0.491505	
0.753378	0.655309	0.770989	0.547423	
0.755407	0.658063	0.71384	0.555042	
0.764515	0.727262	0.650869	0.423775	
0.841867	0.690441	0.777956	0.432853	
0.727513	0.667753	0.63678	0.433857	
0.788989	0.575832	0.613694	0.496386	
0.720705	0.68868	0.648625	0.571811	
0.825893	0.709302	0.663397	0.531834	
0.806013	0.625048	0.683328	0.519887	
0.756638	0.634087	0.662893	0.50779	
0.786542	0.739326	0.563591	0.46212	
0.707653	0.653243	0.642007	0.426872	
0.706162	0.623666	0.672862	0.403569	
0.730937	0.704516	0.70296	0.498186	
0.727961	0.680815	0.604682	0.45631	
0.733536	0.719597	0.630549	0.479635	
0.701512	0.68652	0.652828	0.451169	
0.75314	0.719073	0.688246	0.497139	
0.729977	0.714636	0.671017	0.409927	
0.74664	0.663593	0.627374	0.507738	
0.779635	0.646695	0.637259	0.420502	
0.793007	0.757655	0.753499	0.468906	
0.620042	0.710512	0.692276	0.424405	
0.723879	0.653401	0.69959	0.44239	
0.743806	0.683796	0.716144	0.404645	
0.635161	0.666236	0.654419	0.526745	
0.712497	0.693915	0.677039	0.457106	
0.665204	0.709819	0.69953	0.486948	
0.644511	0.629769	0.639336	0.500966	
0.710943	0.678764	0.634453	0.395723	
0.759746	0.639499	0.682454	0.386336	
0.666923	0.654534	0.576265	0.401462	
0.700098	0.610813	0.74306	0.406869	
0.63667	0.705774	0.679093	0.419661	
0.676095	0.657567	0.617295	0.406864	
0.691557	0.609942	0.720643	0.431129	
0.707547	0.618559	0.761021	0.386643	
0.678659	0.682377	0.628589	0.300115	
0.589653	0.701245	0.641562	0.387198	
0.632351	0.67011	0.673727	0.353442	
0.658875	0.745684	0.697754	0.341047	
0.717691	0.670378	0.544678	0.345415	
0.627642	0.578604	0.617498	0.379343	
0.675511	0.576265	0.634996	0.366012	
0.648393	0.597142	0.625343	0.332601	
0.627742	0.590139	0.580466	0.439543	
0.66177	0.576131	0.60839	0.310035	
0.67078	0.671567	0.649146	0.405033	
0.598414	0.625938	0.636705	0.419708	
0.697181	0.547888	0.611847	0.389636	
0.564511	0.669239	0.697775	0.415536	
0.622041	0.650509	0.645593	0.31238	
0.568033	0.605835	0.66655	0.281394	
0.520685	0.589322	0.594922	0.332121	
0.558224	0.578148	0.585566	0.3712	
0.602896	0.657465	0.630556	0.361357	
0.56459	0.503651	0.565676	0.333071	
0.626817	0.660531	0.638307	0.279865	
0.496323	0.620209	0.630494	0.302699	
0.566945	0.583562	0.546764	0.217306	
0.589719	0.498149	0.571146	0.291529	
0.541719	0.584453	0.553186	0.321611	
0.535386	0.588341	0.583248	0.365604	
0.57185	0.558172	0.690902	0.351741	
0.58986	0.545884	0.593924	0.323668	
0.53545	0.512502	0.513306	0.302431	
0.533049	0.492432	0.602949	0.281427	
0.551729	0.452146	0.605944	0.259365	
0.521622	0.536928	0.603344	0.193381	
0.614172	0.511589	0.664134	0.264624	
0.539906	0.501909	0.557226	0.333867	
0.562911	0.55486	0.597308	0.310257	
0.42945	0.575007	0.548529	0.24476	
0.520891	0.5125	0.514457	0.219861	
0.553335	0.555451	0.687742	0.246631	
0.594516	0.544923	0.603001	0.245195	
0.531625	0.633688	0.571251	0.281459	
0.540356	0.590634	0.615143	0.214454	
0.654841	0.492825	0.540673	0.301075	
