Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	
000001:	0.336434090909091	0.099699431818182	0.488002272727273	0.075864204545455		1
000002:	0.707349431818182	0.055377840909091	0.210480113636364	0.026792613636364		1
000003:	0.253006250000000	0.057553409090909	0.654394886363636	0.035045454545455		1
000004:	0.076497727272727	0.796939772727273	0.101054545454545	0.025507954545455		1
000005:	0.070939772727273	0.044983522727273	0.861991477272727	0.022085227272727		1
000006:	0.105902272727273	0.684622727272727	0.129510795454545	0.079964204545455		1
000007:	0.639498863636364	0.031228409090909	0.300979545454545	0.028293181818182		1
000008:	0.429394886363636	0.061393750000000	0.476456250000000	0.032755113636364		1
000009:	0.188236363636364	0.357185227272727	0.413738068181818	0.040840340909091		1
000010:	0.200401136363636	0.057229545454545	0.689799431818182	0.052569886363636		1
000011:	0.392519886363636	0.144673295454545	0.427802272727273	0.035004545454545		1
000012:	0.030481250000000	0.122689204545455	0.720132954545455	0.126696590909091		1
000013:	0.030247159090909	0.189732386363636	0.154456818181818	0.625563636363636		1
000014:	0.024103977272727	0.931491477272727	0.025239204545455	0.019165340909091		1
000015:	0.038597159090909	0.077058522727273	0.866208522727273	0.018135795454545		1
000016:	0.025197727272727	0.885314772727273	0.076742613636364	0.012744886363636		1
000017:	0.046351136363636	0.043703409090909	0.893652840909091	0.016292613636364		1
000018:	0.021680681818182	0.048076704545455	0.159857954545455	0.770384659090909		1
000019:	0.055069886363636	0.028260795454545	0.841203977272727	0.075465340909091		1
000020:	0.040883522727273	0.298098295454545	0.624820454545455	0.036197727272727		1
000021:	0.247551704545455	0.014439204545455	0.572981818181818	0.165027272727273		1
000022:	0.026521590909091	0.049221022727273	0.872168181818182	0.052089204545455		1
000023:	0.272884090909091	0.077000000000000	0.432558522727273	0.217557386363636		1
000024:	0.019143181818182	0.936477272727273	0.024253409090909	0.020126136363636		1
000025:	0.061496590909091	0.190271022727273	0.165315909090909	0.582916477272727		1
000026:	0.029334090909091	0.018906818181818	0.841313068181818	0.110446022727273		1
000027:	0.038590340909091	0.039461931818182	0.311256250000000	0.610691477272727		1
000028:	0.408776704545455	0.037064204545455	0.511152840909091	0.043006250000000		1
000029:	0.072021022727273	0.105020454545455	0.768860227272727	0.054098295454545		1
000030:	0.103681250000000	0.083713068181818	0.750789204545455	0.061816477272727		1
000031:	0.026232954545455	0.037741477272727	0.242261363636364	0.693764204545455		1
000032:	0.081976136363636	0.051359090909091	0.697767045454545	0.168897727272727		1
000033:	0.111135795454545	0.053267045454545	0.764694318181818	0.070902840909091		1
000034:	0.024442045454545	0.915742045454545	0.041911931818182	0.017903977272727		1
000035:	0.318234659090909	0.027213636363636	0.188287500000000	0.466264204545455		1
000036:	0.135931250000000	0.088180681818182	0.743018181818182	0.032869886363636		1
000037:	0.026132386363636	0.056244886363636	0.874739204545455	0.042883522727273		1
000038:	0.623692045454545	0.099430681818182	0.177267045454545	0.099610227272727		1
000039:	0.060226704545455	0.118791477272727	0.512675568181818	0.308306250000000		1
000040:	0.045135795454545	0.858573295454545	0.074659659090909	0.021631250000000		1
000041:	0.053935227272727	0.116914204545455	0.671081250000000	0.158069318181818		1
000042:	0.056034090909091	0.101072159090909	0.189308522727273	0.653585227272727		1
000043:	0.082072159090909	0.105756250000000	0.791132954545455	0.021038636363636		1
000044:	0.074602840909091	0.066072727272727	0.752880113636364	0.106444318181818		1
000045:	0.020017613636364	0.016601704545455	0.726786363636364	0.236594318181818		1
000046:	0.182050568181818	0.057987500000000	0.186519318181818	0.573442613636364		1
000047:	0.205367613636364	0.181893750000000	0.277312500000000	0.335426136363636		1
000048:	0.097238068181818	0.047292613636364	0.826512500000000	0.028956818181818		1
000049:	0.048202272727273	0.042226136363636	0.879992613636364	0.029578977272727		1
000050:	0.101046022727273	0.308471022727273	0.452597727272727	0.137885227272727		1
000051:	0.017972727272727	0.941410227272727	0.028809090909091	0.011807954545455		1
000052:	0.019935795454545	0.927361931818182	0.040971590909091	0.011730681818182		1
000053:	0.044114204545455	0.200993181818182	0.590516477272727	0.164376136363636		1
000054:	0.089705113636364	0.045139204545455	0.195823295454545	0.669332386363636		1
000055:	0.038512500000000	0.200951704545455	0.738672159090909	0.021863636363636		1
000056:	0.027301704545455	0.067537500000000	0.869741477272727	0.035419318181818		1
