Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	
000001:	0.037914772727273	0.406956818181818	0.136776136363636	0.142216477272727	0.276135795454545		1
000002:	0.045291477272727	0.570622159090909	0.042093750000000	0.077632386363636	0.264360227272727		1
000003:	0.024515340909091	0.788345454545455	0.033166477272727	0.036250000000000	0.117722727272727		1
000004:	0.020467613636364	0.194073295454545	0.022664204545455	0.722075568181818	0.040719318181818		1
000005:	0.019947727272727	0.838730681818182	0.043186363636364	0.049052272727273	0.049082954545455		1
000006:	0.068558522727273	0.164715340909091	0.057522159090909	0.644234090909091	0.064969886363636		1
000007:	0.032421590909091	0.547943181818182	0.027594318181818	0.047619318181818	0.344421590909091		1
000008:	0.029411931818182	0.688373863636364	0.032114772727273	0.092400568181818	0.157698863636364		1
000009:	0.022151704545455	0.678213068181818	0.047419318181818	0.185856818181818	0.066359090909091		1
000010:	0.024963068181818	0.603171590909091	0.145702272727273	0.083668750000000	0.142494318181818		1
000011:	0.051720454545455	0.292597159090909	0.064406818181818	0.217290909090909	0.373984659090909		1
000012:	0.110201704545455	0.490644318181818	0.211463636363636	0.163781250000000	0.023909090909091		1
000013:	0.236453409090909	0.102338068181818	0.368843181818182	0.248524431818182	0.043840909090909		1
000014:	0.014700000000000	0.034139204545455	0.021891477272727	0.908628409090909	0.020640909090909		1
000015:	0.020565909090909	0.705539772727273	0.115384659090909	0.135264204545455	0.023245454545455		1
000016:	0.012397159090909	0.064036931818182	0.015490340909091	0.883798863636364	0.024276704545455		1
000017:	0.019442613636364	0.699543181818182	0.147907954545455	0.069980681818182	0.063125568181818		1
000018:	0.340976704545455	0.138319886363636	0.427739204545455	0.065607954545455	0.027356250000000		1
000019:	0.053225568181818	0.755578409090909	0.104562500000000	0.043592045454545	0.043041477272727		1
000020:	0.016893750000000	0.393946590909091	0.175936931818182	0.376996022727273	0.036226704545455		1
000021:	0.025159659090909	0.077023295454545	0.644281818181818	0.028782954545455	0.224752272727273		1
000022:	0.023136931818182	0.658311363636364	0.201657954545455	0.082060795454545	0.034832954545455		1
000023:	0.128625568181818	0.315549431818182	0.258940340909091	0.072769318181818	0.224115340909091		1
000024:	0.020587500000000	0.023631250000000	0.035394318181818	0.904564772727273	0.015822159090909		1
