Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	
000001:	0.353027272727273	0.202467613636364	0.211938636363636	0.138198863636364	0.046398295454545	0.047969318181818		1
000002:	0.327685227272727	0.037638636363636	0.510474431818182	0.078595454545455	0.031438636363636	0.014167613636364		1
000003:	0.094436931818182	0.068360795454545	0.646159659090909	0.063753409090909	0.019828977272727	0.107460227272727		1
000004:	0.056410795454545	0.022075568181818	0.184438636363636	0.692688636363636	0.021314772727273	0.023071590909091		1
000005:	0.066338636363636	0.105500000000000	0.730530681818182	0.061785795454545	0.020391477272727	0.015453409090909		1
000006:	0.001832954545455	0.001504545454545	0.001601704545455	0.717602272727273	0.001698863636364	0.275759659090909		1
000007:	0.273423295454545	0.025704545454545	0.565244318181818	0.069290340909091	0.023638636363636	0.042698863636364		1
000008:	0.074921022727273	0.020579545454545	0.781828977272727	0.074129545454545	0.026514772727273	0.022026136363636		1
000009:	0.047158522727273	0.035376704545455	0.712932954545455	0.157007386363636	0.034500000000000	0.013024431818182		1
000010:	0.045779545454545	0.086875000000000	0.696033522727273	0.106847727272727	0.050328409090909	0.014135795454545		1
000011:	0.207749431818182	0.211915909090909	0.274069886363636	0.212210227272727	0.022473863636364	0.071580681818182		1
000012:	0.043312500000000	0.206994318181818	0.375630113636364	0.149621022727273	0.135571590909091	0.088870454545455		1
000013:	0.037233522727273	0.139668750000000	0.107305681818182	0.270259090909091	0.351597727272727	0.093935227272727		1
000014:	0.024009090909091	0.019730113636364	0.029789204545455	0.888242613636364	0.024183522727273	0.014045454545455		1
000015:	0.031461931818182	0.049515909090909	0.735232954545455	0.137746022727273	0.026381818181818	0.019661363636364		1
000016:	0.025230681818182	0.016657386363636	0.160028977272727	0.764901136363636	0.016042045454545	0.017139772727273		1
000017:	0.049259090909091	0.390503977272727	0.422086363636364	0.100590340909091	0.019972727272727	0.017587500000000		1
000018:	0.021996590909091	0.058405681818182	0.088310795454545	0.055702840909091	0.706471022727273	0.069113068181818		1
000019:	0.064109090909091	0.062153977272727	0.679435795454545	0.045728409090909	0.050640909090909	0.097931818181818		1
000020:	0.087685227272727	0.285036363636364	0.289769886363636	0.279628977272727	0.035350000000000	0.022529545454545		1
000021:	0.078124431818182	0.787986363636364	0.051965909090909	0.027397159090909	0.025669886363636	0.028856250000000		1
000022:	0.328192045454545	0.004115909090909	0.001560795454545	0.001242613636364	0.664405681818182	0.000482954545455		1
000023:	0.115485795454545	0.284268750000000	0.192098863636364	0.079406818181818	0.037651704545455	0.291088068181818		1
000024:	0.019836363636364	0.025565340909091	0.031080681818182	0.884604545454545	0.020042613636364	0.018870454545455		1
000025:	0.056792045454545	0.104848295454545	0.140825000000000	0.194735227272727	0.167953977272727	0.334845454545455		1
000026:	0.038997159090909	0.132710227272727	0.480412500000000	0.038347727272727	0.236160227272727	0.073372159090909		1
000027:	0.028857954545455	0.431871022727273	0.124691477272727	0.069891477272727	0.297597159090909	0.047090909090909		1
000028:	0.248809090909091	0.164303409090909	0.499565909090909	0.045875000000000	0.020314204545455	0.021132386363636		1
000029:	0.072843750000000	0.318237500000000	0.343059659090909	0.157293750000000	0.071509659090909	0.037055681818182		1
000030:	0.062809090909091	0.068135227272727	0.624511363636364	0.113739772727273	0.032797159090909	0.098007386363636		1
000031:	0.034080113636364	0.185771590909091	0.086686931818182	0.045339204545455	0.581278409090909	0.066843750000000		1
000032:	0.045172727272727	0.708062500000000	0.083974431818182	0.092933522727273	0.048211931818182	0.021644886363636		1
000033:	0.119944886363636	0.447024431818182	0.278227272727273	0.072655681818182	0.046324431818182	0.035823295454545		1
000034:	0.017719318181818	0.024942045454545	0.056340909090909	0.866705113636364	0.017223295454545	0.017069318181818		1
000035:	0.202805681818182	0.429028409090909	0.111941477272727	0.043848863636364	0.076400000000000	0.135975568181818		1
000036:	0.129322159090909	0.281008522727273	0.432155113636364	0.088272727272727	0.043081250000000	0.026160227272727		1
000037:	0.040585795454545	0.448828977272727	0.273243181818182	0.122887500000000	0.082985795454545	0.031468750000000		1
000038:	0.372065909090909	0.096106250000000	0.132509659090909	0.104426704545455	0.032621022727273	0.262270454545455		1
000039:	0.057752840909091	0.131493181818182	0.314071590909091	0.158032954545455	0.256363068181818	0.082286363636364		1
000040:	0.045098295454545	0.032232954545455	0.166377272727273	0.694618181818182	0.022455681818182	0.039217613636364		1
000041:	0.055963636363636	0.426175568181818	0.187584090909091	0.193808522727273	0.108995454545455	0.027472727272727		1
000042:	0.064343750000000	0.398933522727273	0.093896022727273	0.124050000000000	0.072727272727273	0.246049431818182		1
000043:	0.044757386363636	0.284733522727273	0.513415909090909	0.117627272727273	0.016754545454545	0.022711363636364		1
000044:	0.048585795454545	0.227960795454545	0.558344318181818	0.085414772727273	0.051014204545455	0.028680113636364		1
000045:	0.026330681818182	0.175061363636364	0.184285227272727	0.031967045454545	0.542735795454545	0.039619886363636		1
000046:	0.182693181818182	0.123942613636364	0.099938068181818	0.069038636363636	0.427589772727273	0.096797727272727		1
000047:	0.138309090909091	0.298519318181818	0.165911363636364	0.179225568181818	0.103545454545455	0.114489204545455		1
000048:	0.047169318181818	0.055797727272727	0.773146590909091	0.065515909090909	0.015875568181818	0.042494886363636		1
000049:	0.044098863636364	0.136785227272727	0.680056818181818	0.058411363636364	0.021443181818182	0.059204545454545		1
000050:	0.061074431818182	0.236105681818182	0.074127272727273	0.399980113636364	0.075115909090909	0.153596590909091		1
000051:	0.022051136363636	0.013281250000000	0.042484659090909	0.897206818181818	0.013223295454545	0.011752840909091		1
000052:	0.017543750000000	0.013309090909091	0.047891477272727	0.896447159090909	0.013855113636364	0.010953409090909		1
000053:	0.055402840909091	0.222232386363636	0.195506818181818	0.241356250000000	0.139514204545455	0.145987500000000		1
000054:	0.083747727272727	0.310207386363636	0.103430113636364	0.083209090909091	0.188430113636364	0.230975568181818		1
000055:	0.024677272727273	0.038675568181818	0.562102840909091	0.326967613636364	0.030947159090909	0.016629545454545		1
000056:	0.039342613636364	0.079010227272727	0.678399431818182	0.091363636363636	0.077523863636364	0.034360227272727		1
000057:	0.051163636363636	0.173589204545455	0.372462500000000	0.193239772727273	0.178649431818182	0.030895454545455		1
000058:	0.026878409090909	0.101401136363636	0.698344886363636	0.020063068181818	0.024703409090909	0.128609090909091		1
000059:	0.023473295454545	0.472609090909091	0.334141477272727	0.021523295454545	0.097768181818182	0.050484659090909		1
000060:	0.029857954545455	0.097468750000000	0.782211931818182	0.049655113636364	0.024442045454545	0.016364204545455		1
000061:	0.026163636363636	0.117674431818182	0.751336931818182	0.061071022727273	0.026133522727273	0.017620454545455		1
000062:	0.023189204545455	0.018125568181818	0.044457954545455	0.887218181818182	0.011217613636364	0.015791477272727		1
000063:	0.025848295454545	0.012642613636364	0.058046590909091	0.876094318181818	0.014771590909091	0.012596590909091		1
000064:	0.038074431818182	0.016767613636364	0.039764204545455	0.884168750000000	0.010398863636364	0.010826136363636		1
000065:	0.045219318181818	0.027286363636364	0.832818750000000	0.050848863636364	0.022182954545455	0.021643750000000		1
000066:	0.026540909090909	0.297026704545455	0.460282386363636	0.103156250000000	0.093711931818182	0.019281818181818		1
