Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	
000001:	0.410802272727273	0.069134090909091	0.101491477272727	0.092873295454545	0.175556818181818	0.050880681818182	0.099261363636364		1
000002:	0.156143181818182	0.274565340909091	0.098927272727273	0.039611363636364	0.332218750000000	0.027612500000000	0.070921590909091		1
000003:	0.217154545454545	0.085344318181818	0.055386363636364	0.038470454545455	0.430161931818182	0.032098863636364	0.141383522727273		1
000004:	0.058811931818182	0.042314204545455	0.707531818181818	0.018637500000000	0.131927840909091	0.019365340909091	0.021411363636364		1
000005:	0.091490909090909	0.056463068181818	0.124686931818182	0.066307386363636	0.618519318181818	0.018068181818182	0.024464204545455		1
000006:	0.151668181818182	0.075645454545455	0.425859659090909	0.079061363636364	0.173851704545455	0.059425568181818	0.034488068181818		1
000007:	0.198997159090909	0.178208522727273	0.072706818181818	0.024344318181818	0.339554545454545	0.032555113636364	0.153633522727273		1
000008:	0.046807954545455	0.197561931818182	0.122283522727273	0.021931250000000	0.499001136363636	0.049586363636364	0.062827840909091		1
000009:	0.026022727272727	0.191725000000000	0.166228409090909	0.033366477272727	0.504141477272727	0.039500000000000	0.039015909090909		1
000010:	0.017342613636364	0.059125568181818	0.083986931818182	0.221711931818182	0.528672159090909	0.042034659090909	0.047126136363636		1
000011:	0.231751704545455	0.040218750000000	0.142551136363636	0.114610227272727	0.275344318181818	0.029582954545455	0.165940909090909		1
000012:	0.039887500000000	0.020544318181818	0.111644318181818	0.133550568181818	0.602781818181818	0.074538636363636	0.017052840909091		1
000013:	0.108494886363636	0.032266477272727	0.299856818181818	0.158061931818182	0.128522159090909	0.245961363636364	0.026836363636364		1
000014:	0.018419886363636	0.015393750000000	0.893040340909091	0.017452272727273	0.025727840909091	0.017682386363636	0.012283522727273		1
000015:	0.029248295454545	0.022782954545455	0.240887500000000	0.141984659090909	0.522892613636364	0.029862500000000	0.012341477272727		1
000016:	0.026719318181818	0.012586363636364	0.857621590909091	0.010728977272727	0.058161363636364	0.017241477272727	0.016940909090909		1
