Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	***Cluster  08***	
000001:	0.093575568181818	0.118906818181818	0.074507386363636	0.093929545454545	0.083582954545455	0.020084090909091	0.464115909090909	0.051297727272727		1
000002:	0.099199431818182	0.028180681818182	0.091777272727273	0.038173863636364	0.040335227272727	0.017125568181818	0.254797159090909	0.430410795454545		1
000003:	0.060413068181818	0.091877272727273	0.081763068181818	0.027446590909091	0.076355681818182	0.038055113636364	0.550231818181818	0.073857386363636		1
000004:	0.546218750000000	0.025139204545455	0.111397159090909	0.023155113636364	0.032236363636364	0.025164204545455	0.070661931818182	0.166027272727273		1
000005:	0.111057954545455	0.302234090909091	0.368512500000000	0.045603409090909	0.067374431818182	0.007640340909091	0.042073295454545	0.055503977272727		1
000006:	0.487015340909091	0.074448863636364	0.056398863636364	0.056156818181818	0.055514204545455	0.071542613636364	0.069861363636364	0.129061931818182		1
000007:	0.049936931818182	0.022963636363636	0.282695454545455	0.025031250000000	0.154219318181818	0.029145454545455	0.221444886363636	0.214563068181818		1
000008:	0.062364772727273	0.019134090909091	0.159036363636364	0.033778977272727	0.035712500000000	0.035640909090909	0.051669318181818	0.602663068181818		1
000009:	0.092981250000000	0.033269318181818	0.205930113636364	0.028300568181818	0.018985795454545	0.023301136363636	0.016095454545455	0.581136363636364		1
000010:	0.233457954545455	0.055971022727273	0.156573863636364	0.149385227272727	0.053270454545455	0.050323863636364	0.054291477272727	0.246726136363636		1
000011:	0.095294318181818	0.063974431818182	0.057080681818182	0.037522727272727	0.072711931818182	0.022135795454545	0.603828409090909	0.047451704545455		1
000012:	0.149346022727273	0.092051704545455	0.392646022727273	0.165523863636364	0.029139204545455	0.090394886363636	0.048421590909091	0.032476704545455		1
000013:	0.165670454545455	0.177296590909091	0.079286931818182	0.335795454545455	0.025723295454545	0.133849431818182	0.044361931818182	0.038015909090909		1
000014:	0.920310795454545	0.007053409090909	0.013359090909091	0.008563636363636	0.011944318181818	0.011992613636364	0.010596022727273	0.016180113636364		1
000015:	0.147363068181818	0.033888068181818	0.569882386363636	0.054112500000000	0.022598295454545	0.020497727272727	0.108592613636364	0.043065340909091		1
000016:	0.848473295454545	0.026688068181818	0.031977272727273	0.017225568181818	0.013767613636364	0.013340909090909	0.034649431818182	0.013877840909091		1
000017:	0.039932954545455	0.091841477272727	0.121063636363636	0.623826704545455	0.020692613636364	0.006905113636364	0.078771022727273	0.016966477272727		1
000018:	0.085858522727273	0.024039204545455	0.091364204545455	0.645688636363636	0.023880681818182	0.078342613636364	0.019926704545455	0.030899431818182		1
000019:	0.040234090909091	0.069553409090909	0.271443181818182	0.043217045454545	0.026001136363636	0.047298295454545	0.470731818181818	0.031521022727273		1
000020:	0.451248863636364	0.058592045454545	0.173057386363636	0.136205681818182	0.038771022727273	0.017336363636364	0.068188068181818	0.056600568181818		1
000021:	0.019847159090909	0.693764772727273	0.056669318181818	0.093181250000000	0.056728409090909	0.010660795454545	0.056982954545455	0.012165340909091		1
000022:	0.082039772727273	0.080185227272727	0.545903977272727	0.170264772727273	0.020189772727273	0.023126704545455	0.034201704545455	0.044088068181818		1
000023:	0.064688636363636	0.341067045454545	0.086844318181818	0.095578409090909	0.110660227272727	0.031401136363636	0.231990340909091	0.037769886363636		1
000024:	0.939761931818182	0.006888068181818	0.005681250000000	0.007135227272727	0.008797159090909	0.004840909090909	0.006479545454545	0.020415909090909		1
000025:	0.197214204545455	0.440486363636364	0.061343750000000	0.093878977272727	0.024689204545455	0.125100568181818	0.031608522727273	0.025678409090909		1
