Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000001:	0.058790340909091	0.941209659090909		1
000002:	0.022214204545455	0.977785795454545		1
000003:	0.033201704545455	0.966798295454545		1
000004:	0.020973863636364	0.979026136363636		1
000005:	0.038586931818182	0.961413068181818		1
000006:	0.053201704545455	0.946798295454545		1
000007:	0.014916477272727	0.985083522727273		1
000008:	0.020694886363636	0.979305113636364		1
000009:	0.025603409090909	0.974396590909091		1
000010:	0.037664204545455	0.962335795454546		1
000011:	0.619426136363636	0.380573863636364		1
000012:	0.905798295454545	0.094201704545455		1
000013:	0.925597727272727	0.074402272727273		1
000014:	0.722441477272727	0.277558522727273		1
000015:	0.632924431818182	0.367075568181818		1
000016:	0.474214772727273	0.525785227272727		1
000017:	0.757249431818182	0.242750568181818		1
000018:	0.933513636363636	0.066486363636364		1
000019:	0.851869318181818	0.148130681818182		1
000020:	0.798619318181818	0.201380681818182		1
000021:	0.920462500000000	0.079537500000000		1
000022:	0.912572727272727	0.087427272727273		1
000023:	0.900038636363636	0.099961363636364		1
000024:	0.863617613636364	0.136382386363636		1
000025:	0.949458522727273	0.050541477272727		1
000026:	0.942644318181818	0.057355681818182		1
000027:	0.971085795454545	0.028914204545455		1
000028:	0.658460795454545	0.341539204545455		1
000029:	0.907805113636364	0.092194886363636		1
000030:	0.807119318181818	0.192880681818182		1
000031:	0.965722159090909	0.034277840909091		1
000032:	0.935815909090909	0.064184090909091		1
000033:	0.870885795454545	0.129114204545455		1
000034:	0.886332386363636	0.113667613636364		1
000035:	0.940443181818182	0.059556818181818		1
000036:	0.880506250000000	0.119493750000000		1
000037:	0.964472727272727	0.035527272727273		1
000038:	0.809076704545455	0.190923295454545		1
000039:	0.961113068181818	0.038886931818182		1
000040:	0.884621590909091	0.115378409090909		1
000041:	0.900547159090909	0.099452840909091		1
000042:	0.947343181818182	0.052656818181818		1
000043:	0.697723295454545	0.302276704545455		1
000044:	0.871077272727273	0.128922727272727		1
000045:	0.958416477272727	0.041583522727273		1
000046:	0.748680113636364	0.251319886363636		1
000047:	0.572669886363636	0.427330113636364		1
000048:	0.198083522727273	0.801916477272727		1
000049:	0.571423295454545	0.428576704545455		1
000050:	0.634606250000000	0.365393750000000		1
000051:	0.108047727272727	0.891952272727273		1
000052:	0.139746022727273	0.860253977272727		1
000053:	0.640242045454545	0.359757954545455		1
000054:	0.833516477272727	0.166483522727273		1
000055:	0.243182954545455	0.756817045454545		1
000056:	0.534083522727273	0.465916477272727		1
000057:	0.632367045454545	0.367632954545455		1
000058:	0.787759659090909	0.212240340909091		1
000059:	0.890621590909091	0.109378409090909		1
000060:	0.512921590909091	0.487078409090909		1
000061:	0.669497727272727	0.330502272727273		1
000062:	0.186002840909091	0.813997159090909		1
000063:	0.119844886363636	0.880155113636364		1
000064:	0.068920454545455	0.931079545454545		1
000065:	0.186573295454545	0.813426704545455		1
000066:	0.709567613636364	0.290432386363636		1
000067:	0.103622159090909	0.896377840909091		1
000068:	0.848406250000000	0.151593750000000		1
000069:	0.770215909090909	0.229784090909091		1
000070:	0.683294886363636	0.316705113636364		1
000071:	0.859677840909091	0.140322159090909		1
000072:	0.370678409090909	0.629321590909091		1
000073:	0.260138068181818	0.739861931818182		1
000074:	0.873207386363636	0.126792613636364		1
000075:	0.730789772727273	0.269210227272727		1
000076:	0.562828977272727	0.437171022727273		1
000077:	0.515777272727273	0.484222727272727		1
000078:	0.244844886363636	0.755155113636364		1
000079:	0.842497159090909	0.157502840909091		1
000080:	0.858489204545455	0.141510795454545		1
000081:	0.278105681818182	0.721894318181818		1
000082:	0.400365909090909	0.599634090909091		1
000083:	0.529278409090909	0.470721590909091		1
000084:	0.485649431818182	0.514350568181818		1
000085:	0.736003409090909	0.263996590909091		1
000086:	0.678622727272727	0.321377272727273		1
000087:	0.841342045454545	0.158657954545455		1
000088:	0.899247727272727	0.100752272727273		1
000089:	0.861117613636364	0.138882386363636		1
000090:	0.902821022727273	0.097178977272727		1
000091:	0.815528409090909	0.184471590909091		1
000092:	0.679895454545455	0.320104545454545		1
000093:	0.604675568181818	0.395324431818182		1
000094:	0.812174431818182	0.187825568181818		1
000095:	0.236485795454545	0.763514204545455		1
000096:	0.338117045454545	0.661882954545455		1
000097:	0.920598863636364	0.079401136363636		1
000098:	0.832185795454545	0.167814204545455		1
000099:	0.774135227272727	0.225864772727273		1
000100:	0.527290909090909	0.472709090909091		1
000101:	0.868266477272727	0.131733522727273		1
000102:	0.796406250000000	0.203593750000000		1
000103:	0.792052272727273	0.207947727272727		1
000104:	0.402368750000000	0.597631250000000		1
000105:	0.918853409090909	0.081146590909091		1
000106:	0.862558522727273	0.137441477272727		1
000107:	0.698201136363636	0.301798863636364		1
000108:	0.536086363636364	0.463913636363636		1
000109:	0.834339204545455	0.165660795454545		1
000110:	0.770589772727273	0.229410227272727		1
000111:	0.422798295454545	0.577201704545454		1
000112:	0.879840909090909	0.120159090909091		1
