Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	
000001:	0.889730681818182	0.057300568181818	0.052968750000000		1
000002:	0.943084090909091	0.016248295454545	0.040667613636364		1
000003:	0.897821590909091	0.041071590909091	0.061106818181818		1
000004:	0.956107954545454	0.018975568181818	0.024916477272727		1
000005:	0.963827272727273	0.020271022727273	0.015901704545455		1
000006:	0.929522727272727	0.035826136363636	0.034651136363636		1
000007:	0.908315340909091	0.032610795454545	0.059073863636364		1
000008:	0.959509090909091	0.018366477272727	0.022124431818182		1
000009:	0.952802272727273	0.022106250000000	0.025091477272727		1
000010:	0.946958522727273	0.033251704545455	0.019789772727273		1
000011:	0.539482954545455	0.289629545454545	0.170887500000000		1
000012:	0.197197159090909	0.759553409090909	0.043249431818182		1
000013:	0.090722727272727	0.881832386363636	0.027444886363636		1
000014:	0.684528409090909	0.248522159090909	0.066949431818182		1
000015:	0.787196590909091	0.193957954545455	0.018845454545455		1
000016:	0.816188068181818	0.148255681818182	0.035556250000000		1
000017:	0.568176704545455	0.376992045454545	0.054831250000000		1
000018:	0.074371022727273	0.906482954545455	0.019146022727273		1
000019:	0.367873863636364	0.609388068181818	0.022738068181818		1
000020:	0.591486931818182	0.376776136363636	0.031736931818182		1
000021:	0.087555681818182	0.808497727272727	0.103946590909091		1
000022:	0.382128409090909	0.594448863636364	0.023422727272727		1
000023:	0.212743181818182	0.706692613636364	0.080564204545455		1
000024:	0.358195454545455	0.608298863636364	0.033505681818182		1
000025:	0.131309659090909	0.853750000000000	0.014940340909091		1
000026:	0.137375000000000	0.839403977272727	0.023221022727273		1
000027:	0.090596590909091	0.896327840909091	0.013075568181818		1
000028:	0.488323295454545	0.318594318181818	0.193082386363636		1
000029:	0.276868181818182	0.676343181818182	0.046788636363636		1
000030:	0.387571590909091	0.532059090909091	0.080369318181818		1
000031:	0.045478977272727	0.935332954545455	0.019188068181818		1
000032:	0.107872159090909	0.852797727272727	0.039330113636364		1
000033:	0.287501704545455	0.647565340909091	0.064932954545455		1
000034:	0.554811363636364	0.396619886363636	0.048568750000000		1
000035:	0.082213636363636	0.828022727272727	0.089763636363636		1
000036:	0.408482386363636	0.529621590909091	0.061896022727273		1
000037:	0.174249431818182	0.808889204545455	0.016861363636364		1
000038:	0.255530681818182	0.542421590909091	0.202047727272727		1
000039:	0.124494886363636	0.854356250000000	0.021148863636364		1
000040:	0.526182386363636	0.424035227272727	0.049782386363636		1
000041:	0.233877840909091	0.738259659090909	0.027862500000000		1
000042:	0.088117613636364	0.882966477272727	0.028915909090909		1
000043:	0.650800568181818	0.315610227272727	0.033589204545455		1
000044:	0.365678409090909	0.596462500000000	0.037859090909091		1
000045:	0.079994318181818	0.906805113636364	0.013200568181818		1
000046:	0.180846022727273	0.710440340909091	0.108713636363636		1
000047:	0.535452272727273	0.399179545454545	0.065368181818182		1
000048:	0.857317045454545	0.109338636363636	0.033344318181818		1
000049:	0.688939204545455	0.283037500000000	0.028023295454545		1
000050:	0.488861363636364	0.464250000000000	0.046888636363636		1
