Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	
000001:	0.214255681818182	0.157417045454545	0.621582386363636	0.006744886363636		1
000002:	0.039998863636364	0.063049431818182	0.888474431818182	0.008477272727273		1
000003:	0.043921590909091	0.077120454545455	0.861222159090909	0.017735795454545		1
000004:	0.050082954545455	0.022344318181818	0.918857954545454	0.008714772727273		1
000005:	0.054350568181818	0.028400568181818	0.911356818181818	0.005892045454545		1
000006:	0.077806250000000	0.040723295454545	0.856659659090909	0.024810795454545		1
000007:	0.029502272727273	0.130986931818182	0.828342613636364	0.011168181818182		1
000008:	0.041310227272727	0.036169886363636	0.913878977272727	0.008640909090909		1
000009:	0.050432954545455	0.042320454545455	0.897784659090909	0.009461931818182		1
000010:	0.074413636363636	0.048707954545455	0.869905681818182	0.006972727272727		1
000011:	0.160620454545455	0.078910795454545	0.665457386363636	0.095011363636364		1
000012:	0.509707954545455	0.024003409090909	0.246063068181818	0.220225568181818		1
000013:	0.320742045454545	0.035886363636364	0.165300000000000	0.478071590909091		1
000014:	0.097772159090909	0.035644318181818	0.718474431818182	0.148109090909091		1
000015:	0.199777840909091	0.021048863636364	0.738428977272727	0.040744318181818		1
000016:	0.071169886363636	0.030399431818182	0.843596590909091	0.054834090909091		1
000017:	0.589509659090909	0.059859090909091	0.317137500000000	0.033493750000000		1
000018:	0.584092613636364	0.025212500000000	0.108463068181818	0.282231818181818		1
000019:	0.325407954545455	0.038868750000000	0.476086363636364	0.159636931818182		1
000020:	0.423492613636364	0.045290340909091	0.496889204545455	0.034327840909091		1
000021:	0.814259090909091	0.090118181818182	0.053467613636364	0.042155113636364		1
000022:	0.682463636363636	0.025947159090909	0.234940909090909	0.056648295454545		1
000023:	0.417464204545455	0.098683522727273	0.273230681818182	0.210621590909091		1
000024:	0.258608522727273	0.029426136363636	0.445277272727273	0.266688068181818		1
000025:	0.330463068181818	0.030959090909091	0.178036363636364	0.460541477272727		1
000026:	0.780339772727273	0.023849431818182	0.118678409090909	0.077132386363636		1
000027:	0.763879545454546	0.014837500000000	0.084064204545455	0.137218750000000		1
000028:	0.389770454545455	0.268386363636364	0.297798295454545	0.044044886363636		1
000029:	0.530765909090909	0.050338636363636	0.359011931818182	0.059883522727273		1
000030:	0.234646022727273	0.113946590909091	0.402779545454545	0.248627840909091		1
000031:	0.768423863636364	0.019509659090909	0.069650568181818	0.142415909090909		1
000032:	0.818083522727273	0.035290340909091	0.098194318181818	0.048431818181818		1
000033:	0.655730681818182	0.075449431818182	0.209227272727273	0.059592613636364		1
000034:	0.141906818181818	0.023067045454545	0.771716477272727	0.063309659090909		1
000035:	0.619217045454545	0.188711363636364	0.068361931818182	0.123709659090909		1
000036:	0.477171022727273	0.077985227272727	0.397860227272727	0.046983522727273		1
000037:	0.757772159090909	0.018668750000000	0.159805681818182	0.063753409090909		1
000038:	0.184700568181818	0.237739772727273	0.267284659090909	0.310275000000000		1
000039:	0.620385795454545	0.024153977272727	0.151717045454545	0.203743181818182		1
000040:	0.112294886363636	0.035895454545455	0.663133522727273	0.188676136363636		1
000041:	0.687503409090909	0.024247727272727	0.212946590909091	0.075302272727273		1
000042:	0.516682954545455	0.027067613636364	0.104689204545455	0.351560227272727		1
000043:	0.282731818181818	0.036589772727273	0.645644318181818	0.035034090909091		1
000044:	0.629255681818182	0.026890340909091	0.295483522727273	0.048370454545455		1
000045:	0.830672727272727	0.024638068181818	0.071525000000000	0.073164204545455		1
000046:	0.540621590909091	0.156188068181818	0.150395454545455	0.152794886363636		1
000047:	0.351544886363636	0.089861931818182	0.435881250000000	0.122711931818182		1
000048:	0.078167045454545	0.024994318181818	0.864094886363636	0.032743750000000		1
000049:	0.219017045454545	0.035868750000000	0.699318750000000	0.045795454545455		1
000050:	0.369051704545455	0.046801704545455	0.465232954545455	0.118913636363636		1
000051:	0.044005681818182	0.030368750000000	0.899569318181818	0.026056250000000		1
000052:	0.056909090909091	0.032771022727273	0.892453409090909	0.017866477272727		1
000053:	0.428385795454545	0.040419318181818	0.451149431818182	0.080045454545455		1
000054:	0.332518181818182	0.065553409090909	0.218658522727273	0.383269886363636		1
000055:	0.121535227272727	0.036306818181818	0.811072727272727	0.031085227272727		1
000056:	0.010101136363636	0.350065909090909	0.004648295454545	0.635184659090909		1
000057:	0.520344886363636	0.087277840909091	0.358400568181818	0.033976704545455		1
000058:	0.372953977272727	0.038740909090909	0.434226704545455	0.154078409090909		1
000059:	0.766968750000000	0.035434090909091	0.140737500000000	0.056859659090909		1
000060:	0.257056250000000	0.032042045454545	0.676357954545455	0.034543750000000		1
000061:	0.385524431818182	0.035906250000000	0.542257954545455	0.036311363636364		1
000062:	0.063663636363636	0.025080113636364	0.881424431818182	0.029831818181818		1
000063:	0.043003409090909	0.063686931818182	0.855323863636364	0.037985795454545		1
000064:	0.031489204545455	0.069175000000000	0.875528409090909	0.023807386363636		1
000065:	0.128423295454545	0.050338636363636	0.787236931818182	0.034001136363636		1
000066:	0.604511363636364	0.028790340909091	0.343511931818182	0.023186363636364		1
000067:	0.041754545454545	0.035675000000000	0.902302272727273	0.020268181818182		1
000068:	0.724061363636364	0.028220454545455	0.202589204545455	0.045128977272727		1
000069:	0.669315340909091	0.031842045454545	0.274093750000000	0.024748863636364		1
000070:	0.262902840909091	0.087701704545455	0.530013636363636	0.119381818181818		1
000071:	0.774309090909091	0.043922159090909	0.143906818181818	0.037861931818182		1
000072:	0.163252272727273	0.049570454545455	0.748898295454545	0.038278977272727		1
000073:	0.170598863636364	0.042215909090909	0.742378977272727	0.044806250000000		1
000074:	0.562243750000000	0.042639772727273	0.174913068181818	0.220203409090909		1
000075:	0.370582386363636	0.057961931818182	0.429054545454545	0.142401136363636		1
000076:	0.267031818181818	0.511940909090909	0.134663068181818	0.086364204545455		1
000077:	0.270899431818182	0.238328409090909	0.342815340909091	0.147956818181818		1
000078:	0.179338068181818	0.064514204545455	0.731556250000000	0.024591477272727		1
000079:	0.582048295454546	0.069722727272727	0.220489772727273	0.127739204545455		1
000080:	0.594033522727273	0.081160227272727	0.157993181818182	0.166813068181818		1
