Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	
000001:	0.067286363636364	0.016102840909091	0.250846022727273	0.094199431818182	0.571565340909091		1
000002:	0.042139204545455	0.006974431818182	0.071182386363636	0.039951136363636	0.839752840909091		1
000003:	0.000526704545455	0.000096590909091	0.074264772727273	0.000171590909091	0.924940340909091		1
000004:	0.214734659090909	0.006014204545455	0.030626704545455	0.019782954545455	0.728841477272727		1
000005:	0.030168181818182	0.009807386363636	0.066921590909091	0.014775000000000	0.878327840909091		1
000006:	0.578138636363636	0.012440909090909	0.057158522727273	0.019575568181818	0.332686363636364		1
000007:	0.034060795454545	0.007306818181818	0.033589204545455	0.052838068181818	0.872205113636364		1
000008:	0.062363636363636	0.007290909090909	0.037143750000000	0.017012500000000	0.876189204545455		1
000009:	0.099653409090909	0.004522727272727	0.105470454545455	0.011069886363636	0.779283522727273		1
000010:	0.045223295454545	0.007775568181818	0.082001704545455	0.017836363636364	0.847163068181818		1
000011:	0.253662500000000	0.082491477272727	0.245472727272727	0.160502840909091	0.257870454545455		1
000012:	0.248554545454545	0.115922727272727	0.547228409090909	0.023096022727273	0.065198295454545		1
000013:	0.211835227272727	0.282650000000000	0.388644886363636	0.031610227272727	0.085259659090909		1
000014:	0.900164772727273	0.020128977272727	0.037748295454545	0.009521590909091	0.032436363636364		1
000015:	0.203502840909091	0.036951704545455	0.327289204545455	0.024527840909091	0.407728409090909		1
000016:	0.827973863636364	0.023657386363636	0.073864772727273	0.015268750000000	0.059235227272727		1
000017:	0.073707386363636	0.920936363636364	0.000944318181818	0.003277272727273	0.001134659090909		1
000018:	0.120803977272727	0.354269886363636	0.451763636363636	0.018269886363636	0.054892613636364		1
000019:	0.057424431818182	0.142872159090909	0.446494886363636	0.036411931818182	0.316796590909091		1
000020:	0.412218750000000	0.030688068181818	0.400527272727273	0.033283522727273	0.123282386363636		1
000021:	0.032044886363636	0.036391477272727	0.770781818181818	0.127107386363636	0.033674431818182		1
000022:	0.112018181818182	0.045593181818182	0.744544318181818	0.020047159090909	0.077797159090909		1
000023:	0.108911931818182	0.230493750000000	0.394096022727273	0.152078977272727	0.114419318181818		1
000024:	0.884585795454545	0.032714772727273	0.048901704545455	0.012209090909091	0.021588636363636		1
000025:	0.191668181818182	0.363328409090909	0.336808522727273	0.027514204545455	0.080680681818182		1
000026:	0.051905681818182	0.100989772727273	0.761494886363636	0.028391477272727	0.057218181818182		1
000027:	0.076859659090909	0.102849431818182	0.762521590909091	0.018554545454545	0.039214772727273		1
000028:	0.083678977272727	0.039961363636364	0.432400568181818	0.270867045454545	0.173092045454545		1
000029:	0.159650000000000	0.071689772727273	0.605366477272727	0.040135795454545	0.123157954545455		1
000030:	0.203890909090909	0.172467045454545	0.290368181818182	0.114541477272727	0.218732386363636		1
000031:	0.050469886363636	0.265722727272727	0.625889204545454	0.021681250000000	0.036236931818182		1
000032:	0.062477272727273	0.053840909090909	0.797159659090909	0.043914204545455	0.042607954545455		1
000033:	0.063194318181818	0.055786363636364	0.663981818181818	0.102103409090909	0.114934090909091		1
000034:	0.866590340909091	0.026486363636364	0.061219318181818	0.013279545454545	0.032424431818182		1
000035:	0.051623295454545	0.198853977272727	0.556596590909091	0.100130681818182	0.092795454545455		1
000036:	0.109685795454545	0.049402272727273	0.624072159090909	0.081306818181818	0.135532954545455		1
000037:	0.080585795454545	0.063865340909091	0.776861931818182	0.020083522727273	0.058603409090909		1
000038:	0.263566477272727	0.189048863636364	0.156481250000000	0.329689204545455	0.061214204545455		1
000039:	0.126736363636364	0.147922727272727	0.635245454545455	0.034227840909091	0.055867613636364		1
000040:	0.845240909090909	0.050219318181818	0.049142613636364	0.028250000000000	0.027147159090909		1
000041:	0.161223863636364	0.070804545454545	0.656217045454545	0.028921022727273	0.082833522727273		1
000042:	0.105792045454545	0.219485227272727	0.570092613636364	0.036268181818182	0.068361931818182		1
000043:	0.173629545454545	0.056271022727273	0.455864204545455	0.045725568181818	0.268509659090909		1
000044:	0.117623863636364	0.056063636363636	0.655117045454545	0.033778977272727	0.137416477272727		1
000045:	0.037682386363636	0.077253977272727	0.828407386363636	0.015589772727273	0.041066477272727		1
000046:	0.078706818181818	0.150545454545455	0.470785227272727	0.168499431818182	0.131463068181818		1
000047:	0.162865909090909	0.066055113636364	0.478055681818182	0.086097727272727	0.206925568181818		1
000048:	0.050871590909091	0.026893750000000	0.220356818181818	0.031999431818182	0.669878409090909		1
000049:	0.085849431818182	0.059088636363636	0.391630681818182	0.050105113636364	0.413326136363636		1
000050:	0.297356818181818	0.069768181818182	0.396172159090909	0.034267613636364	0.202435227272727		1
000051:	0.711947159090909	0.011701704545455	0.046930113636364	0.021528409090909	0.207892613636364		1
000052:	0.812700000000000	0.008882954545455	0.048860227272727	0.027170454545455	0.102386363636364		1
000053:	0.179669886363636	0.095185795454545	0.428313636363636	0.027060795454545	0.269769886363636		1
000054:	0.121649431818182	0.279733522727273	0.380601136363636	0.056679545454545	0.161336363636364		1
000055:	0.270261363636364	0.028181818181818	0.189714772727273	0.035411363636364	0.476430681818182		1
000056:	0.079178977272727	0.071392045454545	0.435563068181818	0.042272159090909	0.371593750000000		1
000057:	0.140621022727273	0.042531250000000	0.532697727272727	0.050514772727273	0.233635227272727		1
000058:	0.033949431818182	0.133364204545455	0.489962500000000	0.046013636363636	0.296710227272727		1
000059:	0.024625000000000	0.057617045454545	0.780899431818182	0.035261363636364	0.101597159090909		1
000060:	0.107931818181818	0.029818181818182	0.554977840909091	0.045339772727273	0.261932386363636		1
000061:	0.080939204545455	0.041357954545455	0.594050000000000	0.035871022727273	0.247781818181818		1
000062:	0.901881250000000	0.009272727272727	0.031272727272727	0.012932954545455	0.044640340909091		1
000063:	0.807736931818182	0.011205113636364	0.042980113636364	0.017365909090909	0.120711931818182		1
000064:	0.722486931818182	0.014007386363636	0.025414204545455	0.072422727272727	0.165668750000000		1
000065:	0.082217613636364	0.029639772727273	0.172002272727273	0.048346590909091	0.667793750000000		1
000066:	0.063138636363636	0.029301704545455	0.657663068181818	0.023278409090909	0.226618181818182		1
000067:	0.745510795454545	0.010672159090909	0.029288068181818	0.022167613636364	0.192361363636364		1
000068:	0.033233522727273	0.050706250000000	0.767515340909091	0.028164204545455	0.120380681818182		1
000069:	0.056655113636364	0.037317613636364	0.748292045454545	0.029310795454545	0.128424431818182		1
000070:	0.397030681818182	0.062975000000000	0.301289204545455	0.074510227272727	0.164194886363636		1
000071:	0.043046022727273	0.054790909090909	0.773714772727273	0.042102272727273	0.086346022727273		1
000072:	0.153131818181818	0.029211363636364	0.278372727272727	0.063119318181818	0.476164772727273		1
000073:	0.081685795454545	0.037374431818182	0.277369318181818	0.047500000000000	0.556070454545455		1
000074:	0.177823295454545	0.320635227272727	0.386293181818182	0.035612500000000	0.079635795454545		1
000075:	0.061777840909091	0.131064204545455	0.492958522727273	0.039865909090909	0.274333522727273		1
