Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	
000001:	0.075181818181818	0.097515340909091	0.297865909090909	0.414894886363636	0.089911363636364	0.024630681818182		1
000002:	0.003231250000000	0.016659659090909	0.694721022727273	0.197314204545455	0.085687500000000	0.002386363636364		1
000003:	0.022297727272727	0.058360227272727	0.390068181818182	0.421873863636364	0.048838636363636	0.058561363636364		1
000004:	0.022060795454545	0.168012500000000	0.087885227272727	0.683413636363636	0.023910227272727	0.014717613636364		1
000005:	0.029844886363636	0.034091477272727	0.442768750000000	0.461910227272727	0.023040909090909	0.008343750000000		1
000006:	0.012867613636364	0.219067613636364	0.115753409090909	0.624236931818182	0.012561363636364	0.015513068181818		1
000007:	0.011857386363636	0.030298295454545	0.178333522727273	0.624446590909091	0.102083522727273	0.052980681818182		1
000008:	0.013214204545455	0.044193750000000	0.061944318181818	0.848617613636364	0.020276704545455	0.011753409090909		1
000009:	0.018633522727273	0.066635227272727	0.124766477272727	0.769276704545454	0.015147727272727	0.005540340909091		1
000010:	0.039382386363636	0.096215340909091	0.195522159090909	0.620984659090909	0.037655681818182	0.010239772727273		1
000011:	0.102598295454545	0.246093750000000	0.283115909090909	0.128392045454545	0.118169318181818	0.121630681818182		1
000012:	0.316604545454545	0.149567613636364	0.365175568181818	0.041374431818182	0.028162500000000	0.099115340909091		1
000013:	0.301688068181818	0.293059090909091	0.105725000000000	0.052617045454545	0.031219886363636	0.215690909090909		1
000014:	0.038147727272727	0.810668750000000	0.040264772727273	0.067422727272727	0.011346022727273	0.032150000000000		1
000015:	0.087475568181818	0.104888636363636	0.634808522727273	0.107717045454545	0.020905681818182	0.044204545454545		1
000016:	0.031285795454545	0.823982386363636	0.072799431818182	0.033495454545455	0.017375000000000	0.021061931818182		1
000017:	0.102205113636364	0.105669318181818	0.683696022727273	0.053203409090909	0.026944886363636	0.028281250000000		1
000018:	0.581226136363636	0.098411931818182	0.098061363636364	0.026674431818182	0.021404545454545	0.174221590909091		1
000019:	0.086196590909091	0.039597159090909	0.710975568181818	0.059530113636364	0.025360227272727	0.078340340909091		1
000020:	0.123450000000000	0.430775568181818	0.276565340909091	0.078829545454545	0.054053977272727	0.036325568181818		1
