Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	
000001:	0.373555681818182	0.262249431818182	0.123893750000000	0.134138636363636	0.015618181818182	0.075809090909091	0.014735227272727		1
000002:	0.831173863636364	0.057023295454545	0.039734659090909	0.026884659090909	0.010831250000000	0.027022159090909	0.007330113636364		1
000003:	0.586978977272727	0.089075000000000	0.033113636363636	0.168942613636364	0.008964204545455	0.083964772727273	0.028960795454545		1
000004:	0.818430113636364	0.044903977272727	0.024978977272727	0.075636931818182	0.009293181818182	0.021044318181818	0.005712500000000		1
000005:	0.627088636363636	0.140586363636364	0.038784090909091	0.031710795454545	0.005430113636364	0.150273295454545	0.006126704545455		1
000006:	0.655569886363636	0.063364204545455	0.052821022727273	0.138451136363636	0.019309659090909	0.026662500000000	0.043821590909091		1
000007:	0.832448295454545	0.075896022727273	0.021321590909091	0.022996590909091	0.006668750000000	0.034966477272727	0.005702272727273		1
000008:	0.870659659090909	0.057795454545455	0.008614772727273	0.016714772727273	0.004134659090909	0.039477272727273	0.002603409090909		1
000009:	0.874969886363636	0.023272727272727	0.029988636363636	0.037548295454545	0.013871022727273	0.016080681818182	0.004268750000000		1
000010:	0.789782386363636	0.027722727272727	0.053131250000000	0.053312500000000	0.038711931818182	0.032434659090909	0.004904545454545		1
000011:	0.123757386363636	0.071808522727273	0.205421022727273	0.231041477272727	0.041152840909091	0.135795454545455	0.191023295454545		1
000012:	0.079007954545455	0.019163636363636	0.178919318181818	0.144214772727273	0.166197159090909	0.369137500000000	0.043359659090909		1
000013:	0.043887500000000	0.024524431818182	0.087032954545455	0.502614204545455	0.150175568181818	0.126913068181818	0.064852272727273		1
000014:	0.026094318181818	0.011635795454545	0.022680681818182	0.873207386363636	0.023401704545455	0.019514204545455	0.023465909090909		1
000015:	0.230743750000000	0.023180681818182	0.093378977272727	0.223388636363636	0.055698863636364	0.327259659090909	0.046349431818182		1
000016:	0.098848295454545	0.013862500000000	0.026001136363636	0.743366477272727	0.025864204545455	0.053042045454545	0.039015340909091		1
000017:	0.054022727272727	0.011578977272727	0.180138068181818	0.158482386363636	0.028813068181818	0.555669886363636	0.011294886363636		1
000018:	0.039860795454545	0.018485227272727	0.041188636363636	0.058023295454545	0.648863636363636	0.159542613636364	0.034035795454545		1
