Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	***Cluster  08***	
000001:	0.080015340909091	0.022198295454545	0.138942613636364	0.124774431818182	0.067497159090909	0.058806250000000	0.053316477272727	0.454449431818182		1
000002:	0.019253977272727	0.003302272727273	0.040811931818182	0.087889772727273	0.011773295454545	0.024931250000000	0.015869886363636	0.796167613636364		1
000003:	0.214938068181818	0.010599431818182	0.025992045454545	0.025779545454545	0.016776704545455	0.488612500000000	0.038143181818182	0.179158522727273		1
000004:	0.106882386363636	0.006859659090909	0.033259659090909	0.380271022727273	0.012426136363636	0.022485795454545	0.019955681818182	0.417859659090909		1
000005:	0.040441477272727	0.006980113636364	0.078877272727273	0.098173863636364	0.028928409090909	0.049330113636364	0.068674431818182	0.628594318181818		1
000006:	0.204089204545455	0.002717045454545	0.064307954545455	0.064407386363636	0.122590340909091	0.038725568181818	0.011044886363636	0.492117613636364		1
000007:	0.021966477272727	0.009530113636364	0.022101136363636	0.097903977272727	0.032793750000000	0.116064204545455	0.104850568181818	0.594789772727273		1
000008:	0.018713636363636	0.769835227272727	0.001763636363636	0.059001136363636	0.002729545454545	0.002310227272727	0.000752840909091	0.144893750000000		1
000009:	0.039182386363636	0.006846590909091	0.042052840909091	0.160777840909091	0.012890909090909	0.019535227272727	0.046562500000000	0.672151704545455		1
000010:	0.069919886363636	0.013021022727273	0.077415909090909	0.209530113636364	0.030793181818182	0.046197159090909	0.057742613636364	0.495380113636364		1
000011:	0.101071590909091	0.035114772727273	0.172987500000000	0.037716477272727	0.093942045454545	0.454000000000000	0.048260227272727	0.056907386363636		1
000012:	0.072145454545455	0.084676704545455	0.218209090909091	0.154294318181818	0.026417613636364	0.068718181818182	0.312061363636364	0.063477272727273		1
000013:	0.210940909090909	0.346575000000000	0.134219318181818	0.108038636363636	0.026638068181818	0.042848863636364	0.091682386363636	0.039056818181818		1
000014:	0.436746022727273	0.046767613636364	0.029884090909091	0.410626704545455	0.017380681818182	0.014982386363636	0.022228409090909	0.021384090909091		1
000015:	0.125302272727273	0.845838068181818	0.015428977272727	0.002036363636364	0.001881250000000	0.003559659090909	0.003875000000000	0.002078409090909		1
000016:	0.512626704545455	0.036535795454545	0.039253977272727	0.177781818181818	0.018513636363636	0.027831818181818	0.134680681818182	0.052775568181818		1
000017:	0.070890340909091	0.037600000000000	0.491232954545455	0.090980113636364	0.057403977272727	0.064006818181818	0.061364772727273	0.126521022727273		1
000018:	0.064261931818182	0.563978409090909	0.157073295454545	0.069071590909091	0.016780113636364	0.018182954545455	0.077456250000000	0.033195454545455		1
000019:	0.025644886363636	0.078273863636364	0.226025000000000	0.033523863636364	0.013135795454545	0.224439772727273	0.361236363636364	0.037720454545455		1
000020:	0.324256818181818	0.046461931818182	0.138850568181818	0.231460795454545	0.025939772727273	0.088275000000000	0.030353409090909	0.114401704545455		1
000021:	0.030569886363636	0.065436931818182	0.530902272727273	0.032398295454545	0.105753977272727	0.116552840909091	0.093330113636364	0.025055681818182		1
000022:	0.065359659090909	0.045845454545455	0.113359090909091	0.075670454545455	0.028519318181818	0.034296022727273	0.608067613636364	0.028882386363636		1
000023:	0.091298863636364	0.096976136363636	0.119359090909091	0.133356818181818	0.052669886363636	0.131179545454545	0.343030681818182	0.032128977272727		1
000024:	0.829510795454545	0.036347159090909	0.021265909090909	0.073256818181818	0.005706250000000	0.010624431818182	0.005230113636364	0.018058522727273		1
000025:	0.005658522727273	0.000838636363636	0.002198863636364	0.001413068181818	0.000392045454545	0.000141477272727	0.988528977272727	0.000828409090909		1
000026:	0.019880681818182	0.082130113636364	0.150639204545455	0.024074431818182	0.017715909090909	0.024140909090909	0.661671022727273	0.019747727272727		1
000027:	0.042934090909091	0.152901704545455	0.583653409090909	0.060067045454545	0.018397159090909	0.035437500000000	0.072544886363636	0.034064204545455		1
000028:	0.021551136363636	0.025450000000000	0.198810795454545	0.447174431818182	0.198321022727273	0.035013636363636	0.038698863636364	0.034980113636364		1
000029:	0.141523863636364	0.116046590909091	0.390119318181818	0.064953977272727	0.037784090909091	0.098507954545455	0.091731818181818	0.059332386363636		1
000030:	0.039303409090909	0.040625568181818	0.046350000000000	0.050693750000000	0.019253977272727	0.035669318181818	0.744362500000000	0.023741477272727		1
000031:	0.014752272727273	0.231407954545455	0.087515340909091	0.004616477272727	0.012600000000000	0.630525568181818	0.010860795454545	0.007721590909091		1
000032:	0.054259090909091	0.102769886363636	0.602967613636364	0.025623863636364	0.032499431818182	0.101980113636364	0.048087500000000	0.031812500000000		1
000033:	0.118067045454545	0.073831250000000	0.132600000000000	0.034286931818182	0.046951136363636	0.139885795454545	0.387996022727273	0.066381818181818		1
000034:	0.510727272727273	0.085148863636364	0.038503977272727	0.300581818181818	0.008352272727273	0.010918181818182	0.016515340909091	0.029252272727273		1
000035:	0.041271022727273	0.184890909090909	0.335662500000000	0.025598863636364	0.038370454545455	0.274681818181818	0.069730681818182	0.029793750000000		1
000036:	0.078240909090909	0.058760795454545	0.306916477272727	0.289211931818182	0.064350568181818	0.053761931818182	0.093594886363636	0.055162500000000		1
000037:	0.079662500000000	0.260628977272727	0.399647159090909	0.056111931818182	0.021011363636364	0.066220454545455	0.095203977272727	0.021513636363636		1
000038:	0.041784659090909	0.161031250000000	0.007390340909091	0.016228977272727	0.002680681818182	0.003423295454545	0.765216477272727	0.002244318181818		1
000039:	0.071888636363636	0.274946022727273	0.236268181818182	0.112065909090909	0.023189204545455	0.052649431818182	0.140281818181818	0.088710795454545		1
000040:	0.550986931818182	0.089340340909091	0.044930681818182	0.190144886363636	0.019123295454545	0.015100000000000	0.022551136363636	0.067822727272727		1
000041:	0.149589772727273	0.116222159090909	0.396713636363636	0.111620454545455	0.028920454545455	0.051490909090909	0.088386363636364	0.057056250000000		1
000042:	0.090476136363636	0.126971590909091	0.230597727272727	0.044765909090909	0.020646022727273	0.046215909090909	0.386868181818182	0.053458522727273		1
000043:	0.078496590909091	0.058702272727273	0.297584659090909	0.130625568181818	0.032255681818182	0.263013636363636	0.053181818181818	0.086139772727273		1
000044:	0.034175000000000	0.056487500000000	0.102863068181818	0.053064204545455	0.020421590909091	0.086102840909091	0.594793750000000	0.052092045454545		1
000045:	0.046493750000000	0.115410227272727	0.646452272727273	0.036352840909091	0.026557954545455	0.054602272727273	0.035910227272727	0.038220454545455		1
000046:	0.084103409090909	0.124919318181818	0.121750000000000	0.058892613636364	0.168581818181818	0.051455681818182	0.323244318181818	0.067052840909091		1
000047:	0.263150000000000	0.081193181818182	0.133985227272727	0.151061931818182	0.035067613636364	0.042221590909091	0.108869886363636	0.184450568181818		1
000048:	0.055597159090909	0.044573863636364	0.074140340909091	0.132227272727273	0.027389204545455	0.376904545454545	0.108293750000000	0.180873863636364		1
000049:	0.012634659090909	0.014099431818182	0.013696590909091	0.011710227272727	0.007867045454545	0.762699431818182	0.022945454545455	0.154347159090909		1
000050:	0.010371022727273	0.004623295454545	0.079408522727273	0.025542045454545	0.652205681818182	0.004942045454545	0.203409659090909	0.019497727272727		1
000051:	0.291139204545455	0.010764204545455	0.024752840909091	0.567208522727273	0.009437500000000	0.016553977272727	0.036261363636364	0.043882386363636		1
000052:	0.702206818181818	0.022234090909091	0.038387500000000	0.121934659090909	0.005947159090909	0.008630681818182	0.027689204545455	0.072969886363636		1
