Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	
000001:	0.905984659090909	0.094015340909091		1
000002:	0.982745454545455	0.017254545454545		1
000003:	0.967177840909091	0.032822159090909		1
000004:	0.979506818181818	0.020493181818182		1
000005:	0.964925000000000	0.035075000000000		1
000006:	0.955335227272727	0.044664772727273		1
000007:	0.985635227272727	0.014364772727273		1
000008:	0.980617045454545	0.019382954545455		1
000009:	0.976614204545455	0.023385795454545		1
000010:	0.922657954545455	0.077342045454545		1
000011:	0.408699431818182	0.591300568181818		1
000012:	0.103728977272727	0.896271022727273		1
000013:	0.085726136363636	0.914273863636364		1
000014:	0.378803977272727	0.621196022727273		1
000015:	0.417881250000000	0.582118750000000		1
000016:	0.634808522727273	0.365191477272727		1
000017:	0.222148295454545	0.777851704545454		1
000018:	0.051889204545455	0.948110795454545		1
000019:	0.149354545454545	0.850645454545455		1
000020:	0.283914204545455	0.716085795454545		1
000021:	0.092344886363636	0.907655113636364		1
000022:	0.082766477272727	0.917233522727273		1
000023:	0.146261931818182	0.853738068181818		1
000024:	0.114705681818182	0.885294318181818		1
000025:	0.067160227272727	0.932839772727273		1
000026:	0.051522159090909	0.948477840909091		1
000027:	0.039291477272727	0.960708522727273		1
000028:	0.397893750000000	0.602106250000000		1
000029:	0.133625568181818	0.866374431818182		1
000030:	0.207335227272727	0.792664772727273		1
000031:	0.036456250000000	0.963543750000000		1
000032:	0.076175000000000	0.923825000000000		1
000033:	0.211728977272727	0.788271022727273		1
000034:	0.186459659090909	0.813540340909091		1
000035:	0.105255113636364	0.894744886363636		1
000036:	0.207175000000000	0.792825000000000		1
000037:	0.048628977272727	0.951371022727273		1
000038:	0.241717045454545	0.758282954545455		1
000039:	0.055469318181818	0.944530681818182		1
000040:	0.209167045454545	0.790832954545455		1
000041:	0.090048863636364	0.909951136363636		1
000042:	0.059243181818182	0.940756818181818		1
000043:	0.282600000000000	0.717400000000000		1
000044:	0.126235227272727	0.873764772727273		1
000045:	0.040210227272727	0.959789772727273		1
000046:	0.191859659090909	0.808140340909091		1
000047:	0.347798863636364	0.652201136363636		1
000048:	0.822722159090909	0.177277840909091		1
000049:	0.362413068181818	0.637586931818182		1
000050:	0.223784090909091	0.776215909090909		1
000051:	0.918393750000000	0.081606250000000		1
000052:	0.860307954545455	0.139692045454545		1
000053:	0.241494886363636	0.758505113636364		1
000054:	0.176385227272727	0.823614772727273		1
000055:	0.781142613636364	0.218857386363636		1
000056:	0.475128977272727	0.524871022727273		1
000057:	0.351994886363636	0.648005113636364		1
000058:	0.506839772727273	0.493160227272727		1
000059:	0.097956250000000	0.902043750000000		1
000060:	0.530777272727273	0.469222727272727		1
000061:	0.312490340909091	0.687509659090909		1
000062:	0.797461931818182	0.202538068181818		1
000063:	0.869722159090909	0.130277840909091		1
000064:	0.942714204545455	0.057285795454545		1
000065:	0.862119318181818	0.137880681818182		1
000066:	0.255908522727273	0.744091477272727		1
000067:	0.923813068181818	0.076186931818182		1
000068:	0.156499431818182	0.843500568181818		1
000069:	0.148141477272727	0.851858522727273		1
000070:	0.347605681818182	0.652394318181818		1
000071:	0.126294318181818	0.873705681818182		1
000072:	0.674016477272727	0.325983522727273		1
000073:	0.715762500000000	0.284237500000000		1
000074:	0.093172727272727	0.906827272727273		1
000075:	0.262868750000000	0.737131250000000		1
000076:	0.467385227272727	0.532614772727273		1
000077:	0.545992045454545	0.454007954545455		1
000078:	0.681457386363636	0.318542613636364		1
000079:	0.148530113636364	0.851469886363636		1
000080:	0.128987500000000	0.871012500000000		1
000081:	0.658142613636364	0.341857386363636		1
000082:	0.605198295454546	0.394801704545455		1
000083:	0.470588636363636	0.529411363636364		1
000084:	0.553002840909091	0.446997159090909		1
000085:	0.276634090909091	0.723365909090909		1
000086:	0.353335795454545	0.646664204545455		1
000087:	0.120666477272727	0.879333522727273		1
000088:	0.082683522727273	0.917316477272727		1
000089:	0.141093750000000	0.858906250000000		1
000090:	0.087340340909091	0.912659659090909		1
000091:	0.186143181818182	0.813856818181818		1
000092:	0.252859659090909	0.747140340909091		1
