Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	
000001:	0.078686363636364	0.887613636363636	0.033700000000000		1
000002:	0.048654545454545	0.944349431818182	0.006996022727273		1
000003:	0.057110227272727	0.916153977272727	0.026735795454545		1
000004:	0.027071590909091	0.959477272727273	0.013451136363636		1
000005:	0.014772159090909	0.970285795454545	0.014942045454545		1
000006:	0.050465340909091	0.910785795454545	0.038748863636364		1
000007:	0.130883522727273	0.855732954545455	0.013383522727273		1
000008:	0.052736931818182	0.934908522727273	0.012354545454545		1
000009:	0.020840909090909	0.966678977272727	0.012480113636364		1
000010:	0.020672727272727	0.960543750000000	0.018783522727273		1
000011:	0.225271590909091	0.499059659090909	0.275668750000000		1
000012:	0.040296022727273	0.437397159090909	0.522306818181818		1
000013:	0.028959090909091	0.126028409090909	0.845012500000000		1
000014:	0.061818181818182	0.756471022727273	0.181710795454545		1
000015:	0.024538636363636	0.865719886363636	0.109741477272727		1
000016:	0.062931818181818	0.834628977272727	0.102439204545455		1
000017:	0.042188068181818	0.799275000000000	0.158536931818182		1
000018:	0.030879545454545	0.121590340909091	0.847530113636364		1
000019:	0.038536931818182	0.561344886363636	0.400118181818182		1
000020:	0.035176704545455	0.739503977272727	0.225319318181818		1
000021:	0.135678977272727	0.106688636363636	0.757632386363636		1
000022:	0.020022159090909	0.519960795454545	0.460017045454545		1
000023:	0.084455113636364	0.324371022727273	0.591173863636364		1
000024:	0.040972727272727	0.466631250000000	0.492396022727273		1
000025:	0.043488636363636	0.196713636363636	0.759797727272727		1
000026:	0.036633522727273	0.213557386363636	0.749809090909091		1
000027:	0.019897159090909	0.094061931818182	0.886040909090909		1
000028:	0.202856818181818	0.549331818181818	0.247811363636364		1
000029:	0.054604545454545	0.377125000000000	0.568270454545455		1
000030:	0.060120454545455	0.534274431818182	0.405605113636364		1
000031:	0.000428409090909	0.844590340909091	0.154981250000000		1
000032:	0.048132386363636	0.153948863636364	0.797918750000000		1
000033:	0.076654545454545	0.367071590909091	0.556273863636364		1
000034:	0.050133522727273	0.627157386363636	0.322709090909091		1
000035:	0.112688068181818	0.103902272727273	0.783409659090909		1
000036:	0.065928977272727	0.649096022727273	0.284975000000000		1
000037:	0.030701704545455	0.209940340909091	0.759357954545455		1
000038:	0.337060795454545	0.281939204545455	0.381000000000000		1
000039:	0.030348863636364	0.191549431818182	0.778101704545455		1
000040:	0.487984659090909	0.497443181818182	0.014572159090909		1
000041:	0.046264772727273	0.340723295454545	0.613011931818182		1
000042:	0.029913636363636	0.122875000000000	0.847211363636364		1
000043:	0.043401704545455	0.787503409090909	0.169094886363636		1
000044:	0.057432386363636	0.460147727272727	0.482419886363636		1
000045:	0.016840340909091	0.112594886363636	0.870564772727273		1
000046:	0.154063636363636	0.184431250000000	0.661505113636364		1
000047:	0.106619318181818	0.531134090909091	0.362246590909091		1
000048:	0.040084659090909	0.902622159090909	0.057293181818182		1
000049:	0.020721022727273	0.867323295454545	0.111955681818182		1
000050:	0.029051704545455	0.671872727272727	0.299075568181818		1
000051:	0.090344318181818	0.860118750000000	0.049536931818182		1
000052:	0.056737500000000	0.897418750000000	0.045843750000000		1
000053:	0.042924431818182	0.624876136363636	0.332199431818182		1
000054:	0.079139204545455	0.135923863636364	0.784936931818182		1
000055:	0.024490340909091	0.925676136363636	0.049833522727273		1
000056:	0.043092613636364	0.795008522727273	0.161898863636364		1
000057:	0.051721590909091	0.607815340909091	0.340463068181818		1
000058:	0.036214772727273	0.518078977272727	0.445706250000000		1
000059:	0.029572727272727	0.216323295454545	0.754103977272727		1
000060:	0.026272159090909	0.896326136363636	0.077401704545455		1
000061:	0.022475568181818	0.806474431818182	0.171050000000000		1
000062:	0.057665909090909	0.878811363636364	0.063522727272727		1
000063:	0.091700000000000	0.852001704545455	0.056298295454545		1
000064:	0.270800000000000	0.690922727272727	0.038277272727273		1
000065:	0.044064204545455	0.893075000000000	0.062860795454545		1
000066:	0.019337500000000	0.742871022727273	0.237791477272727		1
000067:	0.071147159090909	0.892676704545455	0.036176136363636		1
000068:	0.029444318181818	0.438239204545455	0.532316477272727		1
000069:	0.028356250000000	0.611943181818182	0.359700568181818		1
000070:	0.087639772727273	0.546860795454545	0.365499431818182		1
