Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	
000001:	0.012509659090909	0.117465340909091	0.688338068181818	0.181686931818182		1
000002:	0.007321022727273	0.059243750000000	0.889000568181818	0.044434659090909		1
000003:	0.018101136363636	0.103344318181818	0.826803409090909	0.051751136363636		1
000004:	0.009230681818182	0.029900568181818	0.931803977272727	0.029064772727273		1
000005:	0.656474431818182	0.295396590909091	0.046586931818182	0.001542045454545		1
000006:	0.020498295454545	0.048362500000000	0.862330113636364	0.068809090909091		1
000007:	0.008725000000000	0.120870454545455	0.842300000000000	0.028104545454545		1
000008:	0.013691477272727	0.055321022727273	0.903147727272727	0.027839772727273		1
000009:	0.007536931818182	0.037913636363636	0.919180681818182	0.035368750000000		1
000010:	0.014707386363636	0.047030681818182	0.847225568181818	0.091036363636364		1
000011:	0.094206250000000	0.147906818181818	0.614862500000000	0.143024431818182		1
000012:	0.207108522727273	0.029489772727273	0.254156250000000	0.509245454545455		1
000013:	0.520905113636364	0.023753977272727	0.156136363636364	0.299204545454545		1
000014:	0.207916477272727	0.038110227272727	0.653004545454545	0.100968750000000		1
000015:	0.055982386363636	0.035643750000000	0.732044886363636	0.176328977272727		1
000016:	0.047566477272727	0.032650000000000	0.835267045454545	0.084516477272727		1
000017:	0.036797727272727	0.069955113636364	0.406801704545455	0.486445454545455		1
000018:	0.282076704545455	0.022548295454545	0.112530681818182	0.582844318181818		1
000019:	0.162877272727273	0.035738068181818	0.482597727272727	0.318786931818182		1
000020:	0.055959090909091	0.040561363636364	0.592413068181818	0.311066477272727		1
000021:	0.049273295454545	0.116752272727273	0.071799431818182	0.762175000000000		1
000022:	0.012230681818182	0.646420454545454	0.256501136363636	0.084847727272727		1
000023:	0.216393181818182	0.093178409090909	0.286475568181818	0.403952840909091		1
000024:	0.242246590909091	0.021391477272727	0.475576136363636	0.260785795454545		1
000025:	0.517901704545455	0.034329545454545	0.202652840909091	0.245115909090909		1
000026:	0.095255113636364	0.029678977272727	0.129310227272727	0.745755681818182		1
000027:	0.134846590909091	0.018009659090909	0.089374431818182	0.757769318181818		1
000028:	0.063292045454545	0.219840909090909	0.381284090909091	0.335582954545455		1
000029:	0.097892613636364	0.052506250000000	0.327005681818182	0.522595454545455		1
000030:	0.239788636363636	0.083775000000000	0.453546590909091	0.222889772727273		1
000031:	0.182802272727273	0.026893181818182	0.059046590909091	0.731257954545455		1
000032:	0.060036931818182	0.048281818181818	0.116476136363636	0.775205113636364		1
000033:	0.075227272727273	0.091001704545455	0.200510227272727	0.633260795454545		1
000034:	0.120201136363636	0.037467613636364	0.575458522727273	0.266872727272727		1
000035:	0.161212500000000	0.087959090909091	0.100097159090909	0.650731250000000		1
000036:	0.052851136363636	0.089137500000000	0.395525568181818	0.462485795454545		1
000037:	0.069364204545455	0.026518181818182	0.146043750000000	0.758073863636364		1
000038:	0.360890340909091	0.198403977272727	0.260643750000000	0.180061931818182		1
000039:	0.203976136363636	0.027296590909091	0.176051704545455	0.592675568181818		1
000040:	0.179323295454545	0.044305681818182	0.675991477272727	0.100379545454545		1
000041:	0.076490340909091	0.027225568181818	0.219603977272727	0.676680113636364		1
000042:	0.362088068181818	0.028837500000000	0.109802272727273	0.499272159090909		1
000043:	0.041961931818182	0.055656250000000	0.594147727272727	0.308234090909091		1
000044:	0.061063636363636	0.050430113636364	0.379351136363636	0.509155113636364		1
000045:	0.074113068181818	0.020041477272727	0.079120454545455	0.826725000000000		1
000046:	0.176310795454545	0.132866477272727	0.181339204545455	0.509483522727273		1
000047:	0.096043750000000	0.102604545454545	0.437636363636364	0.363715340909091		1
000048:	0.037973295454545	0.030719318181818	0.876489772727273	0.054817613636364		1
000049:	0.058777840909091	0.037160795454545	0.652125000000000	0.251936363636364		1
000050:	0.122250568181818	0.053367613636364	0.447755113636364	0.376626704545455		1
000051:	0.028824431818182	0.035047159090909	0.895231818181818	0.040896590909091		1
000052:	0.026978409090909	0.028800000000000	0.896272159090909	0.047949431818182		1
000053:	0.064713636363636	0.047450000000000	0.410585227272727	0.477251136363636		1
000054:	0.399769886363636	0.068566477272727	0.229839204545455	0.301824431818182		1
000055:	0.028869318181818	0.031554545454545	0.845859090909091	0.093717045454545		1
000056:	0.052174431818182	0.047398863636364	0.583492613636364	0.316934090909091		1
000057:	0.037603409090909	0.040626136363636	0.458106818181818	0.463663636363636		1
000058:	0.167828409090909	0.049677272727273	0.430051704545455	0.352442613636364		1
000059:	0.062792613636364	0.040886363636364	0.162696022727273	0.733625000000000		1
000060:	0.033198295454545	0.034072159090909	0.722854545454545	0.209875000000000		1
000061:	0.033979545454545	0.030480113636364	0.634205113636364	0.301335227272727		1
000062:	0.043772727272727	0.041601136363636	0.858838068181818	0.055788068181818		1
000063:	0.057019318181818	0.049464772727273	0.845123295454545	0.048392613636364		1
000064:	0.024590909090909	0.090525568181818	0.848547727272727	0.036335795454545		1
000065:	0.029599431818182	0.057450000000000	0.806906818181818	0.106043750000000		1
000066:	0.031028977272727	0.031565909090909	0.387914772727273	0.549490340909091		1
000067:	0.025419318181818	0.043007386363636	0.892652840909091	0.038920454545455		1
000068:	0.057910227272727	0.032983522727273	0.242888636363636	0.666217613636364		1
000069:	0.028285795454545	0.035960795454545	0.316878409090909	0.618875000000000		1
000070:	0.156186363636364	0.109419886363636	0.535451136363636	0.198942613636364		1
000071:	0.075146590909091	0.043831250000000	0.147845454545455	0.733176704545455		1
000072:	0.034068750000000	0.043568750000000	0.768539204545455	0.153823295454545		1
000073:	0.046669318181818	0.041382386363636	0.762627272727273	0.149321022727273		1
000074:	0.231180681818182	0.037744886363636	0.182897159090909	0.548177272727273		1
000075:	0.151093181818182	0.049233522727273	0.523246590909091	0.276426704545455		1
000076:	0.135374431818182	0.457476704545455	0.160500000000000	0.246648863636364		1
000077:	0.143210227272727	0.283970454545455	0.330859659090909	0.241959659090909		1
000078:	0.023350568181818	0.072688636363636	0.729633522727273	0.174327272727273		1
000079:	0.133080113636364	0.083039772727273	0.244289772727273	0.539590340909091		1
000080:	0.302864772727273	0.086115909090909	0.168946022727273	0.442073295454545		1
000081:	0.016140909090909	0.040248863636364	0.710818750000000	0.232791477272727		1
000082:	0.027099431818182	0.067734659090909	0.685018181818182	0.220147727272727		1
000083:	0.050786363636364	0.074536931818182	0.416932954545455	0.457743750000000		1
000084:	0.431976136363636	0.078688068181818	0.422069318181818	0.067266477272727		1
000085:	0.060346022727273	0.084671590909091	0.332648863636364	0.522333522727273		1
000086:	0.119710227272727	0.062620454545455	0.600120454545455	0.217548863636364		1
000087:	0.025725000000000	0.029052272727273	0.289289772727273	0.655932954545455		1
000088:	0.047627272727273	0.029498863636364	0.153864772727273	0.769009090909091		1
000089:	0.035156250000000	0.065585795454545	0.134631818181818	0.764626136363636		1
000090:	0.212042613636364	0.038719318181818	0.202353409090909	0.546884659090909		1
000091:	0.310556818181818	0.233134090909091	0.115805681818182	0.340503409090909		1
000092:	0.303193181818182	0.028666477272727	0.202889772727273	0.465250568181818		1
000093:	0.133907386363636	0.080650000000000	0.367610795454545	0.417831818181818		1
000094:	0.120080113636364	0.079254545454545	0.281560795454545	0.519104545454545		1
000095:	0.030039204545455	0.041153977272727	0.824332386363636	0.104474431818182		1
000096:	0.038237500000000	0.030306818181818	0.855788636363636	0.075667045454545		1
000097:	0.033729545454545	0.025625000000000	0.147284659090909	0.793360795454545		1
000098:	0.031580113636364	0.032107954545455	0.268680113636364	0.667631818181818		1
000099:	0.076341477272727	0.049282386363636	0.520064204545455	0.354311931818182		1
000100:	0.043697159090909	0.024298863636364	0.847609090909091	0.084394886363636		1
000101:	0.019278977272727	0.024847159090909	0.191114204545455	0.764759659090909		1
000102:	0.073254545454545	0.043227272727273	0.428388068181818	0.455130113636364		1
000103:	0.295513068181818	0.071369886363636	0.419003409090909	0.214113636363636		1
000104:	0.029675568181818	0.024933522727273	0.862135795454545	0.083255113636364		1
000105:	0.052978977272727	0.023335795454545	0.182672159090909	0.741013068181818		1
000106:	0.059152272727273	0.039485227272727	0.202157386363636	0.699205113636364		1
000107:	0.045649431818182	0.028890340909091	0.654090340909091	0.271369886363636		1
000108:	0.122020454545455	0.030602840909091	0.678569886363636	0.168806818181818		1
000109:	0.111000568181818	0.068860227272727	0.273915909090909	0.546223295454546		1
000110:	0.734994318181818	0.074289772727273	0.107264772727273	0.083451136363636		1
000111:	0.039985227272727	0.121014772727273	0.649289204545455	0.189710795454545		1
000112:	0.094988636363636	0.043259659090909	0.175111363636364	0.686640340909091		1
000113:	0.030718750000000	0.051059659090909	0.673327272727273	0.244894318181818		1
000114:	0.110453977272727	0.222412500000000	0.220994886363636	0.446138636363636		1
000115:	0.105342045454545	0.047888068181818	0.467384659090909	0.379385227272727		1
000116:	0.070106818181818	0.035023863636364	0.781775000000000	0.113094318181818		1
000117:	0.029402840909091	0.069532954545455	0.283243181818182	0.617821022727273		1
000118:	0.031422727272727	0.055763068181818	0.830050000000000	0.082764204545455		1
000119:	0.058679545454545	0.028680113636364	0.257656818181818	0.654983522727273		1
000120:	0.037081250000000	0.036179545454545	0.822589204545455	0.104150000000000		1
000121:	0.267089772727273	0.086888636363636	0.322479545454545	0.323542045454545		1
000122:	0.031765909090909	0.017783522727273	0.254040340909091	0.696410227272727		1
000123:	0.136491477272727	0.069292045454545	0.640252272727273	0.153964204545455		1
000124:	0.095860795454545	0.184321022727273	0.200103409090909	0.519714772727273		1
000125:	0.061890909090909	0.228985795454545	0.628000000000000	0.081123295454545		1
000126:	0.036897727272727	0.777923863636364	0.126579545454545	0.058598863636364		1
000127:	0.272073863636364	0.000329545454545	0.001838068181818	0.725758522727273		1
000128:	0.030828409090909	0.035226136363636	0.810231250000000	0.123714204545455		1
000129:	0.076015909090909	0.035144886363636	0.100875568181818	0.787963636363636		1
000130:	0.087736931818182	0.057616477272727	0.775461931818182	0.079184659090909		1
000131:	0.051124431818182	0.045659090909091	0.354471022727273	0.548745454545455		1
000132:	0.038831250000000	0.029870454545455	0.798523295454545	0.132775000000000		1
000133:	0.199440340909091	0.249569886363636	0.287507954545455	0.263481818181818		1
000134:	0.224528409090909	0.061398863636364	0.438146590909091	0.275926136363636		1
000135:	0.112907954545455	0.036238068181818	0.114810795454545	0.736043181818182		1
000136:	0.067669318181818	0.064120454545455	0.663095454545455	0.205114772727273		1
000137:	0.288222159090909	0.039294886363636	0.166464204545455	0.506018750000000		1
000138:	0.100884090909091	0.124328409090909	0.507903977272727	0.266883522727273		1
000139:	0.087463068181818	0.071268181818182	0.492552272727273	0.348716477272727		1
000140:	0.652311363636364	0.022038068181818	0.109462500000000	0.216188068181818		1
000141:	0.059616477272727	0.101357386363636	0.750644318181818	0.088381818181818		1
000142:	0.058386931818182	0.026236931818182	0.223398863636364	0.691977272727273		1
000143:	0.039720454545455	0.035528409090909	0.576493181818182	0.348257954545455		1
000144:	0.027948863636364	0.032523863636364	0.596514772727273	0.343012500000000		1
000145:	0.095888068181818	0.056413636363636	0.759942613636364	0.087755681818182		1
000146:	0.103584659090909	0.044549431818182	0.436935795454545	0.414930113636364		1
000147:	0.028652272727273	0.028636363636364	0.756467613636364	0.186243750000000		1
000148:	0.054197727272727	0.048352272727273	0.771233522727273	0.126216477272727		1
000149:	0.064694318181818	0.047272727272727	0.437694318181818	0.450338636363636		1
000150:	0.151443181818182	0.032910227272727	0.148681250000000	0.666965340909091		1
000151:	0.057140340909091	0.096371022727273	0.664580681818182	0.181907954545455		1
000152:	0.171334090909091	0.066881250000000	0.588480681818182	0.173303977272727		1
000153:	0.049569886363636	0.031222159090909	0.257622727272727	0.661585227272727		1
000154:	0.024648295454545	0.022575000000000	0.895748863636364	0.057027840909091		1
000155:	0.145083522727273	0.026638636363636	0.585490909090909	0.242786931818182		1
000156:	0.037410227272727	0.040302840909091	0.430743750000000	0.491543181818182		1
000157:	0.026264772727273	0.065040909090909	0.857932386363636	0.050761931818182		1
000158:	0.036393181818182	0.418097727272727	0.420101136363636	0.125407954545455		1
000159:	0.229522727272727	0.281064772727273	0.284654545454545	0.204757954545455		1
