Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	
000001:	0.553597727272727	0.183010795454545	0.073719886363636	0.013478977272727	0.176192613636364		1
000002:	0.854976136363636	0.045130681818182	0.057642045454545	0.006860227272727	0.035390909090909		1
000003:	0.824949431818182	0.069260227272727	0.046355113636364	0.009556250000000	0.049878977272727		1
000004:	0.687306818181818	0.067714204545455	0.204838068181818	0.008191477272727	0.031949431818182		1
000005:	0.889003409090909	0.018838636363636	0.033588636363636	0.005461363636364	0.053107954545455		1
000006:	0.456796022727273	0.048975568181818	0.402686931818182	0.020072727272727	0.071468750000000		1
000007:	0.870060795454545	0.061981818181818	0.027682386363636	0.010896590909091	0.029378409090909		1
000008:	0.874314204545454	0.045132386363636	0.043139772727273	0.008454545454545	0.028959090909091		1
000009:	0.847940340909091	0.027552840909091	0.062635795454545	0.012658522727273	0.049212500000000		1
000010:	0.808356818181818	0.036388636363636	0.064495454545455	0.011034659090909	0.079724431818182		1
000011:	0.374857954545455	0.135378409090909	0.233152272727273	0.096750000000000	0.159861363636364		1
000012:	0.109160227272727	0.035485795454545	0.148785795454545	0.138680681818182	0.567887500000000		1
000013:	0.075551704545455	0.031021590909091	0.199364772727273	0.373655681818182	0.320406250000000		1
000014:	0.040228409090909	0.016643181818182	0.875924431818182	0.029085795454545	0.038118181818182		1
000015:	0.612251704545455	0.026824431818182	0.165896022727273	0.049884090909091	0.145143750000000		1
000016:	0.062519886363636	0.016388636363636	0.862086363636364	0.021114204545455	0.037890909090909		1
000017:	0.197117613636364	0.067197159090909	0.125672727272727	0.033667045454545	0.576345454545454		1
000018:	0.074430113636364	0.017301136363636	0.087744886363636	0.202875568181818	0.617648295454545		1
000019:	0.451976704545455	0.039060795454545	0.077059090909091	0.168561363636364	0.263342045454545		1
000020:	0.084886363636364	0.020907386363636	0.473808522727273	0.021142613636364	0.399255113636364		1
000021:	0.046838636363636	0.097918181818182	0.032859090909091	0.047914204545455	0.774469886363636		1
000022:	0.389923863636364	0.009405113636364	0.269175568181818	0.043771022727273	0.287724431818182		1
000023:	0.161025568181818	0.115222159090909	0.073305113636364	0.289343181818182	0.361103977272727		1
000024:	0.033262500000000	0.013438068181818	0.842983522727273	0.043186363636364	0.067129545454545		1
000025:	0.116349431818182	0.027696022727273	0.184822159090909	0.429434659090909	0.241697727272727		1
000026:	0.146258522727273	0.033298863636364	0.053739204545455	0.108465340909091	0.658238068181818		1
000027:	0.087516477272727	0.021407386363636	0.034882386363636	0.181361931818182	0.674831818181818		1
000028:	0.279038068181818	0.183297159090909	0.091262500000000	0.044997727272727	0.401404545454545		1
000029:	0.111875568181818	0.039260227272727	0.205060795454545	0.057505681818182	0.586297727272727		1
000030:	0.268969318181818	0.059884090909091	0.162801704545455	0.355736363636364	0.152608522727273		1
000031:	0.039373863636364	0.022444318181818	0.056365909090909	0.254198295454545	0.627617613636364		1
