Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	
000001:	0.008151136363636	0.081971590909091	0.613681250000000	0.051906250000000	0.139861363636364	0.104428409090909		1
000002:	0.003436363636364	0.045857386363636	0.801244886363636	0.031640909090909	0.092835227272727	0.024985227272727		1
000003:	0.009288068181818	0.037722159090909	0.392465909090909	0.042805113636364	0.482123863636364	0.035594886363636		1
000004:	0.003589204545455	0.134040909090909	0.707293750000000	0.015053977272727	0.113008522727273	0.027013636363636		1
000005:	0.002835227272727	0.038096022727273	0.667653409090909	0.015855681818182	0.225371590909091	0.050188068181818		1
000006:	0.011459659090909	0.280669318181818	0.505598863636364	0.031636931818182	0.103001704545455	0.067633522727273		1
000007:	0.005103977272727	0.030699431818182	0.771265340909091	0.042022159090909	0.126334659090909	0.024574431818182		1
000008:	0.007023863636364	0.039574431818182	0.829700568181818	0.018717045454545	0.070707954545455	0.034276136363636		1
000009:	0.005884659090909	0.043156250000000	0.834993750000000	0.025207386363636	0.049244318181818	0.041513636363636		1
000010:	0.001471590909091	0.015852272727273	0.174757386363636	0.003972159090909	0.086778977272727	0.717167613636364		1
000011:	0.072285795454545	0.218275568181818	0.173601704545455	0.142499431818182	0.265320454545455	0.128017045454545		1
000012:	0.068057386363636	0.086395454545455	0.048210227272727	0.019226136363636	0.523863636363636	0.254247159090909		1
000013:	0.188231250000000	0.348793750000000	0.046268750000000	0.031386363636364	0.137247159090909	0.248072727272727		1
000014:	0.023590909090909	0.877175000000000	0.025319318181818	0.014664204545455	0.027807954545455	0.031442613636364		1
000015:	0.036889204545455	0.174313068181818	0.089761363636364	0.023258522727273	0.577330113636364	0.098447727272727		1
000016:	0.019787500000000	0.775422159090909	0.052057954545455	0.016883522727273	0.097294886363636	0.038553977272727		1
000017:	0.050170454545455	0.065112500000000	0.055071590909091	0.025725568181818	0.648584659090909	0.155335227272727		1
000018:	0.161246590909091	0.119385795454545	0.044895454545455	0.029227840909091	0.171332954545455	0.473911363636364		1
000019:	0.060643750000000	0.041429545454545	0.052809659090909	0.021435795454545	0.738218750000000	0.085462500000000		1
000020:	0.074092613636364	0.254480681818182	0.254769318181818	0.043108522727273	0.228880113636364	0.144668750000000		1
000021:	0.000390340909091	0.974754545454545	0.000214772727273	0.003040909090909	0.001835795454545	0.019763636363636		1
000022:	0.057057386363636	0.097917045454545	0.044408522727273	0.023497159090909	0.529557386363636	0.247562500000000		1
000023:	0.120725568181818	0.064589204545455	0.071893750000000	0.046521022727273	0.412351136363636	0.283919318181818		1
000024:	0.024093181818182	0.863102272727273	0.036266477272727	0.009155681818182	0.024128977272727	0.043253409090909		1
000025:	0.335990909090909	0.165514772727273	0.044700568181818	0.030897727272727	0.219505681818182	0.203390340909091		1
000026:	0.047527840909091	0.032939204545455	0.021731818181818	0.019923863636364	0.731719318181818	0.146157954545455		1
000027:	0.125578409090909	0.047365909090909	0.034715340909091	0.023539772727273	0.130796022727273	0.638004545454545		1
000028:	0.038086363636364	0.091131250000000	0.081695454545455	0.258404545454545	0.275818750000000	0.254863636363636		1
000029:	0.059521022727273	0.186014204545455	0.043618750000000	0.056626136363636	0.329702272727273	0.324517613636364		1
000030:	0.102826704545455	0.117668750000000	0.054968750000000	0.037684659090909	0.608507386363636	0.078343750000000		1
000031:	0.241358522727273	0.040717045454545	0.034610795454545	0.040442613636364	0.123176136363636	0.519694886363636		1
000032:	0.051109090909091	0.068928977272727	0.047218181818182	0.046752272727273	0.135147159090909	0.650844318181818		1
000033:	0.051728977272727	0.093682954545455	0.053756250000000	0.063790340909091	0.448889204545455	0.288152272727273		1
000034:	0.022302272727273	0.910352840909091	0.015242045454545	0.006677840909091	0.009981250000000	0.035443750000000		1
000035:	0.146523295454545	0.052188636363636	0.058936931818182	0.105041477272727	0.086448863636364	0.550860795454545		1
000036:	0.044216477272727	0.143167045454545	0.059616477272727	0.102748295454545	0.258582386363636	0.391669318181818		1
000037:	0.045286931818182	0.121794886363636	0.040528409090909	0.014661363636364	0.329298295454545	0.448430113636364		1
000038:	0.233949431818182	0.127621590909091	0.117335227272727	0.217427272727273	0.167781818181818	0.135884659090909		1
000039:	0.141389772727273	0.099519318181818	0.036837500000000	0.025547159090909	0.300411363636364	0.396294886363636		1
000040:	0.046098863636364	0.828486363636364	0.013416477272727	0.013006250000000	0.050625568181818	0.048366477272727		1
000041:	0.057760795454545	0.161496022727273	0.067114772727273	0.036130113636364	0.235792613636364	0.441705681818182		1
000042:	0.034860795454545	0.468090340909091	0.011544318181818	0.013244318181818	0.036601136363636	0.435659090909091		1
000043:	0.032423863636364	0.146944886363636	0.089171590909091	0.050318750000000	0.507823863636364	0.173317045454545		1
000044:	0.023723863636364	0.025891477272727	0.089720454545455	0.014707386363636	0.795429545454545	0.050527272727273		1
000045:	0.092513068181818	0.033728409090909	0.043105681818182	0.020017613636364	0.236576136363636	0.574059090909091		1
000046:	0.017007954545455	0.020940340909091	0.028118181818182	0.371999431818182	0.110905113636364	0.451028977272727		1
000047:	0.063997159090909	0.189677272727273	0.259089204545455	0.044855681818182	0.092915909090909	0.349464772727273		1
000048:	0.025467045454545	0.056978409090909	0.328551136363636	0.056461931818182	0.453903409090909	0.078638068181818		1
000049:	0.022857386363636	0.070024431818182	0.090459090909091	0.021302272727273	0.737329545454545	0.058027272727273		1
000050:	0.036319886363636	0.341237500000000	0.171631818181818	0.028007954545455	0.295080681818182	0.127722159090909		1
000051:	0.012352840909091	0.843843750000000	0.056411363636364	0.020381250000000	0.046088636363636	0.020922159090909		1
000052:	0.007148863636364	0.858315909090909	0.054536931818182	0.020122727272727	0.037437500000000	0.022438068181818		1
000053:	0.042672727272727	0.183351704545455	0.148053409090909	0.069002840909091	0.295210795454545	0.261708522727273		1
000054:	0.325943750000000	0.101219886363636	0.131045454545455	0.052978409090909	0.122715909090909	0.266096590909091		1
