Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	
000001:	0.052130681818182	0.001618181818182	0.002693750000000	0.505806250000000	0.405335795454545	0.027428409090909	0.004986931818182		1
000002:	0.748110227272727	0.044597727272727	0.036026136363636	0.102382954545455	0.004984659090909	0.034014204545455	0.029884090909091		1
000003:	0.688651704545455	0.039067045454545	0.025046022727273	0.045223863636364	0.005293181818182	0.161182386363636	0.035535795454545		1
000004:	0.564844318181818	0.193072159090909	0.067733522727273	0.107752272727273	0.004640340909091	0.043578977272727	0.018378409090909		1
000005:	0.819746590909091	0.059566477272727	0.036509659090909	0.034192045454545	0.004106818181818	0.031077840909091	0.014800568181818		1
000006:	0.304307386363636	0.360807386363636	0.072064772727273	0.177915909090909	0.034867613636364	0.031054545454545	0.018982386363636		1
000007:	0.466864772727273	0.040634659090909	0.018134090909091	0.410263636363636	0.008365340909091	0.020981250000000	0.034756250000000		1
000008:	0.854936931818182	0.036743181818182	0.018775568181818	0.052894318181818	0.003703977272727	0.014603977272727	0.018342045454545		1
000009:	0.610648295454545	0.034486931818182	0.024283522727273	0.294550568181818	0.004617045454545	0.017723863636364	0.013689772727273		1
000010:	0.845897727272727	0.040290909090909	0.051273295454545	0.021934090909091	0.002795454545455	0.025906818181818	0.011901704545455		1
000011:	0.004773295454545	0.555977272727273	0.024578409090909	0.003071590909091	0.006583522727273	0.014835227272727	0.390180681818182		1
000012:	0.089650568181818	0.123392045454545	0.176859090909091	0.021090340909091	0.093764204545455	0.470025568181818	0.025218181818182		1
000013:	0.052674431818182	0.254074431818182	0.225352840909091	0.027442045454545	0.266138068181818	0.135222727272727	0.039095454545455		1
000014:	0.020085795454545	0.888889204545455	0.026616477272727	0.009911931818182	0.016936363636364	0.026735795454545	0.010824431818182		1
000015:	0.350561363636364	0.158816477272727	0.123880681818182	0.033743750000000	0.030604545454545	0.268913068181818	0.033480113636364		1
000016:	0.032822159090909	0.869609659090909	0.032896022727273	0.008784659090909	0.012874431818182	0.034205113636364	0.008807954545455		1
000017:	0.172927840909091	0.187602272727273	0.302218750000000	0.034657954545455	0.028928409090909	0.223542613636364	0.050122159090909		1
000018:	0.041623863636364	0.091426136363636	0.391576136363636	0.022619886363636	0.190368181818182	0.234967613636364	0.027418181818182		1
000019:	0.048008522727273	0.024680681818182	0.042936931818182	0.009810795454545	0.040173863636364	0.823801704545455	0.010587500000000		1
000020:	0.173639204545455	0.304196022727273	0.353723863636364	0.021367613636364	0.032631250000000	0.084167045454545	0.030275000000000		1
000021:	0.052566477272727	0.040955681818182	0.569871590909091	0.019020454545455	0.044782386363636	0.107455113636364	0.165348295454545		1
000022:	0.073911363636364	0.075638636363636	0.148051136363636	0.013639772727273	0.050780113636364	0.619175568181818	0.018803409090909		1
000023:	0.111672159090909	0.057651704545455	0.328871590909091	0.032497727272727	0.091686363636364	0.291281250000000	0.086339204545455		1
000024:	0.026842613636364	0.872550000000000	0.039410227272727	0.004487500000000	0.032609659090909	0.012969318181818	0.011130681818182		1
000025:	0.035888636363636	0.097015909090909	0.192718181818182	0.019334659090909	0.100507386363636	0.535928409090909	0.018606818181818		1
000026:	0.021347727272727	0.052877840909091	0.172002272727273	0.012011363636364	0.050165909090909	0.672625000000000	0.018969886363636		1
000027:	0.021877840909091	0.037303977272727	0.329739772727273	0.004088068181818	0.035847727272727	0.026083522727273	0.545059090909091		1
000028:	0.130173295454545	0.060988068181818	0.274355681818182	0.022354545454545	0.031676704545455	0.066370454545455	0.414081250000000		1
000029:	0.145155113636364	0.161931250000000	0.346452840909091	0.027503977272727	0.081778977272727	0.172634659090909	0.064543181818182		1
000030:	0.055335227272727	0.097028977272727	0.074617613636364	0.016867045454545	0.047148863636364	0.592085795454545	0.116916477272727		1
000031:	0.034857386363636	0.046767045454545	0.606868750000000	0.022828409090909	0.129761363636364	0.142934659090909	0.015982386363636		1
000032:	0.116257954545455	0.089619318181818	0.589225568181818	0.016475568181818	0.051690340909091	0.083454545454545	0.053276704545455		1
000033:	0.056045454545455	0.047973295454545	0.156154545454545	0.020523863636364	0.035073863636364	0.638760227272727	0.045468750000000		1
000034:	0.030671022727273	0.829183522727273	0.053926704545455	0.012326704545455	0.028901136363636	0.034117045454545	0.010873863636364		1
000035:	0.061842613636364	0.041177272727273	0.496565340909091	0.063892613636364	0.152955113636364	0.131873295454545	0.051693750000000		1
000036:	0.251328977272727	0.173225000000000	0.343900568181818	0.023001704545455	0.051578977272727	0.055506818181818	0.101457954545455		1
000037:	0.072139204545455	0.128539772727273	0.613487500000000	0.024661363636364	0.072361931818182	0.066561931818182	0.022248295454545		1
000038:	0.002923295454545	0.007835227272727	0.025513636363636	0.005992045454545	0.010321590909091	0.929981250000000	0.017432954545455		1
000039:	0.052432386363636	0.089484090909091	0.280958522727273	0.019915340909091	0.335903409090909	0.203339204545455	0.017967045454545		1
000040:	0.131502272727273	0.622730681818182	0.079118750000000	0.021296590909091	0.085014204545455	0.038309090909091	0.022028409090909		1
000041:	0.021069886363636	0.450157954545455	0.387339204545455	0.013261931818182	0.037226704545455	0.063066477272727	0.027877840909091		1
000042:	0.050388636363636	0.140027272727273	0.361186363636364	0.039988636363636	0.163884090909091	0.213543750000000	0.030981250000000		1
000043:	0.295638636363636	0.066055113636364	0.272880113636364	0.028167613636364	0.037649431818182	0.196696590909091	0.102912500000000		1
000044:	0.247140340909091	0.120577272727273	0.116432386363636	0.022501704545455	0.043902840909091	0.425153409090909	0.024292045454545		1
000045:	0.039920454545455	0.035865340909091	0.736901136363636	0.013434659090909	0.079203977272727	0.075870454545455	0.018803977272727		1
000046:	0.065152272727273	0.078525000000000	0.314472159090909	0.047751704545455	0.061202840909091	0.255599431818182	0.177296590909091		1
000047:	0.183657386363636	0.167530681818182	0.356410795454545	0.086722159090909	0.073057954545455	0.086010795454545	0.046610227272727		1
000048:	0.660356818181818	0.065827840909091	0.038025568181818	0.028731818181818	0.015347159090909	0.091538068181818	0.100172727272727		1
000049:	0.113975000000000	0.013821590909091	0.051212500000000	0.012021590909091	0.005355681818182	0.796173295454545	0.007440340909091		1
000050:	0.103114772727273	0.372875568181818	0.128687500000000	0.101947159090909	0.045992613636364	0.228928409090909	0.018453977272727		1
000051:	0.065760795454545	0.856293181818182	0.016462500000000	0.017364204545455	0.006769886363636	0.025053977272727	0.012295454545455		1
000052:	0.089302840909091	0.784557954545455	0.037145454545455	0.026786363636364	0.012764204545455	0.036428977272727	0.013014204545455		1
000053:	0.141917045454545	0.180876136363636	0.181925000000000	0.062134659090909	0.047445454545455	0.370291477272727	0.015410227272727		1
000054:	0.079529545454545	0.079389204545455	0.218752840909091	0.231380681818182	0.194632954545455	0.161703977272727	0.034610795454545		1
000055:	0.077985795454545	0.174881818181818	0.069742613636364	0.346823295454545	0.013101704545455	0.290692045454545	0.026772727272727		1
000056:	0.054639204545455	0.083089772727273	0.048510227272727	0.010267045454545	0.047009090909091	0.725616477272727	0.030868181818182		1
000057:	0.128698863636364	0.139052840909091	0.315910227272727	0.050323295454545	0.040871590909091	0.301043750000000	0.024099431818182		1
000058:	0.032685227272727	0.019989204545455	0.021892045454545	0.011540909090909	0.022778977272727	0.879863068181818	0.011250568181818		1
000059:	0.067624431818182	0.031275000000000	0.210319318181818	0.020234090909091	0.032775000000000	0.616902840909091	0.020869318181818		1
000060:	0.003859659090909	0.001983522727273	0.002027272727273	0.000476704545455	0.000490340909091	0.990617045454545	0.000545454545455		1
000061:	0.221140340909091	0.094454545454545	0.083006250000000	0.023698863636364	0.020578977272727	0.536488068181818	0.020632954545455		1
000062:	0.070475568181818	0.809142045454545	0.028169886363636	0.026725568181818	0.012682954545455	0.028948295454545	0.023855681818182		1
000063:	0.065793181818182	0.802640340909091	0.025814772727273	0.012853409090909	0.019689772727273	0.031119318181818	0.042089204545455		1
000064:	0.033235795454545	0.459011363636364	0.012038636363636	0.013404545454545	0.012317045454545	0.160941477272727	0.309051136363636		1
000065:	0.238161931818182	0.017319886363636	0.048382386363636	0.009576136363636	0.006292045454545	0.665136931818182	0.015130681818182		1
000066:	0.175626136363636	0.123479545454545	0.318577272727273	0.042471022727273	0.026344886363636	0.290420454545455	0.023080681818182		1
000067:	0.122285795454545	0.778630113636364	0.017953977272727	0.020735795454545	0.024885227272727	0.017640909090909	0.017868181818182		1
000068:	0.026207954545455	0.011949431818182	0.038397727272727	0.009090909090909	0.007856818181818	0.899690909090909	0.006806250000000		1
000069:	0.084871590909091	0.081557954545455	0.342705113636364	0.029662500000000	0.023917613636364	0.406143181818182	0.031142045454545		1
000070:	0.155617613636364	0.136494318181818	0.160083522727273	0.030962500000000	0.045087500000000	0.359251704545455	0.112502840909091		1
000071:	0.033476704545455	0.070854545454545	0.064650000000000	0.008051704545455	0.016303977272727	0.791006250000000	0.015656818181818		1
000072:	0.249994318181818	0.048415909090909	0.045032954545455	0.035700568181818	0.019633522727273	0.573350000000000	0.027872727272727		1
000073:	0.412811931818182	0.098259659090909	0.118356818181818	0.050560227272727	0.042467045454545	0.237426704545455	0.040117613636364		1
000074:	0.055140340909091	0.132601704545455	0.204697727272727	0.025685795454545	0.076352272727273	0.479632386363636	0.025889772727273		1
000075:	0.213715909090909	0.084920454545455	0.281550568181818	0.036230681818182	0.107680681818182	0.220660795454545	0.055240909090909		1
000076:	0.107140909090909	0.040996590909091	0.140508522727273	0.055235227272727	0.093306818181818	0.199011931818182	0.363800000000000		1
000077:	0.090471590909091	0.078660795454545	0.106355113636364	0.063996590909091	0.042942045454545	0.289173295454545	0.328400568181818		1
000078:	0.321205681818182	0.118015340909091	0.094710795454545	0.049341477272727	0.026411931818182	0.296760795454545	0.093553977272727		1
000079:	0.050124431818182	0.065803977272727	0.127796022727273	0.030207386363636	0.035419318181818	0.655185795454545	0.035463068181818		1
000080:	0.038612500000000	0.028521590909091	0.106842045454545	0.018356818181818	0.191818750000000	0.582864204545455	0.032984090909091		1
000081:	0.249885227272727	0.038103409090909	0.125964772727273	0.018802272727273	0.024905681818182	0.519191477272727	0.023147159090909		1
000082:	0.090773295454545	0.063072727272727	0.065404545454545	0.060934659090909	0.016240909090909	0.682504545454545	0.021069318181818		1
000083:	0.365087500000000	0.029005113636364	0.225235795454545	0.021338068181818	0.024262500000000	0.268877840909091	0.066193181818182		1
000084:	0.032445454545455	0.842082386363636	0.030035227272727	0.022596022727273	0.025903977272727	0.025466477272727	0.021470454545455		1
000085:	0.116925568181818	0.121501136363636	0.427305113636364	0.023344886363636	0.035423863636364	0.132666477272727	0.142832954545455		1
000086:	0.083792613636364	0.306233522727273	0.231529545454545	0.027701136363636	0.036028409090909	0.105230681818182	0.209484090909091		1
000087:	0.176347727272727	0.047696590909091	0.185465340909091	0.013316477272727	0.019493181818182	0.544992045454545	0.012688636363636		1
000088:	0.062761363636364	0.025540340909091	0.774781818181818	0.021625568181818	0.026854545454545	0.067020454545455	0.021415909090909		1
000089:	0.035104545454545	0.056057386363636	0.671853977272727	0.044366477272727	0.021266477272727	0.141932954545455	0.029418181818182		1
000090:	0.048385227272727	0.162477840909091	0.195867613636364	0.023275000000000	0.135115340909091	0.410198863636364	0.024680113636364		1
000091:	0.040522727272727	0.063633522727273	0.148541477272727	0.063893181818182	0.089801704545455	0.440365340909091	0.153242045454545		1
000092:	0.111295454545455	0.065958522727273	0.117651704545455	0.024190909090909	0.040067613636364	0.617523863636364	0.023311931818182		1
000093:	0.142071590909091	0.111369886363636	0.229206818181818	0.077360227272727	0.144027840909091	0.257807386363636	0.038156250000000		1
000094:	0.071423863636364	0.043269886363636	0.075853977272727	0.023743750000000	0.036632386363636	0.720577840909091	0.028498295454545		1
000095:	0.019234659090909	0.014994886363636	0.833953409090909	0.013132954545455	0.004186363636364	0.058568181818182	0.055929545454545		1
000096:	0.041000568181818	0.855675000000000	0.033983522727273	0.013923295454545	0.008926136363636	0.032238636363636	0.014252840909091		1
000097:	0.035543750000000	0.027424431818182	0.260695454545455	0.018178409090909	0.028093181818182	0.615807954545455	0.014256818181818		1
000098:	0.032986363636364	0.036328977272727	0.074656818181818	0.010697159090909	0.017638636363636	0.816372159090909	0.011319886363636		1
