Estimated Clustering Probabilities for Samples
Sample	***Cluster  01***	***Cluster  02***	***Cluster  03***	***Cluster  04***	***Cluster  05***	***Cluster  06***	***Cluster  07***	***Cluster  08***	
000001:	0.032154545454545	0.001389204545455	0.005755681818182	0.001961363636364	0.021505681818182	0.512332954545455	0.421080681818182	0.003819886363636		1
000002:	0.036100568181818	0.004915340909091	0.015419318181818	0.012223295454545	0.835997159090909	0.039198863636364	0.029538068181818	0.026607386363636		1
000003:	0.070817613636364	0.014819886363636	0.171032386363636	0.073444886363636	0.327494886363636	0.183468750000000	0.118775000000000	0.040146590909091		1
000004:	0.108813068181818	0.011677272727273	0.044928977272727	0.017735795454545	0.669904545454545	0.087708522727273	0.021275000000000	0.037956818181818		1
000005:	0.026419318181818	0.010178409090909	0.035181250000000	0.024097727272727	0.736596590909091	0.119218181818182	0.019559659090909	0.028748863636364		1
000006:	0.152847727272727	0.099218181818182	0.041341477272727	0.014160795454545	0.594996590909091	0.025794886363636	0.020618750000000	0.051021590909091		1
000007:	0.022144886363636	0.010176704545455	0.015925568181818	0.031255113636364	0.461471590909091	0.347431818181818	0.091637500000000	0.019956818181818		1
000008:	0.030377840909091	0.008508522727273	0.011884659090909	0.022789772727273	0.752123863636364	0.121200568181818	0.033752840909091	0.019361931818182		1
000009:	0.019548863636364	0.004947727272727	0.004689772727273	0.003439772727273	0.909000000000000	0.039165340909091	0.006182954545455	0.013025568181818		1
000010:	0.097168181818182	0.012188068181818	0.041393181818182	0.020486363636364	0.722555113636364	0.036922159090909	0.037290340909091	0.031996590909091		1
000011:	0.215631250000000	0.059597159090909	0.098598863636364	0.315565340909091	0.111943750000000	0.059081250000000	0.058320454545455	0.081261931818182		1
000012:	0.049465340909091	0.078051704545455	0.399778409090909	0.028432386363636	0.046633522727273	0.136719318181818	0.012417045454545	0.248502272727273		1
000013:	0.145661363636364	0.392906250000000	0.025708522727273	0.043811931818182	0.043781818181818	0.090980681818182	0.023023863636364	0.234125568181818		1
000014:	0.796965340909091	0.042280113636364	0.012372159090909	0.032467045454545	0.044231818181818	0.025622159090909	0.015260227272727	0.030801136363636		1
000015:	0.103597727272727	0.037989772727273	0.046290340909091	0.025101136363636	0.145904545454545	0.521239772727273	0.026303409090909	0.093573295454545		1
000016:	0.799389772727273	0.020121022727273	0.038584659090909	0.027080681818182	0.042089204545455	0.026707386363636	0.009171022727273	0.036856250000000		1
000017:	0.147351136363636	0.036238636363636	0.073107954545455	0.042746590909091	0.060937500000000	0.203303409090909	0.030130113636364	0.406184659090909		1
